k_long[1/Mpc]   bias Lagrangian 
8.866209e-03   3.464842e+00 
1.116190e-02   3.465072e+00 
1.116190e-02   3.465072e+00 
1.116190e-02   3.465072e+00 
1.116190e-02   3.465072e+00 
1.405199e-02   3.464878e+00 
1.405199e-02   3.464878e+00 
1.405199e-02   3.464878e+00 
1.405199e-02   3.464878e+00 
1.405199e-02   3.464878e+00 
1.769033e-02   3.465228e+00 
1.769033e-02   3.465228e+00 
1.769033e-02   3.465228e+00 
1.769033e-02   3.465228e+00 
1.769033e-02   3.465228e+00 
2.225937e-02   3.465434e+00 
2.225937e-02   3.465434e+00 
2.225937e-02   3.465434e+00 
2.225937e-02   3.465434e+00 
2.225937e-02   3.465434e+00 
2.765040e-02   3.465274e+00 
2.765040e-02   3.465274e+00 
2.765040e-02   3.465274e+00 
2.765040e-02   3.465274e+00 
3.220914e-02   3.464926e+00 
3.220914e-02   3.464926e+00 
3.220914e-02   3.464926e+00 
3.551287e-02   3.465130e+00 
3.823508e-02   3.464963e+00 
3.823508e-02   3.464963e+00 
4.066459e-02   3.465455e+00 
4.292995e-02   3.465303e+00 
4.509913e-02   3.465350e+00 
4.721285e-02   3.464856e+00 
4.929782e-02   3.465232e+00 
5.137288e-02   3.465758e+00 
5.345206e-02   3.465720e+00 
5.554635e-02   3.465875e+00 
5.981466e-02   3.465550e+00 
6.200282e-02   3.465673e+00 
6.423503e-02   3.465605e+00 
6.885279e-02   3.465490e+00 
7.124807e-02   3.465317e+00 
7.370706e-02   3.465600e+00 
7.883367e-02   3.465661e+00 
8.150980e-02   3.465679e+00 
8.426675e-02   3.465162e+00 
9.003960e-02   3.465809e+00 
9.306376e-02   3.465567e+00 
9.940811e-02   3.465082e+00 
1.027366e-01   3.465291e+00 
1.097267e-01   3.465494e+00 
1.133969e-01   3.465275e+00 
1.171893e-01   3.465325e+00 
1.251584e-01   3.465145e+00 
1.293438e-01   3.465404e+00 
1.381392e-01   3.465409e+00 
1.427588e-01   3.465419e+00 
1.524668e-01   3.465036e+00 
1.575662e-01   3.465555e+00 
1.628370e-01   3.465008e+00 
1.739192e-01   3.465592e+00 
1.797449e-01   3.465033e+00 
1.920073e-01   3.465288e+00 
1.984630e-01   3.465397e+00 
2.051499e-01   3.465156e+00 
2.192691e-01   3.465291e+00 
2.267321e-01   3.465538e+00 
2.425583e-01   3.465244e+00 
2.509677e-01   3.465060e+00 
2.597452e-01   3.465625e+00 
2.785467e-01   3.465124e+00 
2.886594e-01   3.465133e+00 
2.993216e-01   3.465067e+00 
3.225997e-01   3.465087e+00 
3.354189e-01   3.465168e+00 
3.492091e-01   3.465119e+00 
3.641642e-01   3.465148e+00 
3.805469e-01   3.465148e+00 
3.987252e-01   3.465166e+00 
