k_long[1/Mpc]   bias Lagrangian 
8.866209e-03   -1.637042e-01 
1.116190e-02   -1.637156e-01 
1.116190e-02   -1.637156e-01 
1.116190e-02   -1.637156e-01 
1.116190e-02   -1.637156e-01 
1.405199e-02   -1.637403e-01 
1.405199e-02   -1.637403e-01 
1.405199e-02   -1.637403e-01 
1.405199e-02   -1.637403e-01 
1.405199e-02   -1.637403e-01 
1.769033e-02   -1.637241e-01 
1.769033e-02   -1.637241e-01 
1.769033e-02   -1.637241e-01 
1.769033e-02   -1.637241e-01 
1.769033e-02   -1.637241e-01 
2.225937e-02   -1.637338e-01 
2.225937e-02   -1.637338e-01 
2.225937e-02   -1.637338e-01 
2.225937e-02   -1.637338e-01 
2.225937e-02   -1.637338e-01 
2.765040e-02   -1.637262e-01 
2.765040e-02   -1.637262e-01 
2.765040e-02   -1.637262e-01 
2.765040e-02   -1.637262e-01 
3.220914e-02   -1.637433e-01 
3.220914e-02   -1.637433e-01 
3.220914e-02   -1.637433e-01 
3.551287e-02   -1.637201e-01 
3.823508e-02   -1.637121e-01 
3.823508e-02   -1.637121e-01 
4.066459e-02   -1.637354e-01 
4.292995e-02   -1.637282e-01 
4.509913e-02   -1.637305e-01 
4.721285e-02   -1.637071e-01 
4.929782e-02   -1.637249e-01 
5.137288e-02   -1.637497e-01 
5.345206e-02   -1.637479e-01 
5.554635e-02   -1.637552e-01 
5.981466e-02   -1.637406e-01 
6.200282e-02   -1.637457e-01 
6.423503e-02   -1.637432e-01 
6.885279e-02   -1.637370e-01 
7.124807e-02   -1.637289e-01 
7.370706e-02   -1.637429e-01 
7.883367e-02   -1.637458e-01 
8.150980e-02   -1.637459e-01 
8.426675e-02   -1.637215e-01 
9.003960e-02   -1.637521e-01 
9.306376e-02   -1.637407e-01 
9.940811e-02   -1.637514e-01 
1.027366e-01   -1.637276e-01 
1.097267e-01   -1.637379e-01 
1.133969e-01   -1.637276e-01 
1.171893e-01   -1.637292e-01 
1.251584e-01   -1.637207e-01 
1.293438e-01   -1.637337e-01 
1.381392e-01   -1.637332e-01 
1.427588e-01   -1.637344e-01 
1.524668e-01   -1.637493e-01 
1.575662e-01   -1.637401e-01 
1.628370e-01   -1.637479e-01 
1.739192e-01   -1.637418e-01 
1.797449e-01   -1.637491e-01 
1.920073e-01   -1.637275e-01 
1.984630e-01   -1.637326e-01 
2.051499e-01   -1.637212e-01 
2.192691e-01   -1.637283e-01 
2.267321e-01   -1.637400e-01 
2.425583e-01   -1.637254e-01 
2.509677e-01   -1.637167e-01 
2.597452e-01   -1.637441e-01 
2.785467e-01   -1.637197e-01 
2.886594e-01   -1.637201e-01 
2.993216e-01   -1.637170e-01 
3.225997e-01   -1.637180e-01 
3.354189e-01   -1.637218e-01 
3.492091e-01   -1.637195e-01 
3.641642e-01   -1.637209e-01 
3.805469e-01   -1.637209e-01 
3.987252e-01   -1.637217e-01 
