delta_long   k_long[1/Mpc]   delta_crit 
2.273982e-01   9.003960e-02   1.430042e+00 
2.273683e-01   9.306376e-02   1.430088e+00 
2.272609e-01   9.940811e-02   1.430181e+00 
2.272014e-01   1.027366e-01   1.430274e+00 
2.271414e-01   1.097267e-01   1.430321e+00 
2.271557e-01   1.133969e-01   1.430321e+00 
2.271992e-01   1.171893e-01   1.430274e+00 
2.273035e-01   1.251584e-01   1.430135e+00 
2.273323e-01   1.293438e-01   1.430135e+00 
2.272862e-01   1.381392e-01   1.430181e+00 
2.272388e-01   1.427588e-01   1.430228e+00 
2.271714e-01   1.524668e-01   1.430274e+00 
2.271841e-01   1.575662e-01   1.430274e+00 
2.272200e-01   1.628370e-01   1.430228e+00 
2.272742e-01   1.739192e-01   1.430181e+00 
2.272641e-01   1.797449e-01   1.430181e+00 
2.272016e-01   1.920073e-01   1.430274e+00 
2.271945e-01   1.984630e-01   1.430274e+00 
2.272103e-01   2.051499e-01   1.430228e+00 
2.272472e-01   2.192691e-01   1.430228e+00 
2.272310e-01   2.267321e-01   1.430228e+00 
2.272045e-01   2.425583e-01   1.430274e+00 
2.272166e-01   2.509677e-01   1.430228e+00 
2.272253e-01   2.597452e-01   1.430228e+00 
2.272124e-01   2.785467e-01   1.430228e+00 
2.272118e-01   2.886594e-01   1.430228e+00 
2.272161e-01   2.993216e-01   1.430228e+00 
2.272148e-01   3.225997e-01   1.430228e+00 
2.272095e-01   3.354189e-01   1.430228e+00 
2.272127e-01   3.492091e-01   1.430228e+00 
2.272108e-01   3.641642e-01   1.430228e+00 
2.272108e-01   3.805469e-01   1.430228e+00 
2.272096e-01   3.987252e-01   1.430228e+00 
