k_long[1/Mpc]	 Pmm	 Pmh	 Phh 
8.8662e-03	 8.0234e+04	 6.7100e+04	 5.6115e+04 
1.1162e-02	 8.2313e+04	 6.8837e+04	 5.7567e+04 
1.1162e-02	 8.2313e+04	 6.8837e+04	 5.7567e+04 
1.1162e-02	 8.2313e+04	 6.8837e+04	 5.7567e+04 
1.1162e-02	 8.2313e+04	 6.8837e+04	 5.7567e+04 
1.4052e-02	 7.9938e+04	 6.6849e+04	 5.5903e+04 
1.4052e-02	 7.9938e+04	 6.6849e+04	 5.5903e+04 
1.4052e-02	 7.9938e+04	 6.6849e+04	 5.5903e+04 
1.4052e-02	 7.9938e+04	 6.6849e+04	 5.5903e+04 
1.4052e-02	 7.9938e+04	 6.6849e+04	 5.5903e+04 
1.7690e-02	 7.2519e+04	 6.0646e+04	 5.0717e+04 
1.7690e-02	 7.2519e+04	 6.0646e+04	 5.0717e+04 
1.7690e-02	 7.2519e+04	 6.0646e+04	 5.0717e+04 
1.7690e-02	 7.2519e+04	 6.0646e+04	 5.0717e+04 
1.7690e-02	 7.2519e+04	 6.0646e+04	 5.0717e+04 
2.2259e-02	 6.1173e+04	 5.1157e+04	 4.2781e+04 
2.2259e-02	 6.1173e+04	 5.1157e+04	 4.2781e+04 
2.2259e-02	 6.1173e+04	 5.1157e+04	 4.2781e+04 
2.2259e-02	 6.1173e+04	 5.1157e+04	 4.2781e+04 
2.2259e-02	 6.1173e+04	 5.1157e+04	 4.2781e+04 
2.7650e-02	 4.9778e+04	 4.1628e+04	 3.4812e+04 
2.7650e-02	 4.9778e+04	 4.1628e+04	 3.4812e+04 
2.7650e-02	 4.9778e+04	 4.1628e+04	 3.4812e+04 
2.7650e-02	 4.9778e+04	 4.1628e+04	 3.4812e+04 
3.2209e-02	 4.3212e+04	 3.6136e+04	 3.0219e+04 
3.2209e-02	 4.3212e+04	 3.6136e+04	 3.0219e+04 
3.2209e-02	 4.3212e+04	 3.6136e+04	 3.0219e+04 
3.5513e-02	 3.9975e+04	 3.3430e+04	 2.7957e+04 
3.8235e-02	 3.7949e+04	 3.1737e+04	 2.6541e+04 
3.8235e-02	 3.7949e+04	 3.1737e+04	 2.6541e+04 
4.0665e-02	 3.6416e+04	 3.0454e+04	 2.5467e+04 
4.2930e-02	 3.5076e+04	 2.9333e+04	 2.4530e+04 
4.5099e-02	 3.3776e+04	 2.8246e+04	 2.3621e+04 
4.7213e-02	 3.2437e+04	 2.7127e+04	 2.2686e+04 
4.9298e-02	 3.1020e+04	 2.5942e+04	 2.1694e+04 
5.1373e-02	 2.9518e+04	 2.4684e+04	 2.0642e+04 
5.3452e-02	 2.7941e+04	 2.3366e+04	 1.9540e+04 
5.5546e-02	 2.6317e+04	 2.2007e+04	 1.8404e+04 
5.9815e-02	 2.3092e+04	 1.9311e+04	 1.6149e+04 
6.2003e-02	 2.1581e+04	 1.8047e+04	 1.5092e+04 
6.4235e-02	 2.0191e+04	 1.6885e+04	 1.4120e+04 
6.8853e-02	 1.7889e+04	 1.4960e+04	 1.2510e+04 
7.1248e-02	 1.6998e+04	 1.4215e+04	 1.1887e+04 
7.3707e-02	 1.6270e+04	 1.3606e+04	 1.1378e+04 
7.8834e-02	 1.5187e+04	 1.2700e+04	 1.0620e+04 
8.1510e-02	 1.4744e+04	 1.2330e+04	 1.0311e+04 
8.4267e-02	 1.4299e+04	 1.1958e+04	 1.0000e+04 
9.0040e-02	 1.3225e+04	 1.1059e+04	 9.2484e+03 
9.3064e-02	 1.2550e+04	 1.0495e+04	 8.7769e+03 
9.9408e-02	 1.0993e+04	 9.1925e+03	 7.6872e+03 
1.0274e-01	 1.0198e+04	 8.5285e+03	 7.1322e+03 
1.0973e-01	 8.8363e+03	 7.3895e+03	 6.1795e+03 
1.1340e-01	 8.3304e+03	 6.9665e+03	 5.8259e+03 
1.1719e-01	 7.9407e+03	 6.6405e+03	 5.5533e+03 
1.2516e-01	 7.3617e+03	 6.1564e+03	 5.1485e+03 
1.2934e-01	 7.0714e+03	 5.9136e+03	 4.9453e+03 
1.3814e-01	 6.3087e+03	 5.2757e+03	 4.4119e+03 
1.4276e-01	 5.8600e+03	 4.9006e+03	 4.0982e+03 
1.5247e-01	 5.0410e+03	 4.2156e+03	 3.5253e+03 
1.5757e-01	 4.7337e+03	 3.9586e+03	 3.3104e+03 
1.6284e-01	 4.4948e+03	 3.7588e+03	 3.1433e+03 
1.7392e-01	 4.0823e+03	 3.4138e+03	 2.8548e+03 
1.7974e-01	 3.8436e+03	 3.2142e+03	 2.6879e+03 
1.9201e-01	 3.3187e+03	 2.7754e+03	 2.3210e+03 
1.9846e-01	 3.0916e+03	 2.5854e+03	 2.1621e+03 
2.0515e-01	 2.9069e+03	 2.4310e+03	 2.0330e+03 
2.1927e-01	 2.5914e+03	 2.1671e+03	 1.8123e+03 
2.2673e-01	 2.4218e+03	 2.0253e+03	 1.6937e+03 
2.4256e-01	 2.0918e+03	 1.7493e+03	 1.4629e+03 
2.5097e-01	 1.9566e+03	 1.6363e+03	 1.3684e+03 
2.5975e-01	 1.8335e+03	 1.5333e+03	 1.2822e+03 
2.7855e-01	 1.5858e+03	 1.3262e+03	 1.1090e+03 
2.8866e-01	 1.4699e+03	 1.2292e+03	 1.0280e+03 
2.9932e-01	 1.3651e+03	 1.1416e+03	 9.5469e+02 
3.2260e-01	 1.1676e+03	 9.7644e+02	 8.1658e+02 
3.3542e-01	 1.0739e+03	 8.9804e+02	 7.5101e+02 
3.4921e-01	 9.8680e+02	 8.2524e+02	 6.9013e+02 
3.6416e-01	 9.0212e+02	 7.5442e+02	 6.3091e+02 
3.8055e-01	 8.2011e+02	 6.8584e+02	 5.7355e+02 
3.9873e-01	 7.4163e+02	 6.2021e+02	 5.1867e+02 
