k_long[1/Mpc]   bias Eulerian 
8.866209e-03   1.312784e+00 
1.116190e-02   1.312807e+00 
1.116190e-02   1.312807e+00 
1.116190e-02   1.312807e+00 
1.116190e-02   1.312807e+00 
1.405199e-02   1.312790e+00 
1.405199e-02   1.312790e+00 
1.405199e-02   1.312790e+00 
1.405199e-02   1.312790e+00 
1.405199e-02   1.312790e+00 
1.769033e-02   1.312822e+00 
1.769033e-02   1.312822e+00 
1.769033e-02   1.312822e+00 
1.769033e-02   1.312822e+00 
1.769033e-02   1.312822e+00 
2.225937e-02   1.312778e+00 
2.225937e-02   1.312778e+00 
2.225937e-02   1.312778e+00 
2.225937e-02   1.312778e+00 
2.225937e-02   1.312778e+00 
2.765040e-02   1.312828e+00 
2.765040e-02   1.312828e+00 
2.765040e-02   1.312828e+00 
2.765040e-02   1.312828e+00 
3.220914e-02   1.312796e+00 
3.220914e-02   1.312796e+00 
3.220914e-02   1.312796e+00 
3.551287e-02   1.312815e+00 
3.823508e-02   1.312800e+00 
3.823508e-02   1.312800e+00 
4.066459e-02   1.312781e+00 
4.292995e-02   1.312767e+00 
4.509913e-02   1.312772e+00 
4.721285e-02   1.312790e+00 
4.929782e-02   1.312824e+00 
5.137288e-02   1.312871e+00 
5.345206e-02   1.312805e+00 
5.554635e-02   1.312819e+00 
5.981466e-02   1.312854e+00 
6.200282e-02   1.312801e+00 
6.423503e-02   1.312795e+00 
6.885279e-02   1.312847e+00 
7.124807e-02   1.312832e+00 
7.370706e-02   1.312794e+00 
7.883367e-02   1.312800e+00 
8.150980e-02   1.312801e+00 
8.426675e-02   1.312818e+00 
9.003960e-02   1.312813e+00 
9.306376e-02   1.312791e+00 
9.940811e-02   1.312812e+00 
1.027366e-01   1.312829e+00 
1.097267e-01   1.312784e+00 
1.133969e-01   1.312829e+00 
1.171893e-01   1.312832e+00 
1.251584e-01   1.312816e+00 
1.293438e-01   1.312841e+00 
1.381392e-01   1.312840e+00 
1.427588e-01   1.312778e+00 
1.524668e-01   1.312808e+00 
1.575662e-01   1.312790e+00 
1.628370e-01   1.312804e+00 
1.739192e-01   1.312793e+00 
1.797449e-01   1.312807e+00 
1.920073e-01   1.312829e+00 
1.984630e-01   1.312839e+00 
2.051499e-01   1.312817e+00 
2.192691e-01   1.312831e+00 
2.267321e-01   1.312788e+00 
2.425583e-01   1.312825e+00 
2.509677e-01   1.312808e+00 
2.597452e-01   1.312796e+00 
2.785467e-01   1.312814e+00 
2.886594e-01   1.312815e+00 
2.993216e-01   1.312809e+00 
3.225997e-01   1.312811e+00 
3.354189e-01   1.312818e+00 
3.492091e-01   1.312814e+00 
3.641642e-01   1.312816e+00 
3.805469e-01   1.312816e+00 
3.987252e-01   1.312818e+00 
