#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       4.301287447347e-01       3.546399497633e-03      -2.984092090553e+04      -2.999296124372e+04       3.624230270092e-03      -2.996049025281e+04       8.609260275420e-03       8.609260275420e-03 
       4.460163481081e-01       3.358589327099e-03      -3.038734960106e+04      -3.054062144450e+04       3.432296569426e-03      -3.050779679321e+04       8.153107058981e-03       8.153107058981e-03 
       4.628298788460e-01       3.177662949330e-03      -3.095468728220e+04      -3.110953310416e+04       3.247388905086e-03      -3.107629542703e+04       7.712591353497e-03       7.712591353497e-03 
       4.807029011113e-01       2.995973324634e-03      -3.148939562012e+04      -3.164801104922e+04       3.061727572666e-03      -3.161402933322e+04       7.273446025756e-03       7.273446025756e-03 
       4.998045777089e-01       2.820496805331e-03      -3.203963804550e+04      -3.220171543512e+04       2.882386379197e-03      -3.216703279996e+04       6.845803012640e-03       6.845803012640e-03 
       5.203533549436e-01       2.651768065194e-03      -3.265247994937e+04      -3.281665715173e+04       2.709956645877e-03      -3.278146635445e+04       6.436436864722e-03       6.436436864722e-03 
       5.426377938040e-01       2.484779392024e-03      -3.327297609814e+04      -3.344035310631e+04       2.539303757795e-03      -3.340448117189e+04       6.031127497181e-03       6.031127497181e-03 
       5.670494259264e-01       2.319153781884e-03      -3.391692083341e+04      -3.408798590577e+04       2.370050780329e-03      -3.405135009020e+04       5.629973633644e-03       5.629973633644e-03 
       5.941367666028e-01       2.156769405703e-03      -3.462260296184e+04      -3.479676440495e+04       2.204096063854e-03      -3.475943816185e+04       5.234964568910e-03       5.234964568910e-03 
       6.246985329496e-01       1.993085914456e-03      -3.537100642865e+04      -3.554917967859e+04       2.036820788442e-03      -3.551100824075e+04       4.837666063380e-03       4.837666063380e-03 
       6.599540185040e-01       1.827840286476e-03      -3.620313855745e+04      -3.638533628965e+04       1.867948998726e-03      -3.634629278207e+04       4.436562670342e-03       4.436562670342e-03 
       7.018761707510e-01       1.657679545763e-03      -3.713628749895e+04      -3.732326577305e+04       1.694054154518e-03      -3.728320281870e+04       4.023519149962e-03       4.023519149962e-03 
       7.538946900057e-01       1.479131985813e-03      -3.823057372629e+04      -3.842300912580e+04       1.511589047291e-03      -3.838177379589e+04       3.590190786591e-03       3.590190786591e-03 
       8.225000126908e-01       1.286292009467e-03      -3.957219667077e+04      -3.977137033313e+04       1.314517281670e-03      -3.972869024057e+04       3.122096168383e-03       3.122096168383e-03 
