k_long[1/Mpc]   bias Eulerian 
8.866209e-03   9.099029e-01 
1.116190e-02   9.098965e-01 
1.116190e-02   9.098965e-01 
1.116190e-02   9.098965e-01 
1.116190e-02   9.098965e-01 
1.405199e-02   9.099012e-01 
1.405199e-02   9.099012e-01 
1.405199e-02   9.099012e-01 
1.405199e-02   9.099012e-01 
1.405199e-02   9.099012e-01 
1.769033e-02   9.098917e-01 
1.769033e-02   9.098917e-01 
1.769033e-02   9.098917e-01 
1.769033e-02   9.098917e-01 
1.769033e-02   9.098917e-01 
2.225937e-02   9.099048e-01 
2.225937e-02   9.099048e-01 
2.225937e-02   9.099048e-01 
2.225937e-02   9.099048e-01 
2.225937e-02   9.099048e-01 
2.765040e-02   9.098904e-01 
2.765040e-02   9.098904e-01 
2.765040e-02   9.098904e-01 
2.765040e-02   9.098904e-01 
3.220914e-02   9.098991e-01 
3.220914e-02   9.098991e-01 
3.220914e-02   9.098991e-01 
3.551287e-02   9.098938e-01 
3.823508e-02   9.098981e-01 
3.823508e-02   9.098981e-01 
4.066459e-02   9.099034e-01 
4.292995e-02   9.099074e-01 
4.509913e-02   9.099062e-01 
4.721285e-02   9.099009e-01 
4.929782e-02   9.098911e-01 
5.137288e-02   9.098775e-01 
5.345206e-02   9.098966e-01 
5.554635e-02   9.098929e-01 
5.981466e-02   9.098829e-01 
6.200282e-02   9.098982e-01 
6.423503e-02   9.098996e-01 
6.885279e-02   9.098844e-01 
7.124807e-02   9.098889e-01 
7.370706e-02   9.098997e-01 
7.883367e-02   9.098981e-01 
8.150980e-02   9.098980e-01 
8.426675e-02   9.098930e-01 
9.003960e-02   9.098943e-01 
9.306376e-02   9.099009e-01 
9.940811e-02   9.098950e-01 
1.027366e-01   9.098896e-01 
1.097267e-01   9.099025e-01 
1.133969e-01   9.098900e-01 
1.171893e-01   9.098887e-01 
1.251584e-01   9.098934e-01 
1.293438e-01   9.099048e-01 
1.381392e-01   9.098865e-01 
1.427588e-01   9.099044e-01 
1.524668e-01   9.098962e-01 
1.575662e-01   9.099013e-01 
1.628370e-01   9.098970e-01 
1.739192e-01   9.099003e-01 
1.797449e-01   9.098963e-01 
1.920073e-01   9.098897e-01 
1.984630e-01   9.099054e-01 
2.051499e-01   9.098931e-01 
2.192691e-01   9.098896e-01 
2.267321e-01   9.099013e-01 
2.425583e-01   9.098908e-01 
2.509677e-01   9.098956e-01 
2.597452e-01   9.098991e-01 
2.785467e-01   9.098939e-01 
2.886594e-01   9.098937e-01 
2.993216e-01   9.098954e-01 
3.225997e-01   9.098949e-01 
3.354189e-01   9.098928e-01 
3.492091e-01   9.098941e-01 
3.641642e-01   9.098933e-01 
3.805469e-01   9.098933e-01 
3.987252e-01   9.098928e-01 
