k_long[1/Mpc]   bias Lagrangian 
8.866209e-03   5.100942e-02 
1.116190e-02   5.101301e-02 
1.116190e-02   5.101301e-02 
1.116190e-02   5.101301e-02 
1.116190e-02   5.101301e-02 
1.405199e-02   5.101057e-02 
1.405199e-02   5.101057e-02 
1.405199e-02   5.101057e-02 
1.405199e-02   5.101057e-02 
1.405199e-02   5.101057e-02 
1.769033e-02   5.101571e-02 
1.769033e-02   5.101571e-02 
1.769033e-02   5.101571e-02 
1.769033e-02   5.101571e-02 
1.769033e-02   5.101571e-02 
2.225937e-02   5.100850e-02 
2.225937e-02   5.100850e-02 
2.225937e-02   5.100850e-02 
2.225937e-02   5.100850e-02 
2.225937e-02   5.100850e-02 
2.765040e-02   5.101638e-02 
2.765040e-02   5.101638e-02 
2.765040e-02   5.101638e-02 
2.765040e-02   5.101638e-02 
3.220914e-02   5.101148e-02 
3.220914e-02   5.101148e-02 
3.220914e-02   5.101148e-02 
3.551287e-02   5.101448e-02 
3.823508e-02   5.101202e-02 
3.823508e-02   5.101202e-02 
4.066459e-02   5.100901e-02 
4.292995e-02   5.100677e-02 
4.509913e-02   5.100747e-02 
4.721285e-02   5.101045e-02 
4.929782e-02   5.101598e-02 
5.137288e-02   5.102372e-02 
5.345206e-02   5.101291e-02 
5.554635e-02   5.101496e-02 
5.981466e-02   5.102066e-02 
6.200282e-02   5.101197e-02 
6.423503e-02   5.101119e-02 
6.885279e-02   5.101977e-02 
7.124807e-02   5.101723e-02 
7.370706e-02   5.101113e-02 
7.883367e-02   5.101203e-02 
8.150980e-02   5.101206e-02 
8.426675e-02   5.101495e-02 
9.003960e-02   5.101421e-02 
9.306376e-02   5.101043e-02 
9.940811e-02   5.101377e-02 
1.027366e-01   5.101685e-02 
1.097267e-01   5.100955e-02 
1.133969e-01   5.101661e-02 
1.171893e-01   5.101734e-02 
1.251584e-01   5.101470e-02 
1.293438e-01   5.101850e-02 
1.381392e-01   5.101858e-02 
1.427588e-01   5.101873e-02 
1.524668e-01   5.101309e-02 
1.575662e-01   5.101024e-02 
1.628370e-01   5.101267e-02 
1.739192e-01   5.101078e-02 
1.797449e-01   5.101305e-02 
1.920073e-01   5.101681e-02 
1.984630e-01   5.101840e-02 
2.051499e-01   5.101485e-02 
2.192691e-01   5.101684e-02 
2.267321e-01   5.101021e-02 
2.425583e-01   5.101615e-02 
2.509677e-01   5.101344e-02 
2.597452e-01   5.101148e-02 
2.785467e-01   5.101438e-02 
2.886594e-01   5.101452e-02 
2.993216e-01   5.101355e-02 
3.225997e-01   5.101384e-02 
3.354189e-01   5.101503e-02 
3.492091e-01   5.101431e-02 
3.641642e-01   5.101474e-02 
3.805469e-01   5.101474e-02 
3.987252e-01   5.101501e-02 
