k_long[1/Mpc]	 Pmm	 Pmh	 Phh 
8.8662e-03	 8.0234e+04	 9.3235e+04	 1.0834e+05 
1.1162e-02	 8.2313e+04	 9.5651e+04	 1.1115e+05 
1.1162e-02	 8.2313e+04	 9.5651e+04	 1.1115e+05 
1.1162e-02	 8.2313e+04	 9.5651e+04	 1.1115e+05 
1.1162e-02	 8.2313e+04	 9.5651e+04	 1.1115e+05 
1.4052e-02	 7.9938e+04	 9.2891e+04	 1.0794e+05 
1.4052e-02	 7.9938e+04	 9.2891e+04	 1.0794e+05 
1.4052e-02	 7.9938e+04	 9.2891e+04	 1.0794e+05 
1.4052e-02	 7.9938e+04	 9.2891e+04	 1.0794e+05 
1.4052e-02	 7.9938e+04	 9.2891e+04	 1.0794e+05 
1.7690e-02	 7.2519e+04	 8.4271e+04	 9.7928e+04 
1.7690e-02	 7.2519e+04	 8.4271e+04	 9.7928e+04 
1.7690e-02	 7.2519e+04	 8.4271e+04	 9.7928e+04 
1.7690e-02	 7.2519e+04	 8.4271e+04	 9.7928e+04 
1.7690e-02	 7.2519e+04	 8.4271e+04	 9.7928e+04 
2.2259e-02	 6.1173e+04	 7.1087e+04	 8.2608e+04 
2.2259e-02	 6.1173e+04	 7.1087e+04	 8.2608e+04 
2.2259e-02	 6.1173e+04	 7.1087e+04	 8.2608e+04 
2.2259e-02	 6.1173e+04	 7.1087e+04	 8.2608e+04 
2.2259e-02	 6.1173e+04	 7.1087e+04	 8.2608e+04 
2.7650e-02	 4.9778e+04	 5.7845e+04	 6.7219e+04 
2.7650e-02	 4.9778e+04	 5.7845e+04	 6.7219e+04 
2.7650e-02	 4.9778e+04	 5.7845e+04	 6.7219e+04 
2.7650e-02	 4.9778e+04	 5.7845e+04	 6.7219e+04 
3.2209e-02	 4.3212e+04	 5.0214e+04	 5.8351e+04 
3.2209e-02	 4.3212e+04	 5.0214e+04	 5.8351e+04 
3.2209e-02	 4.3212e+04	 5.0214e+04	 5.8351e+04 
3.5513e-02	 3.9975e+04	 4.6453e+04	 5.3981e+04 
3.8235e-02	 3.7949e+04	 4.4099e+04	 5.1245e+04 
3.8235e-02	 3.7949e+04	 4.4099e+04	 5.1245e+04 
4.0665e-02	 3.6416e+04	 4.2318e+04	 4.9176e+04 
4.2930e-02	 3.5076e+04	 4.0760e+04	 4.7366e+04 
4.5099e-02	 3.3776e+04	 3.9249e+04	 4.5610e+04 
4.7213e-02	 3.2437e+04	 3.7693e+04	 4.3800e+04 
4.9298e-02	 3.1020e+04	 3.6048e+04	 4.1889e+04 
5.1373e-02	 2.9518e+04	 3.4302e+04	 3.9861e+04 
5.3452e-02	 2.7941e+04	 3.2470e+04	 3.7732e+04 
5.5546e-02	 2.6317e+04	 3.0582e+04	 3.5539e+04 
5.9815e-02	 2.3092e+04	 2.6835e+04	 3.1184e+04 
6.2003e-02	 2.1581e+04	 2.5078e+04	 2.9143e+04 
6.4235e-02	 2.0191e+04	 2.3464e+04	 2.7267e+04 
6.8853e-02	 1.7889e+04	 2.0788e+04	 2.4157e+04 
7.1248e-02	 1.6998e+04	 1.9752e+04	 2.2953e+04 
7.3707e-02	 1.6270e+04	 1.8907e+04	 2.1971e+04 
7.8834e-02	 1.5187e+04	 1.7648e+04	 2.0508e+04 
8.1510e-02	 1.4744e+04	 1.7134e+04	 1.9911e+04 
8.4267e-02	 1.4299e+04	 1.6616e+04	 1.9309e+04 
9.0040e-02	 1.3225e+04	 1.5369e+04	 1.7860e+04 
9.3064e-02	 1.2550e+04	 1.4585e+04	 1.6948e+04 
9.9408e-02	 1.0993e+04	 1.2774e+04	 1.4844e+04 
1.0274e-01	 1.0198e+04	 1.1851e+04	 1.3772e+04 
1.0973e-01	 8.8363e+03	 1.0268e+04	 1.1933e+04 
1.1340e-01	 8.3304e+03	 9.6804e+03	 1.1249e+04 
1.1719e-01	 7.9407e+03	 9.2275e+03	 1.0723e+04 
1.2516e-01	 7.3617e+03	 8.5546e+03	 9.9409e+03 
1.2934e-01	 7.0714e+03	 8.2175e+03	 9.5492e+03 
1.3814e-01	 6.3087e+03	 7.3311e+03	 8.5192e+03 
1.4276e-01	 5.8600e+03	 6.8098e+03	 7.9134e+03 
1.5247e-01	 5.0410e+03	 5.8579e+03	 6.8072e+03 
1.5757e-01	 4.7337e+03	 5.5008e+03	 6.3924e+03 
1.6284e-01	 4.4948e+03	 5.2231e+03	 6.0695e+03 
1.7392e-01	 4.0823e+03	 4.7439e+03	 5.5127e+03 
1.7974e-01	 3.8436e+03	 4.4665e+03	 5.1903e+03 
1.9201e-01	 3.3187e+03	 3.8565e+03	 4.4815e+03 
1.9846e-01	 3.0916e+03	 3.5927e+03	 4.1749e+03 
2.0515e-01	 2.9069e+03	 3.3780e+03	 3.9254e+03 
2.1927e-01	 2.5914e+03	 3.0113e+03	 3.4993e+03 
2.2673e-01	 2.4218e+03	 2.8143e+03	 3.2705e+03 
2.4256e-01	 2.0918e+03	 2.4307e+03	 2.8247e+03 
2.5097e-01	 1.9566e+03	 2.2737e+03	 2.6421e+03 
2.5975e-01	 1.8335e+03	 2.1307e+03	 2.4760e+03 
2.7855e-01	 1.5858e+03	 1.8428e+03	 2.1414e+03 
2.8866e-01	 1.4699e+03	 1.7081e+03	 1.9849e+03 
2.9932e-01	 1.3651e+03	 1.5863e+03	 1.8433e+03 
3.2260e-01	 1.1676e+03	 1.3568e+03	 1.5767e+03 
3.3542e-01	 1.0739e+03	 1.2479e+03	 1.4501e+03 
3.4921e-01	 9.8680e+02	 1.1467e+03	 1.3325e+03 
3.6416e-01	 9.0212e+02	 1.0483e+03	 1.2182e+03 
3.8055e-01	 8.2011e+02	 9.5301e+02	 1.1074e+03 
3.9873e-01	 7.4163e+02	 8.6182e+02	 1.0015e+03 
