k_long[1/Mpc]	 Pmm	 Pmh	 Phh 
8.8662e-03	 8.0234e+04	 6.5398e+04	 5.3305e+04 
1.1162e-02	 8.2313e+04	 6.7091e+04	 5.4684e+04 
1.1162e-02	 8.2313e+04	 6.7091e+04	 5.4684e+04 
1.1162e-02	 8.2313e+04	 6.7091e+04	 5.4684e+04 
1.1162e-02	 8.2313e+04	 6.7091e+04	 5.4684e+04 
1.4052e-02	 7.9938e+04	 6.5156e+04	 5.3107e+04 
1.4052e-02	 7.9938e+04	 6.5156e+04	 5.3107e+04 
1.4052e-02	 7.9938e+04	 6.5156e+04	 5.3107e+04 
1.4052e-02	 7.9938e+04	 6.5156e+04	 5.3107e+04 
1.4052e-02	 7.9938e+04	 6.5156e+04	 5.3107e+04 
1.7690e-02	 7.2519e+04	 5.9110e+04	 4.8181e+04 
1.7690e-02	 7.2519e+04	 5.9110e+04	 4.8181e+04 
1.7690e-02	 7.2519e+04	 5.9110e+04	 4.8181e+04 
1.7690e-02	 7.2519e+04	 5.9110e+04	 4.8181e+04 
1.7690e-02	 7.2519e+04	 5.9110e+04	 4.8181e+04 
2.2259e-02	 6.1173e+04	 4.9861e+04	 4.0641e+04 
2.2259e-02	 6.1173e+04	 4.9861e+04	 4.0641e+04 
2.2259e-02	 6.1173e+04	 4.9861e+04	 4.0641e+04 
2.2259e-02	 6.1173e+04	 4.9861e+04	 4.0641e+04 
2.2259e-02	 6.1173e+04	 4.9861e+04	 4.0641e+04 
2.7650e-02	 4.9778e+04	 4.0574e+04	 3.3072e+04 
2.7650e-02	 4.9778e+04	 4.0574e+04	 3.3072e+04 
2.7650e-02	 4.9778e+04	 4.0574e+04	 3.3072e+04 
2.7650e-02	 4.9778e+04	 4.0574e+04	 3.3072e+04 
3.2209e-02	 4.3212e+04	 3.5221e+04	 2.8708e+04 
3.2209e-02	 4.3212e+04	 3.5221e+04	 2.8708e+04 
3.2209e-02	 4.3212e+04	 3.5221e+04	 2.8708e+04 
3.5513e-02	 3.9975e+04	 3.2582e+04	 2.6557e+04 
3.8235e-02	 3.7949e+04	 3.0932e+04	 2.5211e+04 
3.8235e-02	 3.7949e+04	 3.0932e+04	 2.5211e+04 
4.0665e-02	 3.6416e+04	 2.9682e+04	 2.4194e+04 
4.2930e-02	 3.5076e+04	 2.8590e+04	 2.3304e+04 
4.5099e-02	 3.3776e+04	 2.7530e+04	 2.2440e+04 
4.7213e-02	 3.2437e+04	 2.6439e+04	 2.1550e+04 
4.9298e-02	 3.1020e+04	 2.5284e+04	 2.0608e+04 
5.1373e-02	 2.9518e+04	 2.4059e+04	 1.9610e+04 
5.3452e-02	 2.7941e+04	 2.2774e+04	 1.8562e+04 
5.5546e-02	 2.6317e+04	 2.1450e+04	 1.7483e+04 
5.9815e-02	 2.3092e+04	 1.8822e+04	 1.5341e+04 
6.2003e-02	 2.1581e+04	 1.7590e+04	 1.4337e+04 
6.4235e-02	 2.0191e+04	 1.6458e+04	 1.3414e+04 
6.8853e-02	 1.7889e+04	 1.4581e+04	 1.1885e+04 
7.1248e-02	 1.6998e+04	 1.3854e+04	 1.1292e+04 
7.3707e-02	 1.6270e+04	 1.3261e+04	 1.0809e+04 
7.8834e-02	 1.5187e+04	 1.2378e+04	 1.0089e+04 
8.1510e-02	 1.4744e+04	 1.2017e+04	 9.7951e+03 
8.4267e-02	 1.4299e+04	 1.1655e+04	 9.4993e+03 
9.0040e-02	 1.3225e+04	 1.0779e+04	 8.7858e+03 
9.3064e-02	 1.2550e+04	 1.0230e+04	 8.3380e+03 
9.9408e-02	 1.0993e+04	 8.9596e+03	 7.3027e+03 
1.0274e-01	 1.0198e+04	 8.3122e+03	 6.7749e+03 
1.0973e-01	 8.8363e+03	 7.2023e+03	 5.8705e+03 
1.1340e-01	 8.3304e+03	 6.7897e+03	 5.5340e+03 
1.1719e-01	 7.9407e+03	 6.4721e+03	 5.2751e+03 
1.2516e-01	 7.3617e+03	 6.0002e+03	 4.8906e+03 
1.2934e-01	 7.0714e+03	 5.7638e+03	 4.6980e+03 
1.3814e-01	 6.3087e+03	 5.1421e+03	 4.1913e+03 
1.4276e-01	 5.8600e+03	 4.7764e+03	 3.8932e+03 
1.5247e-01	 5.0410e+03	 4.1088e+03	 3.3489e+03 
1.5757e-01	 4.7337e+03	 3.8583e+03	 3.1448e+03 
1.6284e-01	 4.4948e+03	 3.6636e+03	 2.9861e+03 
1.7392e-01	 4.0823e+03	 3.3274e+03	 2.7121e+03 
1.7974e-01	 3.8436e+03	 3.1328e+03	 2.5535e+03 
1.9201e-01	 3.3187e+03	 2.7049e+03	 2.2047e+03 
1.9846e-01	 3.0916e+03	 2.5199e+03	 2.0540e+03 
2.0515e-01	 2.9069e+03	 2.3693e+03	 1.9311e+03 
2.1927e-01	 2.5914e+03	 2.1121e+03	 1.7215e+03 
2.2673e-01	 2.4218e+03	 1.9740e+03	 1.6090e+03 
2.4256e-01	 2.0918e+03	 1.7049e+03	 1.3896e+03 
2.5097e-01	 1.9566e+03	 1.5948e+03	 1.2999e+03 
2.5975e-01	 1.8335e+03	 1.4945e+03	 1.2181e+03 
2.7855e-01	 1.5858e+03	 1.2925e+03	 1.0535e+03 
2.8866e-01	 1.4699e+03	 1.1980e+03	 9.7648e+02 
2.9932e-01	 1.3651e+03	 1.1126e+03	 9.0686e+02 
3.2260e-01	 1.1676e+03	 9.5167e+02	 7.7567e+02 
3.3542e-01	 1.0739e+03	 8.7526e+02	 7.1339e+02 
