k_long[1/Mpc]	 Pmm	 Pmh	 Phh 
8.8662e-03	 8.0234e+04	 6.9552e+04	 6.0292e+04 
1.1162e-02	 8.2313e+04	 7.1353e+04	 6.1852e+04 
1.1162e-02	 8.2313e+04	 7.1353e+04	 6.1852e+04 
1.1162e-02	 8.2313e+04	 7.1353e+04	 6.1852e+04 
1.1162e-02	 8.2313e+04	 7.1353e+04	 6.1852e+04 
1.4052e-02	 7.9938e+04	 6.9295e+04	 6.0069e+04 
1.4052e-02	 7.9938e+04	 6.9295e+04	 6.0069e+04 
1.4052e-02	 7.9938e+04	 6.9295e+04	 6.0069e+04 
1.4052e-02	 7.9938e+04	 6.9295e+04	 6.0069e+04 
1.4052e-02	 7.9938e+04	 6.9295e+04	 6.0069e+04 
1.7690e-02	 7.2519e+04	 6.2863e+04	 5.4492e+04 
1.7690e-02	 7.2519e+04	 6.2863e+04	 5.4492e+04 
1.7690e-02	 7.2519e+04	 6.2863e+04	 5.4492e+04 
1.7690e-02	 7.2519e+04	 6.2863e+04	 5.4492e+04 
1.7690e-02	 7.2519e+04	 6.2863e+04	 5.4492e+04 
2.2259e-02	 6.1173e+04	 5.3029e+04	 4.5969e+04 
2.2259e-02	 6.1173e+04	 5.3029e+04	 4.5969e+04 
2.2259e-02	 6.1173e+04	 5.3029e+04	 4.5969e+04 
2.2259e-02	 6.1173e+04	 5.3029e+04	 4.5969e+04 
2.2259e-02	 6.1173e+04	 5.3029e+04	 4.5969e+04 
2.7650e-02	 4.9778e+04	 4.3150e+04	 3.7404e+04 
2.7650e-02	 4.9778e+04	 4.3150e+04	 3.7404e+04 
2.7650e-02	 4.9778e+04	 4.3150e+04	 3.7404e+04 
2.7650e-02	 4.9778e+04	 4.3150e+04	 3.7404e+04 
3.2209e-02	 4.3212e+04	 3.7459e+04	 3.2471e+04 
3.2209e-02	 4.3212e+04	 3.7459e+04	 3.2471e+04 
3.2209e-02	 4.3212e+04	 3.7459e+04	 3.2471e+04 
3.5513e-02	 3.9975e+04	 3.4652e+04	 3.0038e+04 
3.8235e-02	 3.7949e+04	 3.2897e+04	 2.8517e+04 
3.8235e-02	 3.7949e+04	 3.2897e+04	 2.8517e+04 
4.0665e-02	 3.6416e+04	 3.1568e+04	 2.7365e+04 
4.2930e-02	 3.5076e+04	 3.0405e+04	 2.6356e+04 
4.5099e-02	 3.3776e+04	 2.9278e+04	 2.5379e+04 
4.7213e-02	 3.2437e+04	 2.8118e+04	 2.4374e+04 
4.9298e-02	 3.1020e+04	 2.6890e+04	 2.3309e+04 
5.1373e-02	 2.9518e+04	 2.5586e+04	 2.2179e+04 
5.3452e-02	 2.7941e+04	 2.4220e+04	 2.0995e+04 
5.5546e-02	 2.6317e+04	 2.2813e+04	 1.9775e+04 
5.9815e-02	 2.3092e+04	 2.0017e+04	 1.7351e+04 
6.2003e-02	 2.1581e+04	 1.8707e+04	 1.6215e+04 
6.4235e-02	 2.0191e+04	 1.7502e+04	 1.5172e+04 
6.8853e-02	 1.7889e+04	 1.5507e+04	 1.3442e+04 
7.1248e-02	 1.6998e+04	 1.4734e+04	 1.2772e+04 
7.3707e-02	 1.6270e+04	 1.4103e+04	 1.2225e+04 
7.8834e-02	 1.5187e+04	 1.3165e+04	 1.1412e+04 
8.1510e-02	 1.4744e+04	 1.2781e+04	 1.1079e+04 
8.4267e-02	 1.4299e+04	 1.2395e+04	 1.0745e+04 
9.0040e-02	 1.3225e+04	 1.1464e+04	 9.9376e+03 
9.3064e-02	 1.2550e+04	 1.0879e+04	 9.4304e+03 
9.9408e-02	 1.0993e+04	 9.5289e+03	 8.2601e+03 
1.0274e-01	 1.0198e+04	 8.8403e+03	 7.6631e+03 
1.0973e-01	 8.8363e+03	 7.6596e+03	 6.6396e+03 
1.1340e-01	 8.3304e+03	 7.2211e+03	 6.2596e+03 
1.1719e-01	 7.9407e+03	 6.8833e+03	 5.9667e+03 
1.2516e-01	 7.3617e+03	 6.3814e+03	 5.5317e+03 
1.2934e-01	 7.0714e+03	 6.1298e+03	 5.3135e+03 
1.3814e-01	 6.3087e+03	 5.4686e+03	 4.7404e+03 
1.4276e-01	 5.8600e+03	 5.0797e+03	 4.4033e+03 
1.5247e-01	 5.0410e+03	 4.3698e+03	 3.7880e+03 
1.5757e-01	 4.7337e+03	 4.1034e+03	 3.5571e+03 
1.6284e-01	 4.4948e+03	 3.8963e+03	 3.3775e+03 
1.7392e-01	 4.0823e+03	 3.5387e+03	 3.0676e+03 
1.7974e-01	 3.8436e+03	 3.3319e+03	 2.8882e+03 
1.9201e-01	 3.3187e+03	 2.8768e+03	 2.4937e+03 
1.9846e-01	 3.0916e+03	 2.6799e+03	 2.3231e+03 
2.0515e-01	 2.9069e+03	 2.5198e+03	 2.1843e+03 
2.1927e-01	 2.5914e+03	 2.2463e+03	 1.9472e+03 
2.2673e-01	 2.4218e+03	 2.0993e+03	 1.8198e+03 
2.4256e-01	 2.0918e+03	 1.8132e+03	 1.5718e+03 
2.5097e-01	 1.9566e+03	 1.6961e+03	 1.4703e+03 
2.5975e-01	 1.8335e+03	 1.5894e+03	 1.3778e+03 
2.7855e-01	 1.5858e+03	 1.3746e+03	 1.1916e+03 
2.8866e-01	 1.4699e+03	 1.2742e+03	 1.1045e+03 
2.9932e-01	 1.3651e+03	 1.1833e+03	 1.0258e+03 
3.2260e-01	 1.1676e+03	 1.0121e+03	 8.7736e+02 
3.3542e-01	 1.0739e+03	 9.3087e+02	 8.0692e+02 
3.4921e-01	 9.8680e+02	 8.5541e+02	 7.4151e+02 
3.6416e-01	 9.0212e+02	 7.8200e+02	 6.7787e+02 
3.8055e-01	 8.2011e+02	 7.1091e+02	 6.1625e+02 
3.9873e-01	 7.4163e+02	 6.4288e+02	 5.5728e+02 
