k_long[1/Mpc]   bias Lagrangian 
8.866209e-03   -3.053607e-02 
1.116190e-02   -3.053825e-02 
1.116190e-02   -3.053825e-02 
1.116190e-02   -3.053825e-02 
1.116190e-02   -3.053825e-02 
1.405199e-02   -3.053681e-02 
1.405199e-02   -3.053681e-02 
1.405199e-02   -3.053681e-02 
1.405199e-02   -3.053681e-02 
1.405199e-02   -3.053681e-02 
1.769033e-02   -3.053366e-02 
1.769033e-02   -3.053366e-02 
1.769033e-02   -3.053366e-02 
1.769033e-02   -3.053366e-02 
1.769033e-02   -3.053366e-02 
2.225937e-02   -3.053560e-02 
2.225937e-02   -3.053560e-02 
2.225937e-02   -3.053560e-02 
2.225937e-02   -3.053560e-02 
2.225937e-02   -3.053560e-02 
2.765040e-02   -3.053418e-02 
2.765040e-02   -3.053418e-02 
2.765040e-02   -3.053418e-02 
2.765040e-02   -3.053418e-02 
3.220914e-02   -3.053739e-02 
3.220914e-02   -3.053739e-02 
3.220914e-02   -3.053739e-02 
3.551287e-02   -3.053919e-02 
3.823508e-02   -3.053771e-02 
3.823508e-02   -3.053771e-02 
4.066459e-02   -3.053591e-02 
4.292995e-02   -3.053457e-02 
4.509913e-02   -3.053499e-02 
4.721285e-02   -3.053677e-02 
4.929782e-02   -3.054009e-02 
5.137288e-02   -3.053844e-02 
5.345206e-02   -3.053825e-02 
5.554635e-02   -3.053948e-02 
5.981466e-02   -3.053674e-02 
6.200282e-02   -3.053769e-02 
6.423503e-02   -3.053723e-02 
6.885279e-02   -3.053621e-02 
7.124807e-02   -3.054084e-02 
7.370706e-02   -3.053719e-02 
7.883367e-02   -3.053772e-02 
8.150980e-02   -3.053774e-02 
8.426675e-02   -3.053947e-02 
9.003960e-02   -3.053903e-02 
9.306376e-02   -3.053676e-02 
9.940811e-02   -3.053877e-02 
1.027366e-01   -3.054061e-02 
1.097267e-01   -3.053624e-02 
1.133969e-01   -3.054061e-02 
1.171893e-01   -3.054091e-02 
1.251584e-01   -3.053932e-02 
1.293438e-01   -3.053545e-02 
1.381392e-01   -3.054165e-02 
1.427588e-01   -3.053559e-02 
1.524668e-01   -3.053850e-02 
1.575662e-01   -3.053679e-02 
1.628370e-01   -3.053811e-02 
1.739192e-01   -3.053698e-02 
1.797449e-01   -3.053834e-02 
1.920073e-01   -3.054059e-02 
1.984630e-01   -3.053539e-02 
2.051499e-01   -3.053942e-02 
2.192691e-01   -3.054061e-02 
2.267321e-01   -3.053663e-02 
2.425583e-01   -3.054020e-02 
2.509677e-01   -3.053857e-02 
2.597452e-01   -3.053740e-02 
2.785467e-01   -3.053913e-02 
2.886594e-01   -3.053922e-02 
2.993216e-01   -3.053864e-02 
3.225997e-01   -3.053881e-02 
3.354189e-01   -3.053952e-02 
3.492091e-01   -3.053909e-02 
3.641642e-01   -3.053935e-02 
3.805469e-01   -3.053935e-02 
3.987252e-01   -3.053951e-02 
