k_long[1/Mpc]   bias Lagrangian 
8.866209e-03   7.963646e-01 
1.116190e-02   7.964209e-01 
1.116190e-02   7.964209e-01 
1.116190e-02   7.964209e-01 
1.116190e-02   7.964209e-01 
1.405199e-02   7.963796e-01 
1.405199e-02   7.963796e-01 
1.405199e-02   7.963796e-01 
1.405199e-02   7.963796e-01 
1.405199e-02   7.963796e-01 
1.769033e-02   7.964600e-01 
1.769033e-02   7.964600e-01 
1.769033e-02   7.964600e-01 
1.769033e-02   7.964600e-01 
1.769033e-02   7.964600e-01 
2.225937e-02   7.965073e-01 
2.225937e-02   7.965073e-01 
2.225937e-02   7.965073e-01 
2.225937e-02   7.965073e-01 
2.225937e-02   7.965073e-01 
2.765040e-02   7.964706e-01 
2.765040e-02   7.964706e-01 
2.765040e-02   7.964706e-01 
2.765040e-02   7.964706e-01 
3.220914e-02   7.963941e-01 
3.220914e-02   7.963941e-01 
3.220914e-02   7.963941e-01 
3.551287e-02   7.964410e-01 
3.823508e-02   7.964025e-01 
3.823508e-02   7.964025e-01 
4.066459e-02   7.965157e-01 
4.292995e-02   7.964807e-01 
4.509913e-02   7.964916e-01 
4.721285e-02   7.963780e-01 
4.929782e-02   7.964644e-01 
5.137288e-02   7.965852e-01 
5.345206e-02   7.965767e-01 
5.554635e-02   7.966122e-01 
5.981466e-02   7.965375e-01 
6.200282e-02   7.965657e-01 
6.423503e-02   7.965501e-01 
6.885279e-02   7.965236e-01 
7.124807e-02   7.964840e-01 
7.370706e-02   7.965490e-01 
7.883367e-02   7.965630e-01 
8.150980e-02   7.965671e-01 
8.426675e-02   7.964483e-01 
9.003960e-02   7.965970e-01 
9.306376e-02   7.965415e-01 
9.940811e-02   7.964299e-01 
1.027366e-01   7.964780e-01 
1.097267e-01   7.965245e-01 
1.133969e-01   7.964744e-01 
1.171893e-01   7.964858e-01 
1.251584e-01   7.964444e-01 
1.293438e-01   7.965038e-01 
1.381392e-01   7.965050e-01 
1.427588e-01   7.965073e-01 
1.524668e-01   7.964193e-01 
1.575662e-01   7.965387e-01 
1.628370e-01   7.964128e-01 
1.739192e-01   7.965471e-01 
1.797449e-01   7.964187e-01 
1.920073e-01   7.964773e-01 
1.984630e-01   7.965022e-01 
2.051499e-01   7.964468e-01 
2.192691e-01   7.964779e-01 
2.267321e-01   7.965347e-01 
2.425583e-01   7.964672e-01 
2.509677e-01   7.964248e-01 
2.597452e-01   7.965547e-01 
2.785467e-01   7.964395e-01 
2.886594e-01   7.964416e-01 
2.993216e-01   7.964265e-01 
3.225997e-01   7.964311e-01 
3.354189e-01   7.964497e-01 
3.492091e-01   7.964384e-01 
3.641642e-01   7.964451e-01 
3.805469e-01   7.964451e-01 
3.987252e-01   7.964493e-01 
