k_long[1/Mpc]   bias Lagrangian 
8.866209e-03   -1.331385e-01 
1.116190e-02   -1.331480e-01 
1.116190e-02   -1.331480e-01 
1.116190e-02   -1.331480e-01 
1.116190e-02   -1.331480e-01 
1.405199e-02   -1.331416e-01 
1.405199e-02   -1.331416e-01 
1.405199e-02   -1.331416e-01 
1.405199e-02   -1.331416e-01 
1.405199e-02   -1.331416e-01 
1.769033e-02   -1.331551e-01 
1.769033e-02   -1.331551e-01 
1.769033e-02   -1.331551e-01 
1.769033e-02   -1.331551e-01 
1.769033e-02   -1.331551e-01 
2.225937e-02   -1.331363e-01 
2.225937e-02   -1.331363e-01 
2.225937e-02   -1.331363e-01 
2.225937e-02   -1.331363e-01 
2.225937e-02   -1.331363e-01 
2.765040e-02   -1.331575e-01 
2.765040e-02   -1.331575e-01 
2.765040e-02   -1.331575e-01 
2.765040e-02   -1.331575e-01 
3.220914e-02   -1.331441e-01 
3.220914e-02   -1.331441e-01 
3.220914e-02   -1.331441e-01 
3.551287e-02   -1.331520e-01 
3.823508e-02   -1.331455e-01 
3.823508e-02   -1.331455e-01 
4.066459e-02   -1.331377e-01 
4.292995e-02   -1.331592e-01 
4.509913e-02   -1.331610e-01 
4.721285e-02   -1.331414e-01 
4.929782e-02   -1.331559e-01 
5.137288e-02   -1.331761e-01 
5.345206e-02   -1.331752e-01 
5.554635e-02   -1.331538e-01 
5.981466e-02   -1.331687e-01 
6.200282e-02   -1.331728e-01 
6.423503e-02   -1.331708e-01 
6.885279e-02   -1.331658e-01 
7.124807e-02   -1.331592e-01 
7.370706e-02   -1.331706e-01 
7.883367e-02   -1.331456e-01 
8.150980e-02   -1.331462e-01 
8.426675e-02   -1.331532e-01 
9.003960e-02   -1.331513e-01 
9.306376e-02   -1.331688e-01 
9.940811e-02   -1.331507e-01 
1.027366e-01   -1.331582e-01 
1.097267e-01   -1.331665e-01 
1.133969e-01   -1.331581e-01 
1.171893e-01   -1.331595e-01 
1.251584e-01   -1.331525e-01 
1.293438e-01   -1.331631e-01 
1.381392e-01   -1.331627e-01 
1.427588e-01   -1.331636e-01 
1.524668e-01   -1.331489e-01 
1.575662e-01   -1.331415e-01 
1.628370e-01   -1.331473e-01 
1.739192e-01   -1.331429e-01 
1.797449e-01   -1.331488e-01 
1.920073e-01   -1.331581e-01 
1.984630e-01   -1.331622e-01 
2.051499e-01   -1.331530e-01 
2.192691e-01   -1.331587e-01 
2.267321e-01   -1.331682e-01 
2.425583e-01   -1.331564e-01 
2.509677e-01   -1.331493e-01 
2.597452e-01   -1.331442e-01 
2.785467e-01   -1.331517e-01 
2.886594e-01   -1.331521e-01 
2.993216e-01   -1.331496e-01 
3.225997e-01   -1.331503e-01 
3.354189e-01   -1.331534e-01 
3.492091e-01   -1.331515e-01 
3.641642e-01   -1.331527e-01 
3.805469e-01   -1.331527e-01 
3.987252e-01   -1.331534e-01 
