k_long[1/Mpc]	 Pmm	 Pmh	 Phh 
8.8662e-03	 8.0234e+04	 2.1698e+05	 5.8680e+05 
1.1162e-02	 8.2313e+04	 2.2261e+05	 6.0205e+05 
1.1162e-02	 8.2313e+04	 2.2261e+05	 6.0205e+05 
1.1162e-02	 8.2313e+04	 2.2261e+05	 6.0205e+05 
1.1162e-02	 8.2313e+04	 2.2261e+05	 6.0205e+05 
1.4052e-02	 7.9938e+04	 2.1618e+05	 5.8465e+05 
1.4052e-02	 7.9938e+04	 2.1618e+05	 5.8465e+05 
1.4052e-02	 7.9938e+04	 2.1618e+05	 5.8465e+05 
1.4052e-02	 7.9938e+04	 2.1618e+05	 5.8465e+05 
1.4052e-02	 7.9938e+04	 2.1618e+05	 5.8465e+05 
1.7690e-02	 7.2519e+04	 1.9613e+05	 5.3045e+05 
1.7690e-02	 7.2519e+04	 1.9613e+05	 5.3045e+05 
1.7690e-02	 7.2519e+04	 1.9613e+05	 5.3045e+05 
1.7690e-02	 7.2519e+04	 1.9613e+05	 5.3045e+05 
1.7690e-02	 7.2519e+04	 1.9613e+05	 5.3045e+05 
2.2259e-02	 6.1173e+04	 1.6543e+05	 4.4738e+05 
2.2259e-02	 6.1173e+04	 1.6543e+05	 4.4738e+05 
2.2259e-02	 6.1173e+04	 1.6543e+05	 4.4738e+05 
2.2259e-02	 6.1173e+04	 1.6543e+05	 4.4738e+05 
2.2259e-02	 6.1173e+04	 1.6543e+05	 4.4738e+05 
2.7650e-02	 4.9778e+04	 1.3463e+05	 3.6412e+05 
2.7650e-02	 4.9778e+04	 1.3463e+05	 3.6412e+05 
2.7650e-02	 4.9778e+04	 1.3463e+05	 3.6412e+05 
2.7650e-02	 4.9778e+04	 1.3463e+05	 3.6412e+05 
3.2209e-02	 4.3212e+04	 1.1686e+05	 3.1605e+05 
3.2209e-02	 4.3212e+04	 1.1686e+05	 3.1605e+05 
3.2209e-02	 4.3212e+04	 1.1686e+05	 3.1605e+05 
3.5513e-02	 3.9975e+04	 1.0811e+05	 2.9239e+05 
