k_long[1/Mpc]   bias Eulerian 
8.866209e-03   8.362958e-01 
1.116190e-02   8.362844e-01 
1.116190e-02   8.362844e-01 
1.116190e-02   8.362844e-01 
1.116190e-02   8.362844e-01 
1.405199e-02   8.362597e-01 
1.405199e-02   8.362597e-01 
1.405199e-02   8.362597e-01 
1.405199e-02   8.362597e-01 
1.405199e-02   8.362597e-01 
1.769033e-02   8.362759e-01 
1.769033e-02   8.362759e-01 
1.769033e-02   8.362759e-01 
1.769033e-02   8.362759e-01 
1.769033e-02   8.362759e-01 
2.225937e-02   8.362662e-01 
2.225937e-02   8.362662e-01 
2.225937e-02   8.362662e-01 
2.225937e-02   8.362662e-01 
2.225937e-02   8.362662e-01 
2.765040e-02   8.362738e-01 
2.765040e-02   8.362738e-01 
2.765040e-02   8.362738e-01 
2.765040e-02   8.362738e-01 
3.220914e-02   8.362567e-01 
3.220914e-02   8.362567e-01 
3.220914e-02   8.362567e-01 
3.551287e-02   8.362799e-01 
3.823508e-02   8.362879e-01 
3.823508e-02   8.362879e-01 
4.066459e-02   8.362646e-01 
4.292995e-02   8.362718e-01 
4.509913e-02   8.362695e-01 
4.721285e-02   8.362929e-01 
4.929782e-02   8.362751e-01 
5.137288e-02   8.362503e-01 
5.345206e-02   8.362521e-01 
5.554635e-02   8.362448e-01 
5.981466e-02   8.362594e-01 
6.200282e-02   8.362543e-01 
6.423503e-02   8.362568e-01 
6.885279e-02   8.362630e-01 
7.124807e-02   8.362711e-01 
7.370706e-02   8.362571e-01 
7.883367e-02   8.362542e-01 
8.150980e-02   8.362541e-01 
8.426675e-02   8.362785e-01 
9.003960e-02   8.362479e-01 
9.306376e-02   8.362593e-01 
9.940811e-02   8.362486e-01 
1.027366e-01   8.362724e-01 
1.097267e-01   8.362621e-01 
1.133969e-01   8.362724e-01 
1.171893e-01   8.362708e-01 
1.251584e-01   8.362793e-01 
1.293438e-01   8.362663e-01 
1.381392e-01   8.362668e-01 
1.427588e-01   8.362656e-01 
1.524668e-01   8.362507e-01 
1.575662e-01   8.362599e-01 
1.628370e-01   8.362521e-01 
1.739192e-01   8.362582e-01 
1.797449e-01   8.362509e-01 
1.920073e-01   8.362725e-01 
1.984630e-01   8.362674e-01 
2.051499e-01   8.362788e-01 
2.192691e-01   8.362717e-01 
2.267321e-01   8.362600e-01 
2.425583e-01   8.362746e-01 
2.509677e-01   8.362833e-01 
2.597452e-01   8.362559e-01 
2.785467e-01   8.362803e-01 
2.886594e-01   8.362799e-01 
2.993216e-01   8.362830e-01 
3.225997e-01   8.362820e-01 
3.354189e-01   8.362782e-01 
3.492091e-01   8.362805e-01 
3.641642e-01   8.362791e-01 
3.805469e-01   8.362791e-01 
3.987252e-01   8.362783e-01 
