k_long[1/Mpc]	 Pmm	 Pmh	 Phh 
8.9004e-03	 7.7088e+04	 6.8052e+04	 6.0074e+04 
1.1205e-02	 7.8606e+04	 6.9439e+04	 6.1340e+04 
1.1205e-02	 7.8606e+04	 6.9439e+04	 6.1340e+04 
1.1205e-02	 7.8606e+04	 6.9439e+04	 6.1340e+04 
1.1205e-02	 7.8606e+04	 6.9439e+04	 6.1340e+04 
1.1205e-02	 7.8606e+04	 6.9439e+04	 6.1340e+04 
1.4106e-02	 7.5862e+04	 6.7064e+04	 5.9287e+04 
1.4106e-02	 7.5862e+04	 6.7064e+04	 5.9287e+04 
1.4106e-02	 7.5862e+04	 6.7064e+04	 5.9287e+04 
1.4106e-02	 7.5862e+04	 6.7064e+04	 5.9287e+04 
1.7758e-02	 6.8403e+04	 6.0519e+04	 5.3544e+04 
1.7758e-02	 6.8403e+04	 6.0519e+04	 5.3544e+04 
1.7758e-02	 6.8403e+04	 6.0519e+04	 5.3544e+04 
1.7758e-02	 6.8403e+04	 6.0519e+04	 5.3544e+04 
1.7758e-02	 6.8403e+04	 6.0519e+04	 5.3544e+04 
2.2344e-02	 5.7387e+04	 5.0813e+04	 4.4993e+04 
2.2344e-02	 5.7387e+04	 5.0813e+04	 4.4993e+04 
2.2344e-02	 5.7387e+04	 5.0813e+04	 4.4993e+04 
2.2344e-02	 5.7387e+04	 5.0813e+04	 4.4993e+04 
2.2344e-02	 5.7387e+04	 5.0813e+04	 4.4993e+04 
2.7740e-02	 4.6538e+04	 4.1238e+04	 3.6541e+04 
2.7740e-02	 4.6538e+04	 4.1238e+04	 3.6541e+04 
2.7740e-02	 4.6538e+04	 4.1238e+04	 3.6541e+04 
2.7740e-02	 4.6538e+04	 4.1238e+04	 3.6541e+04 
3.2274e-02	 4.0369e+04	 3.5788e+04	 3.1727e+04 
3.2274e-02	 4.0369e+04	 3.5788e+04	 3.1727e+04 
3.2274e-02	 4.0369e+04	 3.5788e+04	 3.1727e+04 
3.5564e-02	 3.7320e+04	 3.3095e+04	 2.9348e+04 
3.8281e-02	 3.5407e+04	 3.1405e+04	 2.7855e+04 
3.8281e-02	 3.5407e+04	 3.1405e+04	 2.7855e+04 
4.0707e-02	 3.3957e+04	 3.0123e+04	 2.6723e+04 
4.2971e-02	 3.2689e+04	 2.9003e+04	 2.5733e+04 
4.5139e-02	 3.1461e+04	 2.7917e+04	 2.4772e+04 
4.7252e-02	 3.0199e+04	 2.6800e+04	 2.3784e+04 
4.9337e-02	 2.8867e+04	 2.5620e+04	 2.2739e+04 
5.1412e-02	 2.7456e+04	 2.4370e+04	 2.1632e+04 
5.3492e-02	 2.5978e+04	 2.3060e+04	 2.0470e+04 
5.5587e-02	 2.4458e+04	 2.1713e+04	 1.9276e+04 
5.9857e-02	 2.1447e+04	 1.9042e+04	 1.6908e+04 
6.2046e-02	 2.0038e+04	 1.7792e+04	 1.5799e+04 
6.4279e-02	 1.8744e+04	 1.6645e+04	 1.4781e+04 
6.8899e-02	 1.6601e+04	 1.4744e+04	 1.3095e+04 
7.1296e-02	 1.5773e+04	 1.4009e+04	 1.2442e+04 
7.3756e-02	 1.5096e+04	 1.3409e+04	 1.1910e+04 
7.8885e-02	 1.4089e+04	 1.2515e+04	 1.1117e+04 
8.1563e-02	 1.3676e+04	 1.2149e+04	 1.0793e+04 
8.4322e-02	 1.3261e+04	 1.1781e+04	 1.0466e+04 
9.0098e-02	 1.2259e+04	 1.0892e+04	 9.6769e+03 
9.3124e-02	 1.1630e+04	 1.0333e+04	 9.1808e+03 
9.9473e-02	 1.0180e+04	 9.0459e+03	 8.0380e+03 
1.0280e-01	 9.4432e+03	 8.3912e+03	 7.4564e+03 
1.0980e-01	 8.1814e+03	 7.2705e+03	 6.4611e+03 
1.1347e-01	 7.7135e+03	 6.8548e+03	 6.0918e+03 
1.1727e-01	 7.3531e+03	 6.5347e+03	 5.8074e+03 
1.2524e-01	 6.8165e+03	 6.0582e+03	 5.3843e+03 
1.2943e-01	 6.5459e+03	 5.8180e+03	 5.1710e+03 
1.3823e-01	 5.8367e+03	 5.1879e+03	 4.6112e+03 
1.4285e-01	 5.4207e+03	 4.8181e+03	 4.2826e+03 
