#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_tot                  9:phi                   10:psi                
       6.646933731749e-03       1.600283559852e-01      -3.356678249617e+02      -3.358241253575e+02       1.636980110138e-01      -2.916673089721e+02      -2.459079276662e+02      -3.350624376476e+02       4.077164211756e-01       4.077164153552e-01 
       8.367993785410e-03       1.524751157002e-01      -5.063256869398e+02      -5.066451099558e+02       1.559670181217e-01      -4.233587828447e+02      -3.426827399814e+02      -5.052529061699e+02       3.879188080566e-01       3.879188067322e-01 
       1.053468002219e-02       1.434399322927e-01      -7.537434726235e+02      -7.544190230995e+02       1.467192758545e-01      -6.002495214857e+02      -4.604468696761e+02      -7.519039673259e+02       3.642454001372e-01       3.642453997598e-01 
       1.326237638505e-02       1.327705847136e-01      -1.103450371922e+03      -1.104906285582e+03       1.357994678362e-01      -8.243032122194e+02      -5.952895012682e+02      -1.100446481042e+03       3.363569320530e-01       3.363569318746e-01 
       1.669634265189e-02       1.203623409867e-01      -1.581031481222e+03      -1.584170105663e+03       1.231007997709e-01      -1.086673050435e+03      -7.342703634408e+02      -1.576458327499e+03       3.040281242648e-01       3.040281241441e-01 
       2.101944986743e-02       1.062025021962e-01      -2.203362051740e+03      -2.209961188135e+03       1.086112848366e-01      -1.367299728847e+03      -8.460454040505e+02      -2.197086442550e+03       2.673488097172e-01       2.673488096313e-01 
       2.646178466945e-02       9.061365188576e-02      -2.967175806260e+03      -2.980266654708e+03       9.266172128181e-02      -1.613695983547e+03      -9.181910540904e+02      -2.959710422066e+03       2.272399189515e-01       2.272399188928e-01 
       3.329517939715e-02       7.459990422447e-02      -3.850330067560e+03      -3.873637694974e+03       7.628006217344e-02      -1.791799398416e+03      -9.315853769124e+02      -3.842694232111e+03       1.863574087494e-01       1.863574087118e-01 
       4.133575470023e-02       6.075955555085e-02      -4.815519357351e+03      -4.849552043391e+03       6.212345798715e-02      -1.882894841204e+03      -8.979148927109e+02      -4.806374926520e+03       1.512304933882e-01       1.512304933646e-01 
       4.809093789742e-02       5.274235495961e-02      -5.648359661113e+03      -5.686710483934e+03       5.392367996129e-02      -1.923171738074e+03      -8.635133925409e+02      -5.633483314180e+03       1.309555575887e-01       1.309555575719e-01 
       5.299430340815e-02       4.846955454638e-02      -6.299647012801e+03      -6.337794541216e+03       4.955372399851e-02      -1.948229227495e+03      -8.421621503628e+02      -6.277270001051e+03       1.201671665439e-01       1.201671665304e-01 
       5.704163061082e-02       4.561800597322e-02      -6.867662123619e+03      -6.904016229452e+03       4.663739528285e-02      -1.966837010626e+03      -8.265073957821e+02      -6.837380160088e+03       1.129741888511e-01       1.129741888397e-01 
       6.065710860787e-02       4.341032526664e-02      -7.388983046221e+03      -7.423157643443e+03       4.437961929077e-02      -1.979916947668e+03      -8.128599959536e+02      -7.350973076035e+03       1.074124879710e-01       1.074124879610e-01 
       6.403012127540e-02       4.152826384616e-02      -7.875366053553e+03      -7.907641754829e+03       4.245490754385e-02      -1.986647500395e+03      -7.993237876571e+02      -7.830214506460e+03       1.026782248700e-01       1.026782248612e-01 
       6.726102464386e-02       3.981388813603e-02      -8.329484725415e+03      -8.360599274190e+03       4.070174188112e-02      -1.986107108999e+03      -7.848311525903e+02      -8.278118519001e+03       9.837347493253e-02       9.837347492465e-02 
       7.041004332232e-02       3.818099974302e-02      -8.750427357054e+03      -8.781449349033e+03       3.903197136917e-02      -1.977945943839e+03      -7.687936198796e+02      -8.694055409706e+03       9.428150408657e-02       9.428150407952e-02 
       7.351676156355e-02       3.658244619122e-02      -9.136220425345e+03      -9.168442034482e+03       3.739737174402e-02      -1.961589798886e+03      -7.509204006497e+02      -9.076255600133e+03       9.028327306092e-02       9.028327305460e-02 
       7.660909085354e-02       3.499524505663e-02      -9.485319858518e+03      -9.520144258558e+03       3.577443832714e-02      -1.937463737762e+03      -7.311231674852e+02      -9.423288230193e+03       8.632074192667e-02       8.632074192100e-02 
       7.970786379279e-02       3.341327200579e-02      -9.797636098524e+03      -9.836454302367e+03       3.415690167012e-02      -1.905871365425e+03      -7.095251511208e+02      -9.735057333856e+03       8.237766415940e-02       8.237766415430e-02 
       8.282938828838e-02       3.184253080311e-02      -1.007532224995e+04      -1.011937858539e+04       3.255089459256e-02      -1.868055694461e+03      -6.864869708687e+02      -1.001357951558e+04       7.846820831131e-02       7.846820830674e-02 
       8.598696171106e-02       3.029785191970e-02      -1.032331253407e+04      -1.037356663646e+04       3.097157344003e-02      -1.825293729783e+03      -6.625373811389e+02      -1.026350632183e+04       7.462834914228e-02       7.462834913818e-02 
       8.919181580667e-02       2.879979332637e-02      -1.054955206423e+04      -1.060654809265e+04       2.943994971627e-02      -1.779438109061e+03      -6.382911611051e+02      -1.049236116673e+04       7.090820686762e-02       7.090820686394e-02 
       9.245373157120e-02       2.737164767324e-02      -1.076490162446e+04      -1.082865980115e+04       2.797983105433e-02      -1.732494569423e+03      -6.144000119371e+02      -1.071046050732e+04       6.736472370434e-02       6.736472370105e-02 
       9.578145339930e-02       2.603632078961e-02      -1.098253216752e+04      -1.105248244829e+04       2.661462827010e-02      -1.686396404704e+03      -5.915105138651e+02      -1.093034861186e+04       6.405373244176e-02       6.405373243880e-02 
       9.918297609940e-02       2.481317730963e-02      -1.121688867255e+04      -1.129186116203e+04       2.536413303120e-02      -1.643202319798e+03      -5.702104981147e+02      -1.116582193467e+04       6.102245778052e-02       6.102245777786e-02 
       1.026657485209e-01       2.371507247096e-02      -1.148207629172e+04      -1.156037024025e+04       2.424148172324e-02      -1.604239706952e+03      -5.509533604708e+02      -1.143039265969e+04       5.830197395235e-02       5.830197394994e-02 
       1.062368207877e-01       2.274579842558e-02      -1.178984909023e+04      -1.186939277115e+04       2.325054634251e-02      -1.570543034370e+03      -5.339724489636e+02      -1.173537928941e+04       5.590108802076e-02       5.590108801858e-02 
       1.099029523497e-01       2.189889648095e-02      -1.214764809215e+04      -1.222623699320e+04       2.238472053377e-02      -1.542302944968e+03      -5.192486572625e+02      -1.208802828620e+04       5.380343546927e-02       5.380343546729e-02 
       1.136706921588e-01       2.115704372695e-02      -1.255642516850e+04      -1.263203745683e+04       2.162629230865e-02      -1.518741504571e+03      -5.064815438802e+02      -1.248942632940e+04       5.196593385560e-02       5.196593385379e-02 
       1.175464385997e-01       2.049344713504e-02      -1.300931665976e+04      -1.308046374831e+04       2.094787035098e-02      -1.498501150059e+03      -4.951196203687e+02      -1.293322142960e+04       5.032236154666e-02       5.032236154501e-02 
       1.215364844719e-01       1.987459825493e-02      -1.349118191314e+04      -1.355723812148e+04       2.031519955906e-02      -1.479445402865e+03      -4.844183648441e+02      -1.340514799912e+04       4.879007905262e-02       4.879007905110e-02 
       1.256470508020e-01       1.926467552614e-02      -1.397973035681e+04      -1.404117513859e+04       1.969166132486e-02      -1.458989666402e+03      -4.735410596229e+02      -1.388407085871e+04       4.728087101974e-02       4.728087101835e-02 
       1.298843122651e-01       1.863098588123e-02      -1.444843508221e+04      -1.450693342866e+04       1.904383611282e-02      -1.434728975922e+03      -4.617027058915e+02      -1.434473558090e+04       4.571433347003e-02       4.571433346876e-02 
       1.342544163337e-01       1.794992083932e-02      -1.487142164846e+04      -1.492967473841e+04       1.834759180278e-02      -1.404812616195e+03      -4.483085881527e+02      -1.476241283601e+04       4.403250825665e-02       4.403250825549e-02 
       1.387634978296e-01       1.721180212370e-02      -1.522938971468e+04      -1.529073144890e+04       1.759303604148e-02      -1.368305721652e+03      -4.330965775254e+02      -1.511854333423e+04       4.221168707812e-02       4.221168707707e-02 
       1.434176902626e-01       1.642353110690e-02      -1.551554314818e+04      -1.558330743444e+04       1.678722393625e-02      -1.325564617986e+03      -4.162202476782e+02      -1.540641180235e+04       4.026885583873e-02       4.026885583779e-02 
       1.482231351432e-01       1.560788118159e-02      -1.573983312952e+04      -1.581658737593e+04       1.595343545378e-02      -1.278326674566e+03      -3.982710146989e+02      -1.563523061061e+04       3.826005015654e-02       3.826005015569e-02 
       1.531859903357e-01       1.479923563920e-02      -1.592977907446e+04      -1.601659860585e+04       1.512681644919e-02      -1.229413279582e+03      -3.801591819881e+02      -1.583098284349e+04       3.626962061975e-02       3.626962061899e-02 
       1.583124384354e-01       1.403600589823e-02      -1.612666314699e+04      -1.622265938112e+04       1.434662975338e-02      -1.182145753218e+03      -3.628537541424e+02      -1.603286693479e+04       3.439175526317e-02       3.439175526250e-02 
       1.636086961038e-01       1.335106563710e-02      -1.637645550479e+04      -1.647876929668e+04       1.364647690052e-02      -1.139532565486e+03      -3.472414036608e+02      -1.628470756585e+04       3.270697848526e-02       3.270697848465e-02 
       1.690810252666e-01       1.276242841649e-02      -1.671666042725e+04      -1.682104348430e+04       1.304476857237e-02      -1.103434165778e+03      -3.339067634545e+02      -1.662243624749e+04       3.125922145376e-02       3.125922145321e-02 
       1.747357470568e-01       1.226700923428e-02      -1.716254991079e+04      -1.726449308516e+04       1.253835075071e-02      -1.073936661061e+03      -3.227436775682e+02      -1.706093287986e+04       3.004086800902e-02       3.004086800853e-02 
       1.805792593746e-01       1.184072703824e-02      -1.769793928418e+04      -1.779409279369e+04       1.210260427204e-02      -1.049224689980e+03      -3.132342768161e+02      -1.758515069375e+04       2.899236093772e-02       2.899236093727e-02 
       1.866180589241e-01       1.144633465333e-02      -1.827802796070e+04      -1.836744733982e+04       1.169945853430e-02      -1.026217648361e+03      -3.043593927961e+02      -1.815278338904e+04       2.802264413460e-02       2.802264413419e-02 
       1.928587685865e-01       1.104226786883e-02      -1.883593255063e+04      -1.892066942918e+04       1.128642682229e-02      -1.001258958795e+03      -2.950987023581e+02      -1.870018330789e+04       2.702964273831e-02       2.702964273794e-02 
       1.993081709883e-01       1.059705504784e-02      -1.930520928351e+04      -1.938983432378e+04       1.083133879235e-02      -9.714431542802e+02      -2.845404717070e+02      -1.916374486073e+04       2.593602356675e-02       2.593602356641e-02 
       2.059732491388e-01       1.010503538111e-02      -1.965498179467e+04      -1.974495888955e+04       1.032841002085e-02      -9.361430340671e+02      -2.725562387764e+02      -1.951368537409e+04       2.472810732170e-02       2.472810732140e-02 
