k_long[1/Mpc]   bias Lagrangian 
8.900381e-03   5.230117e+00 
1.120492e-02   5.232057e+00 
1.120492e-02   5.232057e+00 
1.120492e-02   5.232057e+00 
1.120492e-02   5.232057e+00 
1.120492e-02   5.232057e+00 
1.410615e-02   5.234636e+00 
1.410615e-02   5.234636e+00 
1.410615e-02   5.234636e+00 
1.410615e-02   5.234636e+00 
1.775850e-02   5.236680e+00 
1.775850e-02   5.236680e+00 
1.775850e-02   5.236680e+00 
1.775850e-02   5.236680e+00 
1.775850e-02   5.236680e+00 
2.234439e-02   5.238148e+00 
2.234439e-02   5.238148e+00 
2.234439e-02   5.238148e+00 
2.234439e-02   5.238148e+00 
2.234439e-02   5.238148e+00 
2.774042e-02   5.239542e+00 
2.774042e-02   5.239542e+00 
2.774042e-02   5.239542e+00 
2.774042e-02   5.239542e+00 
3.227383e-02   5.240668e+00 
3.227383e-02   5.240668e+00 
3.227383e-02   5.240668e+00 
3.556448e-02   5.241397e+00 
3.828064e-02   5.242158e+00 
3.828064e-02   5.242158e+00 
4.070699e-02   5.242621e+00 
4.297061e-02   5.242026e+00 
4.513887e-02   5.242603e+00 
4.725218e-02   5.242277e+00 
4.933710e-02   5.243237e+00 
5.141236e-02   5.243343e+00 
5.349195e-02   5.243697e+00 
5.558680e-02   5.244209e+00 
5.985663e-02   5.244274e+00 
6.204570e-02   5.244680e+00 
6.427893e-02   5.243774e+00 
6.889898e-02   5.243996e+00 
7.129553e-02   5.244997e+00 
7.375587e-02   5.244510e+00 
7.888541e-02   5.244881e+00 
8.156313e-02   5.245059e+00 
8.432174e-02   5.244418e+00 
9.009814e-02   5.244534e+00 
9.312418e-02   5.245387e+00 
9.947255e-02   5.244959e+00 
1.028031e-01   5.245361e+00 
1.097978e-01   5.244786e+00 
1.134703e-01   5.245572e+00 
1.172652e-01   5.245756e+00 
1.252394e-01   5.245626e+00 
1.294275e-01   5.245063e+00 
1.382286e-01   5.245103e+00 
1.428512e-01   5.245299e+00 
1.476284e-01   5.245316e+00 
1.576682e-01   5.245593e+00 
1.629425e-01   5.245879e+00 
1.740319e-01   5.245697e+00 
1.798615e-01   5.246000e+00 
1.921320e-01   5.245408e+00 
1.985922e-01   5.245619e+00 
2.052836e-01   5.245233e+00 
2.194129e-01   5.245590e+00 
2.268813e-01   5.245917e+00 
2.427195e-01   5.245498e+00 
2.511356e-01   5.245269e+00 
2.599203e-01   5.246121e+00 
2.787383e-01   5.245392e+00 
2.888606e-01   5.245470e+00 
2.995334e-01   5.245375e+00 
3.108290e-01   5.245335e+00 
3.356724e-01   5.245529e+00 
3.494814e-01   5.245474e+00 
3.644590e-01   5.245534e+00 
3.808693e-01   5.245583e+00 
3.990826e-01   5.245581e+00 
