k_long[1/Mpc]   bias Lagrangian 
8.900381e-03   -1.204227e-01 
1.120492e-02   -1.204690e-01 
1.120492e-02   -1.204690e-01 
1.120492e-02   -1.204690e-01 
1.120492e-02   -1.204690e-01 
1.120492e-02   -1.204690e-01 
1.410615e-02   -1.205287e-01 
1.410615e-02   -1.205287e-01 
1.410615e-02   -1.205287e-01 
1.410615e-02   -1.205287e-01 
1.775850e-02   -1.205767e-01 
1.775850e-02   -1.205767e-01 
1.775850e-02   -1.205767e-01 
1.775850e-02   -1.205767e-01 
1.775850e-02   -1.205767e-01 
2.234439e-02   -1.206111e-01 
2.234439e-02   -1.206111e-01 
2.234439e-02   -1.206111e-01 
2.234439e-02   -1.206111e-01 
2.234439e-02   -1.206111e-01 
2.774042e-02   -1.206435e-01 
2.774042e-02   -1.206435e-01 
2.774042e-02   -1.206435e-01 
2.774042e-02   -1.206435e-01 
3.227383e-02   -1.206693e-01 
3.227383e-02   -1.206693e-01 
3.227383e-02   -1.206693e-01 
3.556448e-02   -1.206866e-01 
3.828064e-02   -1.207041e-01 
3.828064e-02   -1.207041e-01 
4.070699e-02   -1.207148e-01 
4.297061e-02   -1.207005e-01 
4.513887e-02   -1.207138e-01 
4.725218e-02   -1.207068e-01 
4.933710e-02   -1.207289e-01 
5.141236e-02   -1.207313e-01 
5.349195e-02   -1.207394e-01 
5.558680e-02   -1.207512e-01 
5.985663e-02   -1.207526e-01 
6.204570e-02   -1.207619e-01 
6.427893e-02   -1.207416e-01 
6.889898e-02   -1.207461e-01 
7.129553e-02   -1.207697e-01 
7.375587e-02   -1.207585e-01 
7.888541e-02   -1.207666e-01 
8.156313e-02   -1.207707e-01 
8.432174e-02   -1.207559e-01 
9.009814e-02   -1.207586e-01 
9.312418e-02   -1.207782e-01 
9.947255e-02   -1.207688e-01 
1.028031e-01   -1.207775e-01 
1.097978e-01   -1.207648e-01 
1.134703e-01   -1.207829e-01 
1.172652e-01   -1.207866e-01 
1.252394e-01   -1.207837e-01 
1.294275e-01   -1.207707e-01 
1.382286e-01   -1.207722e-01 
1.428512e-01   -1.207761e-01 
1.476284e-01   -1.207770e-01 
1.576682e-01   -1.207834e-01 
1.629425e-01   -1.207895e-01 
1.740319e-01   -1.207858e-01 
1.798615e-01   -1.207928e-01 
1.921320e-01   -1.207791e-01 
1.985922e-01   -1.207840e-01 
2.052836e-01   -1.207751e-01 
2.194129e-01   -1.207828e-01 
2.268813e-01   -1.207903e-01 
2.427195e-01   -1.207812e-01 
2.511356e-01   -1.207759e-01 
2.599203e-01   -1.207950e-01 
2.787383e-01   -1.207787e-01 
2.888606e-01   -1.207805e-01 
2.995334e-01   -1.207784e-01 
3.108290e-01   -1.207774e-01 
3.356724e-01   -1.207819e-01 
3.494814e-01   -1.207807e-01 
3.644590e-01   -1.207820e-01 
3.808693e-01   -1.207832e-01 
3.990826e-01   -1.207831e-01 
