k_long[1/Mpc]	 Pmm	 Pmh	 Phh 
8.9004e-03	 7.7088e+04	 3.6268e+05	 1.7063e+06 
1.1205e-02	 7.8606e+04	 3.7025e+05	 1.7440e+06 
1.1205e-02	 7.8606e+04	 3.7025e+05	 1.7440e+06 
1.1205e-02	 7.8606e+04	 3.7025e+05	 1.7440e+06 
1.1205e-02	 7.8606e+04	 3.7025e+05	 1.7440e+06 
1.1205e-02	 7.8606e+04	 3.7025e+05	 1.7440e+06 
1.4106e-02	 7.5862e+04	 3.5770e+05	 1.6866e+06 
1.4106e-02	 7.5862e+04	 3.5770e+05	 1.6866e+06 
1.4106e-02	 7.5862e+04	 3.5770e+05	 1.6866e+06 
1.4106e-02	 7.5862e+04	 3.5770e+05	 1.6866e+06 
1.7758e-02	 6.8403e+04	 3.2291e+05	 1.5243e+06 
1.7758e-02	 6.8403e+04	 3.2291e+05	 1.5243e+06 
1.7758e-02	 6.8403e+04	 3.2291e+05	 1.5243e+06 
1.7758e-02	 6.8403e+04	 3.2291e+05	 1.5243e+06 
1.7758e-02	 6.8403e+04	 3.2291e+05	 1.5243e+06 
2.2344e-02	 5.7387e+04	 2.7124e+05	 1.2820e+06 
2.2344e-02	 5.7387e+04	 2.7124e+05	 1.2820e+06 
2.2344e-02	 5.7387e+04	 2.7124e+05	 1.2820e+06 
2.2344e-02	 5.7387e+04	 2.7124e+05	 1.2820e+06 
2.2344e-02	 5.7387e+04	 2.7124e+05	 1.2820e+06 
2.7740e-02	 4.6538e+04	 2.2018e+05	 1.0417e+06 
2.7740e-02	 4.6538e+04	 2.2018e+05	 1.0417e+06 
2.7740e-02	 4.6538e+04	 2.2018e+05	 1.0417e+06 
2.7740e-02	 4.6538e+04	 2.2018e+05	 1.0417e+06 
3.2274e-02	 4.0369e+04	 1.9112e+05	 9.0479e+05 
3.2274e-02	 4.0369e+04	 1.9112e+05	 9.0479e+05 
3.2274e-02	 4.0369e+04	 1.9112e+05	 9.0479e+05 
3.5564e-02	 3.7320e+04	 1.7676e+05	 8.3717e+05 
3.8281e-02	 3.5407e+04	 1.6773e+05	 7.9454e+05 
3.8281e-02	 3.5407e+04	 1.6773e+05	 7.9454e+05 
4.0707e-02	 3.3957e+04	 1.6090e+05	 7.6237e+05 
4.2971e-02	 3.2689e+04	 1.5492e+05	 7.3421e+05 
4.5139e-02	 3.1461e+04	 1.4913e+05	 7.0694e+05 
4.7252e-02	 3.0199e+04	 1.4316e+05	 6.7868e+05 
4.9337e-02	 2.8867e+04	 1.3686e+05	 6.4886e+05 
5.1412e-02	 2.7456e+04	 1.3021e+05	 6.1748e+05 
5.3492e-02	 2.5978e+04	 1.2321e+05	 5.8440e+05 
5.5587e-02	 2.4458e+04	 1.1601e+05	 5.5023e+05 
5.9857e-02	 2.1447e+04	 1.0174e+05	 4.8263e+05 
6.2046e-02	 2.0038e+04	 9.5068e+04	 4.5105e+05 
6.4279e-02	 1.8744e+04	 8.8936e+04	 4.2199e+05 
6.8899e-02	 1.6601e+04	 7.8784e+04	 3.7388e+05 
7.1296e-02	 1.5773e+04	 7.4855e+04	 3.5525e+05 
7.3756e-02	 1.5096e+04	 7.1655e+04	 3.4011e+05 
7.8885e-02	 1.4089e+04	 6.6873e+04	 3.1742e+05 
8.1563e-02	 1.3676e+04	 6.4919e+04	 3.0817e+05 
8.4322e-02	 1.3261e+04	 6.2955e+04	 2.9888e+05 
9.0098e-02	 1.2259e+04	 5.8203e+04	 2.7635e+05 
9.3124e-02	 1.1630e+04	 5.5218e+04	 2.6217e+05 
9.9473e-02	 1.0180e+04	 4.8344e+04	 2.2958e+05 
1.0280e-01	 9.4432e+03	 4.4841e+04	 2.1293e+05 
1.0980e-01	 8.1814e+03	 3.8855e+04	 1.8453e+05 
1.1347e-01	 7.7135e+03	 3.6633e+04	 1.7397e+05 
1.1727e-01	 7.3531e+03	 3.4923e+04	 1.6586e+05 
1.2524e-01	 6.8165e+03	 3.2375e+04	 1.5377e+05 
1.2943e-01	 6.5459e+03	 3.1094e+04	 1.4770e+05 
1.3823e-01	 5.8367e+03	 2.7726e+04	 1.3171e+05 
1.4285e-01	 5.4207e+03	 2.5751e+04	 1.2233e+05 
1.4763e-01	 5.0161e+03	 2.3830e+04	 1.1321e+05 
1.5767e-01	 4.3790e+03	 2.0802e+04	 9.8814e+04 
1.6294e-01	 4.1583e+03	 1.9754e+04	 9.3846e+04 
1.7403e-01	 3.7760e+03	 1.7938e+04	 8.5218e+04 
1.7986e-01	 3.5543e+03	 1.6886e+04	 8.0226e+04 
1.9213e-01	 3.0681e+03	 1.4578e+04	 6.9265e+04 
1.9859e-01	 2.8583e+03	 1.3581e+04	 6.4534e+04 
2.0528e-01	 2.6877e+03	 1.2771e+04	 6.0678e+04 
2.1941e-01	 2.3955e+03	 1.1383e+04	 5.4089e+04 
2.2688e-01	 2.2386e+03	 1.0636e+04	 5.0535e+04 
2.4272e-01	 1.9333e+03	 9.1868e+03	 4.3654e+04 
2.5114e-01	 1.8084e+03	 8.5932e+03	 4.0833e+04 
2.5992e-01	 1.6946e+03	 8.0523e+03	 3.8261e+04 
2.7874e-01	 1.4653e+03	 6.9630e+03	 3.3088e+04 
2.8886e-01	 1.3581e+03	 6.4538e+03	 3.0669e+04 
2.9953e-01	 1.2613e+03	 5.9937e+03	 2.8482e+04 
3.1083e-01	 1.1695e+03	 5.5574e+03	 2.6409e+04 
3.3567e-01	 9.9197e+02	 4.7141e+03	 2.2402e+04 
3.4948e-01	 9.1149e+02	 4.3316e+03	 2.0585e+04 
3.6446e-01	 8.3315e+02	 3.9594e+03	 1.8816e+04 
3.8087e-01	 7.5732e+02	 3.5990e+03	 1.7104e+04 
3.9908e-01	 6.8476e+02	 3.2542e+03	 1.5465e+04 
