k_long[1/Mpc]   bias Lagrangian 
8.900381e-03   7.848272e-02 
1.120492e-02   7.851251e-02 
1.120492e-02   7.851251e-02 
1.120492e-02   7.851251e-02 
1.120492e-02   7.851251e-02 
1.120492e-02   7.851251e-02 
1.410615e-02   7.855140e-02 
1.410615e-02   7.855140e-02 
1.410615e-02   7.855140e-02 
1.410615e-02   7.855140e-02 
1.775850e-02   7.858272e-02 
1.775850e-02   7.858272e-02 
1.775850e-02   7.858272e-02 
1.775850e-02   7.858272e-02 
1.775850e-02   7.858272e-02 
2.234439e-02   7.860514e-02 
2.234439e-02   7.860514e-02 
2.234439e-02   7.860514e-02 
2.234439e-02   7.860514e-02 
2.234439e-02   7.860514e-02 
2.774042e-02   7.862621e-02 
2.774042e-02   7.862621e-02 
2.774042e-02   7.862621e-02 
2.774042e-02   7.862621e-02 
3.227383e-02   7.864268e-02 
3.227383e-02   7.864268e-02 
3.227383e-02   7.864268e-02 
3.556448e-02   7.865396e-02 
3.828064e-02   7.866538e-02 
3.828064e-02   7.866538e-02 
4.070699e-02   7.867232e-02 
4.297061e-02   7.866337e-02 
4.513887e-02   7.867204e-02 
4.725218e-02   7.866713e-02 
4.933710e-02   7.868154e-02 
5.141236e-02   7.868311e-02 
5.349195e-02   7.868875e-02 
5.558680e-02   7.869606e-02 
5.985663e-02   7.869698e-02 
6.204570e-02   7.870342e-02 
6.427893e-02   7.868978e-02 
6.889898e-02   7.869309e-02 
7.129553e-02   7.870813e-02 
7.375587e-02   7.870082e-02 
7.888541e-02   7.870643e-02 
8.156313e-02   7.870876e-02 
8.432174e-02   7.869915e-02 
9.009814e-02   7.870088e-02 
9.312418e-02   7.871369e-02 
9.947255e-02   7.870756e-02 
1.028031e-01   7.871358e-02 
1.097978e-01   7.870491e-02 
1.134703e-01   7.871672e-02 
1.172652e-01   7.871951e-02 
1.252394e-01   7.871759e-02 
1.294275e-01   7.870914e-02 
1.382286e-01   7.870973e-02 
1.428512e-01   7.871265e-02 
1.476284e-01   7.871288e-02 
1.576682e-01   7.871704e-02 
1.629425e-01   7.872135e-02 
1.740319e-01   7.871864e-02 
1.798615e-01   7.872318e-02 
1.921320e-01   7.871427e-02 
1.985922e-01   7.871743e-02 
2.052836e-01   7.871164e-02 
2.194129e-01   7.871702e-02 
2.268813e-01   7.872192e-02 
2.427195e-01   7.871562e-02 
2.511356e-01   7.871217e-02 
2.599203e-01   7.872498e-02 
2.787383e-01   7.871402e-02 
2.888606e-01   7.871519e-02 
2.995334e-01   7.871377e-02 
3.108290e-01   7.871317e-02 
3.356724e-01   7.871608e-02 
3.494814e-01   7.871526e-02 
3.644590e-01   7.871615e-02 
3.808693e-01   7.871690e-02 
3.990826e-01   7.871686e-02 
