k_long[1/Mpc]	 Pmm	 Pmh	 Phh 
8.9004e-03	 7.7088e+04	 4.8202e+05	 3.0139e+06 
1.1205e-02	 7.8606e+04	 4.9202e+05	 3.0797e+06 
1.1205e-02	 7.8606e+04	 4.9202e+05	 3.0797e+06 
1.1205e-02	 7.8606e+04	 4.9202e+05	 3.0797e+06 
1.1205e-02	 7.8606e+04	 4.9202e+05	 3.0797e+06 
1.1205e-02	 7.8606e+04	 4.9202e+05	 3.0797e+06 
1.4106e-02	 7.5862e+04	 4.7542e+05	 2.9795e+06 
1.4106e-02	 7.5862e+04	 4.7542e+05	 2.9795e+06 
1.4106e-02	 7.5862e+04	 4.7542e+05	 2.9795e+06 
1.4106e-02	 7.5862e+04	 4.7542e+05	 2.9795e+06 
1.7758e-02	 6.8403e+04	 4.2919e+05	 2.6929e+06 
1.7758e-02	 6.8403e+04	 4.2919e+05	 2.6929e+06 
1.7758e-02	 6.8403e+04	 4.2919e+05	 2.6929e+06 
1.7758e-02	 6.8403e+04	 4.2919e+05	 2.6929e+06 
1.7758e-02	 6.8403e+04	 4.2919e+05	 2.6929e+06 
2.2344e-02	 5.7387e+04	 3.6046e+05	 2.2641e+06 
2.2344e-02	 5.7387e+04	 3.6046e+05	 2.2641e+06 
2.2344e-02	 5.7387e+04	 3.6046e+05	 2.2641e+06 
2.2344e-02	 5.7387e+04	 3.6046e+05	 2.2641e+06 
2.2344e-02	 5.7387e+04	 3.6046e+05	 2.2641e+06 
2.7740e-02	 4.6538e+04	 2.9260e+05	 1.8397e+06 
2.7740e-02	 4.6538e+04	 2.9260e+05	 1.8397e+06 
2.7740e-02	 4.6538e+04	 2.9260e+05	 1.8397e+06 
2.7740e-02	 4.6538e+04	 2.9260e+05	 1.8397e+06 
3.2274e-02	 4.0369e+04	 2.5399e+05	 1.5980e+06 
3.2274e-02	 4.0369e+04	 2.5399e+05	 1.5980e+06 
3.2274e-02	 4.0369e+04	 2.5399e+05	 1.5980e+06 
3.5564e-02	 3.7320e+04	 2.3491e+05	 1.4786e+06 
3.8281e-02	 3.5407e+04	 2.2294e+05	 1.4038e+06 
3.8281e-02	 3.5407e+04	 2.2294e+05	 1.4038e+06 
4.0707e-02	 3.3957e+04	 2.1387e+05	 1.3470e+06 
4.2971e-02	 3.2689e+04	 2.0589e+05	 1.2968e+06 
4.5139e-02	 3.1461e+04	 1.9820e+05	 1.2486e+06 
4.7252e-02	 3.0199e+04	 1.9026e+05	 1.1987e+06 
4.9337e-02	 2.8867e+04	 1.8192e+05	 1.1464e+06 
5.1412e-02	 2.7456e+04	 1.7305e+05	 1.0906e+06 
5.3492e-02	 2.5978e+04	 1.6375e+05	 1.0322e+06 
5.5587e-02	 2.4458e+04	 1.5420e+05	 9.7217e+05 
5.9857e-02	 2.1447e+04	 1.3524e+05	 8.5275e+05 
6.2046e-02	 2.0038e+04	 1.2637e+05	 7.9694e+05 
6.4279e-02	 1.8744e+04	 1.1820e+05	 7.4536e+05 
6.8899e-02	 1.6601e+04	 1.0470e+05	 6.6038e+05 
7.1296e-02	 1.5773e+04	 9.9501e+04	 6.2769e+05 
7.3756e-02	 1.5096e+04	 9.5231e+04	 6.0074e+05 
7.8885e-02	 1.4089e+04	 8.8890e+04	 5.6084e+05 
8.1563e-02	 1.3676e+04	 8.6294e+04	 5.4450e+05 
8.4322e-02	 1.3261e+04	 8.3669e+04	 5.2791e+05 
9.0098e-02	 1.2259e+04	 7.7354e+04	 4.8811e+05 
9.3124e-02	 1.1630e+04	 7.3398e+04	 4.6324e+05 
9.9473e-02	 1.0180e+04	 6.4251e+04	 4.0551e+05 
1.0280e-01	 9.4432e+03	 5.9605e+04	 3.7622e+05 
1.0980e-01	 8.1814e+03	 5.1639e+04	 3.2594e+05 
1.1347e-01	 7.7135e+03	 4.8694e+04	 3.0739e+05 
1.1727e-01	 7.3531e+03	 4.6421e+04	 2.9307e+05 
1.2524e-01	 6.8165e+03	 4.3035e+04	 2.7170e+05 
1.2943e-01	 6.5459e+03	 4.1324e+04	 2.6088e+05 
1.3823e-01	 5.8367e+03	 3.6849e+04	 2.3264e+05 
1.4285e-01	 5.4207e+03	 3.4224e+04	 2.1608e+05 
1.4763e-01	 5.0161e+03	 3.1671e+04	 1.9996e+05 
1.5767e-01	 4.3790e+03	 2.7651e+04	 1.7460e+05 
1.6294e-01	 4.1583e+03	 2.6259e+04	 1.6582e+05 
1.7403e-01	 3.7760e+03	 2.3844e+04	 1.5057e+05 
1.7986e-01	 3.5543e+03	 2.2446e+04	 1.4175e+05 
1.9213e-01	 3.0681e+03	 1.9374e+04	 1.2235e+05 
1.9859e-01	 2.8583e+03	 1.8050e+04	 1.1399e+05 
2.0528e-01	 2.6877e+03	 1.6972e+04	 1.0718e+05 
2.1941e-01	 2.3955e+03	 1.5128e+04	 9.5540e+04 
2.2688e-01	 2.2386e+03	 1.4138e+04	 8.9291e+04 
2.4272e-01	 1.9333e+03	 1.2210e+04	 7.7108e+04 
2.5114e-01	 1.8084e+03	 1.1421e+04	 7.2123e+04 
