k_long[1/Mpc]   bias Eulerian 
8.900381e-03   9.298476e-01 
1.120492e-02   9.305013e-01 
1.120492e-02   9.305013e-01 
1.120492e-02   9.305013e-01 
1.120492e-02   9.305013e-01 
1.120492e-02   9.305013e-01 
1.410615e-02   9.312160e-01 
1.410615e-02   9.312160e-01 
1.410615e-02   9.312160e-01 
1.410615e-02   9.312160e-01 
1.775850e-02   9.319888e-01 
1.775850e-02   9.319888e-01 
1.775850e-02   9.319888e-01 
1.775850e-02   9.319888e-01 
1.775850e-02   9.319888e-01 
2.234439e-02   9.327578e-01 
2.234439e-02   9.327578e-01 
2.234439e-02   9.327578e-01 
2.234439e-02   9.327578e-01 
2.234439e-02   9.327578e-01 
2.774042e-02   9.334546e-01 
2.774042e-02   9.334546e-01 
2.774042e-02   9.334546e-01 
2.774042e-02   9.334546e-01 
3.227383e-02   9.339088e-01 
3.227383e-02   9.339088e-01 
3.227383e-02   9.339088e-01 
3.556448e-02   9.341824e-01 
3.828064e-02   9.343770e-01 
3.828064e-02   9.343770e-01 
4.070699e-02   9.345501e-01 
4.297061e-02   9.346828e-01 
4.513887e-02   9.347966e-01 
4.725218e-02   9.349102e-01 
4.933710e-02   9.349962e-01 
5.141236e-02   9.350864e-01 
5.349195e-02   9.351667e-01 
5.558680e-02   9.352392e-01 
5.985663e-02   9.353841e-01 
6.204570e-02   9.354604e-01 
6.427893e-02   9.355216e-01 
6.889898e-02   9.356368e-01 
7.129553e-02   9.356927e-01 
7.375587e-02   9.357372e-01 
7.888541e-02   9.358303e-01 
8.156313e-02   9.358741e-01 
8.432174e-02   9.359273e-01 
9.009814e-02   9.360082e-01 
9.312418e-02   9.360498e-01 
9.947255e-02   9.361129e-01 
1.028031e-01   9.361410e-01 
1.097978e-01   9.362124e-01 
1.134703e-01   9.362458e-01 
1.172652e-01   9.362716e-01 
1.252394e-01   9.363108e-01 
1.294275e-01   9.363432e-01 
1.382286e-01   9.363877e-01 
1.428512e-01   9.364060e-01 
1.476284e-01   9.364257e-01 
1.576682e-01   9.364589e-01 
1.629425e-01   9.364873e-01 
1.740319e-01   9.365062e-01 
1.798615e-01   9.365316e-01 
1.921320e-01   9.365520e-01 
1.985922e-01   9.365615e-01 
2.052836e-01   9.365789e-01 
2.194129e-01   9.365956e-01 
2.268813e-01   9.366011e-01 
2.427195e-01   9.366257e-01 
2.511356e-01   9.366376e-01 
2.599203e-01   9.366491e-01 
2.787383e-01   9.366593e-01 
2.888606e-01   9.366652e-01 
2.995334e-01   9.366733e-01 
3.108290e-01   9.366803e-01 
3.356724e-01   9.366896e-01 
3.494814e-01   9.366961e-01 
3.644590e-01   9.367007e-01 
3.808693e-01   9.367053e-01 
3.990826e-01   9.367105e-01 
