delta_long_initial   k_long[1/Mpc]   delta_short_initial 
1.500000e-03   8.432174e-02   9.663544e-03 
1.500000e-03   9.009814e-02   9.663544e-03 
1.500000e-03   9.312418e-02   9.663849e-03 
1.500000e-03   9.947255e-02   9.664459e-03 
1.500000e-03   1.028031e-01   9.665070e-03 
1.500000e-03   1.097978e-01   9.665375e-03 
1.500000e-03   1.134703e-01   9.665375e-03 
1.500000e-03   1.172652e-01   9.665070e-03 
1.500000e-03   1.252394e-01   9.664459e-03 
1.500000e-03   1.294275e-01   9.664154e-03 
1.500000e-03   1.382286e-01   9.664459e-03 
1.500000e-03   1.428512e-01   9.664764e-03 
1.500000e-03   1.476284e-01   9.665070e-03 
1.500000e-03   1.576682e-01   9.665375e-03 
1.500000e-03   1.629425e-01   9.665070e-03 
1.500000e-03   1.740319e-01   9.664764e-03 
1.500000e-03   1.798615e-01   9.664764e-03 
1.500000e-03   1.921320e-01   9.665070e-03 
1.500000e-03   1.985922e-01   9.665375e-03 
1.500000e-03   2.052836e-01   9.665070e-03 
1.500000e-03   2.194129e-01   9.665070e-03 
1.500000e-03   2.268813e-01   9.665070e-03 
1.500000e-03   2.427195e-01   9.665070e-03 
1.500000e-03   2.511356e-01   9.665070e-03 
1.500000e-03   2.599203e-01   9.665070e-03 
1.500000e-03   2.787383e-01   9.665070e-03 
1.500000e-03   2.888606e-01   9.665070e-03 
1.500000e-03   2.995334e-01   9.665070e-03 
1.500000e-03   3.108290e-01   9.665070e-03 
1.500000e-03   3.356724e-01   9.665070e-03 
1.500000e-03   3.494814e-01   9.665070e-03 
1.500000e-03   3.644590e-01   9.665070e-03 
1.500000e-03   3.808693e-01   9.665070e-03 
1.500000e-03   3.990826e-01   9.665070e-03 
