k_long[1/Mpc]	 Pmm	 Pmh	 Phh 
8.9004e-03	 7.7088e+04	 2.7871e+05	 1.0077e+06 
1.1205e-02	 7.8606e+04	 2.8452e+05	 1.0299e+06 
1.1205e-02	 7.8606e+04	 2.8452e+05	 1.0299e+06 
1.1205e-02	 7.8606e+04	 2.8452e+05	 1.0299e+06 
1.1205e-02	 7.8606e+04	 2.8452e+05	 1.0299e+06 
1.1205e-02	 7.8606e+04	 2.8452e+05	 1.0299e+06 
1.4106e-02	 7.5862e+04	 2.7487e+05	 9.9593e+05 
1.4106e-02	 7.5862e+04	 2.7487e+05	 9.9593e+05 
1.4106e-02	 7.5862e+04	 2.7487e+05	 9.9593e+05 
1.4106e-02	 7.5862e+04	 2.7487e+05	 9.9593e+05 
1.7758e-02	 6.8403e+04	 2.4813e+05	 9.0006e+05 
1.7758e-02	 6.8403e+04	 2.4813e+05	 9.0006e+05 
1.7758e-02	 6.8403e+04	 2.4813e+05	 9.0006e+05 
1.7758e-02	 6.8403e+04	 2.4813e+05	 9.0006e+05 
1.7758e-02	 6.8403e+04	 2.4813e+05	 9.0006e+05 
2.2344e-02	 5.7387e+04	 2.0842e+05	 7.5692e+05 
2.2344e-02	 5.7387e+04	 2.0842e+05	 7.5692e+05 
2.2344e-02	 5.7387e+04	 2.0842e+05	 7.5692e+05 
2.2344e-02	 5.7387e+04	 2.0842e+05	 7.5692e+05 
2.2344e-02	 5.7387e+04	 2.0842e+05	 7.5692e+05 
2.7740e-02	 4.6538e+04	 1.6918e+05	 6.1501e+05 
2.7740e-02	 4.6538e+04	 1.6918e+05	 6.1501e+05 
2.7740e-02	 4.6538e+04	 1.6918e+05	 6.1501e+05 
2.7740e-02	 4.6538e+04	 1.6918e+05	 6.1501e+05 
3.2274e-02	 4.0369e+04	 1.4685e+05	 5.3418e+05 
3.2274e-02	 4.0369e+04	 1.4685e+05	 5.3418e+05 
3.2274e-02	 4.0369e+04	 1.4685e+05	 5.3418e+05 
3.5564e-02	 3.7320e+04	 1.3581e+05	 4.9425e+05 
3.8281e-02	 3.5407e+04	 1.2888e+05	 4.6908e+05 
3.8281e-02	 3.5407e+04	 1.2888e+05	 4.6908e+05 
4.0707e-02	 3.3957e+04	 1.2363e+05	 4.5008e+05 
4.2971e-02	 3.2689e+04	 1.1903e+05	 4.3345e+05 
4.5139e-02	 3.1461e+04	 1.1459e+05	 4.1735e+05 
4.7252e-02	 3.0199e+04	 1.1000e+05	 4.0067e+05 
4.9337e-02	 2.8867e+04	 1.0516e+05	 3.8307e+05 
5.1412e-02	 2.7456e+04	 1.0004e+05	 3.6453e+05 
5.3492e-02	 2.5978e+04	 9.4670e+04	 3.4500e+05 
5.5587e-02	 2.4458e+04	 8.9133e+04	 3.2483e+05 
5.9857e-02	 2.1447e+04	 7.8171e+04	 2.8493e+05 
6.2046e-02	 2.0038e+04	 7.3044e+04	 2.6627e+05 
6.4279e-02	 1.8744e+04	 6.8333e+04	 2.4912e+05 
6.8899e-02	 1.6601e+04	 6.0532e+04	 2.2072e+05 
7.1296e-02	 1.5773e+04	 5.7514e+04	 2.0972e+05 
7.3756e-02	 1.5096e+04	 5.5055e+04	 2.0078e+05 
7.8885e-02	 1.4089e+04	 5.1381e+04	 1.8738e+05 
8.1563e-02	 1.3676e+04	 4.9880e+04	 1.8192e+05 
8.4322e-02	 1.3261e+04	 4.8371e+04	 1.7644e+05 
9.0098e-02	 1.2259e+04	 4.4719e+04	 1.6314e+05 
9.3124e-02	 1.1630e+04	 4.2426e+04	 1.5477e+05 
9.9473e-02	 1.0180e+04	 3.7144e+04	 1.3553e+05 
1.0280e-01	 9.4432e+03	 3.4453e+04	 1.2570e+05 
1.0980e-01	 8.1814e+03	 2.9853e+04	 1.0893e+05 
1.1347e-01	 7.7135e+03	 2.8146e+04	 1.0270e+05 
1.1727e-01	 7.3531e+03	 2.6832e+04	 9.7914e+04 
1.2524e-01	 6.8165e+03	 2.4875e+04	 9.0775e+04 
