k_long[1/Mpc]	 Pmm	 Pmh	 Phh 
8.9004e-03	 7.7088e+04	 2.1900e+05	 6.2216e+05 
1.1205e-02	 7.8606e+04	 2.2353e+05	 6.3565e+05 
1.1205e-02	 7.8606e+04	 2.2353e+05	 6.3565e+05 
1.1205e-02	 7.8606e+04	 2.2353e+05	 6.3565e+05 
1.1205e-02	 7.8606e+04	 2.2353e+05	 6.3565e+05 
1.1205e-02	 7.8606e+04	 2.2353e+05	 6.3565e+05 
1.4106e-02	 7.5862e+04	 2.1597e+05	 6.1484e+05 
1.4106e-02	 7.5862e+04	 2.1597e+05	 6.1484e+05 
1.4106e-02	 7.5862e+04	 2.1597e+05	 6.1484e+05 
1.4106e-02	 7.5862e+04	 2.1597e+05	 6.1484e+05 
1.7758e-02	 6.8403e+04	 1.9495e+05	 5.5563e+05 
1.7758e-02	 6.8403e+04	 1.9495e+05	 5.5563e+05 
1.7758e-02	 6.8403e+04	 1.9495e+05	 5.5563e+05 
1.7758e-02	 6.8403e+04	 1.9495e+05	 5.5563e+05 
1.7758e-02	 6.8403e+04	 1.9495e+05	 5.5563e+05 
2.2344e-02	 5.7387e+04	 1.6372e+05	 4.6710e+05 
2.2344e-02	 5.7387e+04	 1.6372e+05	 4.6710e+05 
2.2344e-02	 5.7387e+04	 1.6372e+05	 4.6710e+05 
2.2344e-02	 5.7387e+04	 1.6372e+05	 4.6710e+05 
2.2344e-02	 5.7387e+04	 1.6372e+05	 4.6710e+05 
2.7740e-02	 4.6538e+04	 1.3290e+05	 3.7951e+05 
2.7740e-02	 4.6538e+04	 1.3290e+05	 3.7951e+05 
2.7740e-02	 4.6538e+04	 1.3290e+05	 3.7951e+05 
2.7740e-02	 4.6538e+04	 1.3290e+05	 3.7951e+05 
3.2274e-02	 4.0369e+04	 1.1535e+05	 3.2963e+05 
3.2274e-02	 4.0369e+04	 1.1535e+05	 3.2963e+05 
3.2274e-02	 4.0369e+04	 1.1535e+05	 3.2963e+05 
3.5564e-02	 3.7320e+04	 1.0669e+05	 3.0498e+05 
3.8281e-02	 3.5407e+04	 1.0125e+05	 2.8953e+05 
3.8281e-02	 3.5407e+04	 1.0125e+05	 2.8953e+05 
4.0707e-02	 3.3957e+04	 9.7112e+04	 2.7772e+05 
4.2971e-02	 3.2689e+04	 9.3504e+04	 2.6746e+05 
4.5139e-02	 3.1461e+04	 9.0010e+04	 2.5752e+05 
4.7252e-02	 3.0199e+04	 8.6406e+04	 2.4723e+05 
4.9337e-02	 2.8867e+04	 8.2603e+04	 2.3637e+05 
5.1412e-02	 2.7456e+04	 7.8584e+04	 2.2492e+05 
5.3492e-02	 2.5978e+04	 7.4363e+04	 2.1287e+05 
5.5587e-02	 2.4458e+04	 7.0015e+04	 2.0043e+05 
5.9857e-02	 2.1447e+04	 6.1412e+04	 1.7585e+05 
6.2046e-02	 2.0038e+04	 5.7377e+04	 1.6429e+05 
6.4279e-02	 1.8744e+04	 5.3676e+04	 1.5371e+05 
6.8899e-02	 1.6601e+04	 4.7548e+04	 1.3618e+05 
7.1296e-02	 1.5773e+04	 4.5177e+04	 1.2940e+05 
7.3756e-02	 1.5096e+04	 4.3245e+04	 1.2388e+05 
7.8885e-02	 1.4089e+04	 4.0365e+04	 1.1565e+05 
8.1563e-02	 1.3676e+04	 3.9181e+04	 1.1225e+05 
8.4322e-02	 1.3261e+04	 3.7995e+04	 1.0886e+05 
9.0098e-02	 1.2259e+04	 3.5127e+04	 1.0066e+05 
9.3124e-02	 1.1630e+04	 3.3325e+04	 9.5494e+04 
9.9473e-02	 1.0180e+04	 2.9176e+04	 8.3618e+04 
1.0280e-01	 9.4432e+03	 2.7066e+04	 7.7577e+04 
1.0980e-01	 8.1814e+03	 2.3449e+04	 6.7211e+04 
1.1347e-01	 7.7135e+03	 2.2108e+04	 6.3367e+04 
1.1727e-01	 7.3531e+03	 2.1076e+04	 6.0413e+04 
1.2524e-01	 6.8165e+03	 1.9539e+04	 5.6008e+04 
1.2943e-01	 6.5459e+03	 1.8765e+04	 5.3795e+04 
1.3823e-01	 5.8367e+03	 1.6733e+04	 4.7972e+04 
1.4285e-01	 5.4207e+03	 1.5541e+04	 4.4556e+04 
1.4763e-01	 5.0161e+03	 1.4381e+04	 4.1233e+04 
1.5767e-01	 4.3790e+03	 1.2556e+04	 3.6001e+04 
1.6294e-01	 4.1583e+03	 1.1922e+04	 3.4181e+04 
1.7403e-01	 3.7760e+03	 1.0827e+04	 3.1047e+04 
1.7986e-01	 3.5543e+03	 1.0191e+04	 2.9220e+04 
1.9213e-01	 3.0681e+03	 8.7978e+03	 2.5228e+04 
1.9859e-01	 2.8583e+03	 8.1964e+03	 2.3504e+04 
2.0528e-01	 2.6877e+03	 7.7071e+03	 2.2100e+04 
2.1941e-01	 2.3955e+03	 6.8696e+03	 1.9700e+04 
2.2688e-01	 2.2386e+03	 6.4190e+03	 1.8406e+04 
2.4272e-01	 1.9333e+03	 5.5443e+03	 1.5900e+04 
2.5114e-01	 1.8084e+03	 5.1860e+03	 1.4872e+04 
2.5992e-01	 1.6946e+03	 4.8596e+03	 1.3936e+04 
2.7874e-01	 1.4653e+03	 4.2022e+03	 1.2051e+04 
2.8886e-01	 1.3581e+03	 3.8949e+03	 1.1170e+04 
2.9953e-01	 1.2613e+03	 3.6172e+03	 1.0374e+04 
3.1083e-01	 1.1695e+03	 3.3539e+03	 9.6186e+03 
3.3567e-01	 9.9197e+02	 2.8449e+03	 8.1592e+03 
3.4948e-01	 9.1149e+02	 2.6141e+03	 7.4972e+03 
3.6446e-01	 8.3315e+02	 2.3895e+03	 6.8530e+03 
3.8087e-01	 7.5732e+02	 2.1720e+03	 6.2294e+03 
3.9908e-01	 6.8476e+02	 1.9639e+03	 5.6327e+03 
