k_long[1/Mpc]   bias Lagrangian 
8.900381e-03   1.830604e+00 
1.120492e-02   1.831299e+00 
1.120492e-02   1.831299e+00 
1.120492e-02   1.831299e+00 
1.120492e-02   1.831299e+00 
1.120492e-02   1.831299e+00 
1.410615e-02   1.832204e+00 
1.410615e-02   1.832204e+00 
1.410615e-02   1.832204e+00 
1.410615e-02   1.832204e+00 
1.775850e-02   1.832923e+00 
1.775850e-02   1.832923e+00 
1.775850e-02   1.832923e+00 
1.775850e-02   1.832923e+00 
1.775850e-02   1.832923e+00 
2.234439e-02   1.833441e+00 
2.234439e-02   1.833441e+00 
2.234439e-02   1.833441e+00 
2.234439e-02   1.833441e+00 
2.234439e-02   1.833441e+00 
2.774042e-02   1.833935e+00 
2.774042e-02   1.833935e+00 
2.774042e-02   1.833935e+00 
2.774042e-02   1.833935e+00 
3.227383e-02   1.834328e+00 
3.227383e-02   1.834328e+00 
3.227383e-02   1.834328e+00 
3.556448e-02   1.834583e+00 
3.828064e-02   1.834850e+00 
3.828064e-02   1.834850e+00 
4.070699e-02   1.834642e+00 
4.297061e-02   1.834803e+00 
4.513887e-02   1.835005e+00 
4.725218e-02   1.834891e+00 
4.933710e-02   1.834857e+00 
5.141236e-02   1.835264e+00 
5.349195e-02   1.835396e+00 
5.558680e-02   1.835196e+00 
5.985663e-02   1.835588e+00 
6.204570e-02   1.835360e+00 
6.427893e-02   1.835421e+00 
6.889898e-02   1.835490e+00 
7.129553e-02   1.835470e+00 
7.375587e-02   1.835679e+00 
7.888541e-02   1.835809e+00 
8.156313e-02   1.835493e+00 
8.432174e-02   1.835639e+00 
9.009814e-02   1.835679e+00 
9.312418e-02   1.835608e+00 
9.947255e-02   1.835836e+00 
1.028031e-01   1.835968e+00 
1.097978e-01   1.835775e+00 
1.134703e-01   1.835679e+00 
1.172652e-01   1.835736e+00 
1.252394e-01   1.835691e+00 
1.294275e-01   1.835864e+00 
1.382286e-01   1.835886e+00 
1.428512e-01   1.835947e+00 
1.476284e-01   1.835960e+00 
1.576682e-01   1.836057e+00 
1.629425e-01   1.835779e+00 
1.740319e-01   1.836094e+00 
1.798615e-01   1.835822e+00 
1.921320e-01   1.835993e+00 
1.985922e-01   1.836066e+00 
2.052836e-01   1.835931e+00 
2.194129e-01   1.836048e+00 
2.268813e-01   1.835792e+00 
2.427195e-01   1.836024e+00 
2.511356e-01   1.835944e+00 
2.599203e-01   1.835863e+00 
2.787383e-01   1.835987e+00 
2.888606e-01   1.836014e+00 
2.995334e-01   1.835981e+00 
3.108290e-01   1.835967e+00 
3.356724e-01   1.836035e+00 
3.494814e-01   1.836016e+00 
3.644590e-01   1.836037e+00 
3.808693e-01   1.836054e+00 
3.990826e-01   1.836053e+00 
