k_long[1/Mpc]   bias Eulerian 
8.900381e-03   6.252760e+00 
1.120492e-02   6.259293e+00 
1.120492e-02   6.259293e+00 
1.120492e-02   6.259293e+00 
1.120492e-02   6.259293e+00 
1.120492e-02   6.259293e+00 
1.410615e-02   6.266942e+00 
1.410615e-02   6.266942e+00 
1.410615e-02   6.266942e+00 
1.410615e-02   6.266942e+00 
1.775850e-02   6.274395e+00 
1.775850e-02   6.274395e+00 
1.775850e-02   6.274395e+00 
1.775850e-02   6.274395e+00 
1.775850e-02   6.274395e+00 
2.234439e-02   6.281193e+00 
2.234439e-02   6.281193e+00 
2.234439e-02   6.281193e+00 
2.234439e-02   6.281193e+00 
2.234439e-02   6.281193e+00 
2.774042e-02   6.287424e+00 
2.774042e-02   6.287424e+00 
2.774042e-02   6.287424e+00 
2.774042e-02   6.287424e+00 
3.227383e-02   6.291725e+00 
3.227383e-02   6.291725e+00 
3.227383e-02   6.291725e+00 
3.556448e-02   6.294375e+00 
3.828064e-02   6.296528e+00 
3.828064e-02   6.296528e+00 
4.070699e-02   6.298101e+00 
4.297061e-02   6.298439e+00 
4.513887e-02   6.299844e+00 
4.725218e-02   6.300252e+00 
4.933710e-02   6.301892e+00 
5.141236e-02   6.302617e+00 
5.349195e-02   6.303549e+00 
5.558680e-02   6.304603e+00 
5.985663e-02   6.305652e+00 
6.204570e-02   6.306514e+00 
6.427893e-02   6.306028e+00 
6.889898e-02   6.307050e+00 
7.129553e-02   6.308432e+00 
7.375587e-02   6.308294e+00 
7.888541e-02   6.309334e+00 
8.156313e-02   6.309823e+00 
8.432174e-02   6.309473e+00 
9.009814e-02   6.310147e+00 
9.312418e-02   6.311270e+00 
9.947255e-02   6.311325e+00 
1.028031e-01   6.311959e+00 
1.097978e-01   6.311804e+00 
1.134703e-01   6.312797e+00 
1.172652e-01   6.313173e+00 
1.252394e-01   6.313395e+00 
1.294275e-01   6.312991e+00 
1.382286e-01   6.313337e+00 
1.428512e-01   6.313677e+00 
1.476284e-01   6.313829e+00 
1.576682e-01   6.314358e+00 
1.629425e-01   6.314764e+00 
1.740319e-01   6.314793e+00 
1.798615e-01   6.315198e+00 
1.921320e-01   6.314783e+00 
1.985922e-01   6.315080e+00 
2.052836e-01   6.314769e+00 
2.194129e-01   6.315278e+00 
2.268813e-01   6.315677e+00 
2.427195e-01   6.315379e+00 
2.511356e-01   6.315205e+00 
2.599203e-01   6.316122e+00 
2.787383e-01   6.315487e+00 
2.888606e-01   6.315614e+00 
2.995334e-01   6.315563e+00 
3.108290e-01   6.315566e+00 
3.356724e-01   6.315844e+00 
3.494814e-01   6.315827e+00 
3.644590e-01   6.315924e+00 
3.808693e-01   6.316010e+00 
3.990826e-01   6.316042e+00 
