k_long[1/Mpc]	 Pmm	 Pmh	 Phh 
8.9004e-03	 7.7088e+04	 9.2622e+04	 1.1129e+05 
1.1205e-02	 7.8606e+04	 9.4524e+04	 1.1366e+05 
1.1205e-02	 7.8606e+04	 9.4524e+04	 1.1366e+05 
1.1205e-02	 7.8606e+04	 9.4524e+04	 1.1366e+05 
1.1205e-02	 7.8606e+04	 9.4524e+04	 1.1366e+05 
1.1205e-02	 7.8606e+04	 9.4524e+04	 1.1366e+05 
1.4106e-02	 7.5862e+04	 9.1302e+04	 1.0989e+05 
1.4106e-02	 7.5862e+04	 9.1302e+04	 1.0989e+05 
1.4106e-02	 7.5862e+04	 9.1302e+04	 1.0989e+05 
1.4106e-02	 7.5862e+04	 9.1302e+04	 1.0989e+05 
1.7758e-02	 6.8403e+04	 8.2401e+04	 9.9265e+04 
1.7758e-02	 6.8403e+04	 8.2401e+04	 9.9265e+04 
1.7758e-02	 6.8403e+04	 8.2401e+04	 9.9265e+04 
1.7758e-02	 6.8403e+04	 8.2401e+04	 9.9265e+04 
1.7758e-02	 6.8403e+04	 8.2401e+04	 9.9265e+04 
2.2344e-02	 5.7387e+04	 6.9195e+04	 8.3432e+04 
2.2344e-02	 5.7387e+04	 6.9195e+04	 8.3432e+04 
2.2344e-02	 5.7387e+04	 6.9195e+04	 8.3432e+04 
2.2344e-02	 5.7387e+04	 6.9195e+04	 8.3432e+04 
2.2344e-02	 5.7387e+04	 6.9195e+04	 8.3432e+04 
2.7740e-02	 4.6538e+04	 5.6160e+04	 6.7770e+04 
2.7740e-02	 4.6538e+04	 5.6160e+04	 6.7770e+04 
2.7740e-02	 4.6538e+04	 5.6160e+04	 6.7770e+04 
2.7740e-02	 4.6538e+04	 5.6160e+04	 6.7770e+04 
3.2274e-02	 4.0369e+04	 4.8741e+04	 5.8849e+04 
3.2274e-02	 4.0369e+04	 4.8741e+04	 5.8849e+04 
3.2274e-02	 4.0369e+04	 4.8741e+04	 5.8849e+04 
3.5564e-02	 3.7320e+04	 4.5075e+04	 5.4441e+04 
3.8281e-02	 3.5407e+04	 4.2774e+04	 5.1673e+04 
3.8281e-02	 3.5407e+04	 4.2774e+04	 5.1673e+04 
4.0707e-02	 3.3957e+04	 4.1030e+04	 4.9575e+04 
4.2971e-02	 3.2689e+04	 3.9503e+04	 4.7739e+04 
4.5139e-02	 3.1461e+04	 3.8024e+04	 4.5956e+04 
4.7252e-02	 3.0199e+04	 3.6504e+04	 4.4125e+04 
4.9337e-02	 2.8867e+04	 3.4897e+04	 4.2188e+04 
5.1412e-02	 2.7456e+04	 3.3196e+04	 4.0137e+04 
5.3492e-02	 2.5978e+04	 3.1411e+04	 3.7981e+04 
5.5587e-02	 2.4458e+04	 2.9577e+04	 3.5766e+04 
5.9857e-02	 2.1447e+04	 2.5939e+04	 3.1372e+04 
6.2046e-02	 2.0038e+04	 2.4237e+04	 2.9316e+04 
6.4279e-02	 1.8744e+04	 2.2673e+04	 2.7427e+04 
6.8899e-02	 1.6601e+04	 2.0084e+04	 2.4298e+04 
7.1296e-02	 1.5773e+04	 1.9083e+04	 2.3088e+04 
7.3756e-02	 1.5096e+04	 1.8265e+04	 2.2100e+04 
7.8885e-02	 1.4089e+04	 1.7048e+04	 2.0630e+04 
8.1563e-02	 1.3676e+04	 1.6550e+04	 2.0028e+04 
8.4322e-02	 1.3261e+04	 1.6049e+04	 1.9422e+04 
9.0098e-02	 1.2259e+04	 1.4837e+04	 1.7958e+04 
