k_long[1/Mpc]   bias Eulerian 
8.900381e-03   2.840892e+00 
1.120492e-02   2.843673e+00 
1.120492e-02   2.843673e+00 
1.120492e-02   2.843673e+00 
1.120492e-02   2.843673e+00 
1.120492e-02   2.843673e+00 
1.410615e-02   2.846879e+00 
1.410615e-02   2.846879e+00 
1.410615e-02   2.846879e+00 
1.410615e-02   2.846879e+00 
1.775850e-02   2.850054e+00 
1.775850e-02   2.850054e+00 
1.775850e-02   2.850054e+00 
1.775850e-02   2.850054e+00 
1.775850e-02   2.850054e+00 
2.234439e-02   2.852993e+00 
2.234439e-02   2.852993e+00 
2.234439e-02   2.852993e+00 
2.234439e-02   2.852993e+00 
2.234439e-02   2.852993e+00 
2.774042e-02   2.855682e+00 
2.774042e-02   2.855682e+00 
2.774042e-02   2.855682e+00 
2.774042e-02   2.855682e+00 
3.227383e-02   2.857517e+00 
3.227383e-02   2.857517e+00 
3.227383e-02   2.857517e+00 
3.556448e-02   2.858644e+00 
3.828064e-02   2.859541e+00 
3.828064e-02   2.859541e+00 
4.070699e-02   2.859835e+00 
4.297061e-02   2.860423e+00 
4.513887e-02   2.861001e+00 
4.725218e-02   2.861220e+00 
4.933710e-02   2.861491e+00 
5.141236e-02   2.862181e+00 
5.349195e-02   2.862576e+00 
5.558680e-02   2.862619e+00 
5.985663e-02   2.863461e+00 
6.204570e-02   2.863435e+00 
6.427893e-02   2.863692e+00 
6.889898e-02   2.864124e+00 
7.129553e-02   2.864273e+00 
7.375587e-02   2.864644e+00 
7.888541e-02   2.865077e+00 
8.156313e-02   2.864899e+00 
8.432174e-02   2.865181e+00 
9.009814e-02   2.865475e+00 
9.312418e-02   2.865521e+00 
9.947255e-02   2.865972e+00 
1.028031e-01   2.866210e+00 
1.097978e-01   2.866208e+00 
1.134703e-01   2.866202e+00 
1.172652e-01   2.866345e+00 
1.252394e-01   2.866460e+00 
1.294275e-01   2.866710e+00 
1.382286e-01   2.866871e+00 
1.428512e-01   2.866996e+00 
1.476284e-01   2.867072e+00 
1.576682e-01   2.867283e+00 
1.629425e-01   2.867054e+00 
1.740319e-01   2.867470e+00 
1.798615e-01   2.867239e+00 
1.921320e-01   2.867495e+00 
1.985922e-01   2.867608e+00 
2.052836e-01   2.867508e+00 
2.194129e-01   2.867693e+00 
2.268813e-01   2.867465e+00 
2.427195e-01   2.867756e+00 
2.511356e-01   2.867702e+00 
2.599203e-01   2.867645e+00 
2.787383e-01   2.867817e+00 
2.888606e-01   2.867866e+00 
2.995334e-01   2.867853e+00 
3.108290e-01   2.867859e+00 
3.356724e-01   2.867964e+00 
3.494814e-01   2.867962e+00 
3.644590e-01   2.868000e+00 
3.808693e-01   2.868034e+00 
3.990826e-01   2.868049e+00 
