k_long[1/Mpc]   bias Lagrangian 
8.900381e-03   -1.778169e-01 
1.120492e-02   -1.778851e-01 
1.120492e-02   -1.778851e-01 
1.120492e-02   -1.778851e-01 
1.120492e-02   -1.778851e-01 
1.120492e-02   -1.778851e-01 
1.410615e-02   -1.779731e-01 
1.410615e-02   -1.779731e-01 
1.410615e-02   -1.779731e-01 
1.410615e-02   -1.779731e-01 
1.775850e-02   -1.780440e-01 
1.775850e-02   -1.780440e-01 
1.775850e-02   -1.780440e-01 
1.775850e-02   -1.780440e-01 
1.775850e-02   -1.780440e-01 
2.234439e-02   -1.780948e-01 
2.234439e-02   -1.780948e-01 
2.234439e-02   -1.780948e-01 
2.234439e-02   -1.780948e-01 
2.234439e-02   -1.780948e-01 
2.774042e-02   -1.781433e-01 
2.774042e-02   -1.781433e-01 
2.774042e-02   -1.781433e-01 
2.774042e-02   -1.781433e-01 
3.227383e-02   -1.781806e-01 
3.227383e-02   -1.781806e-01 
3.227383e-02   -1.781806e-01 
3.556448e-02   -1.782062e-01 
3.828064e-02   -1.781961e-01 
3.828064e-02   -1.781961e-01 
4.070699e-02   -1.782119e-01 
4.297061e-02   -1.782275e-01 
4.513887e-02   -1.782471e-01 
4.725218e-02   -1.782360e-01 
4.933710e-02   -1.782327e-01 
5.141236e-02   -1.782722e-01 
5.349195e-02   -1.782850e-01 
5.558680e-02   -1.782656e-01 
5.985663e-02   -1.782676e-01 
6.204570e-02   -1.782822e-01 
6.427893e-02   -1.782873e-01 
6.889898e-02   -1.782948e-01 
7.129553e-02   -1.782929e-01 
7.375587e-02   -1.783123e-01 
7.888541e-02   -1.782890e-01 
8.156313e-02   -1.782943e-01 
8.432174e-02   -1.783085e-01 
9.009814e-02   -1.783125e-01 
9.312418e-02   -1.783055e-01 
9.947255e-02   -1.783276e-01 
1.028031e-01   -1.783052e-01 
1.097978e-01   -1.783216e-01 
1.134703e-01   -1.783123e-01 
1.172652e-01   -1.783186e-01 
1.252394e-01   -1.783135e-01 
1.294275e-01   -1.783312e-01 
1.382286e-01   -1.783325e-01 
1.428512e-01   -1.783391e-01 
1.476284e-01   -1.783404e-01 
1.576682e-01   -1.783498e-01 
1.629425e-01   -1.783228e-01 
1.740319e-01   -1.783167e-01 
1.798615e-01   -1.783270e-01 
1.921320e-01   -1.783436e-01 
1.985922e-01   -1.783507e-01 
2.052836e-01   -1.783376e-01 
2.194129e-01   -1.783490e-01 
2.268813e-01   -1.783241e-01 
2.427195e-01   -1.783466e-01 
2.511356e-01   -1.783388e-01 
2.599203e-01   -1.783310e-01 
2.787383e-01   -1.783430e-01 
2.888606e-01   -1.783457e-01 
2.995334e-01   -1.783424e-01 
3.108290e-01   -1.783411e-01 
3.356724e-01   -1.783477e-01 
3.494814e-01   -1.783458e-01 
3.644590e-01   -1.783478e-01 
3.808693e-01   -1.783495e-01 
3.990826e-01   -1.783494e-01 
