k_long[1/Mpc]   bias Eulerian 
8.900381e-03   9.944593e-01 
1.120492e-02   9.951848e-01 
1.120492e-02   9.951848e-01 
1.120492e-02   9.951848e-01 
1.120492e-02   9.951848e-01 
1.120492e-02   9.951848e-01 
1.410615e-02   9.959843e-01 
1.410615e-02   9.959843e-01 
1.410615e-02   9.959843e-01 
1.410615e-02   9.959843e-01 
1.775850e-02   9.968384e-01 
1.775850e-02   9.968384e-01 
1.775850e-02   9.968384e-01 
1.775850e-02   9.968384e-01 
1.775850e-02   9.968384e-01 
2.234439e-02   9.976809e-01 
2.234439e-02   9.976809e-01 
2.234439e-02   9.976809e-01 
2.234439e-02   9.976809e-01 
2.234439e-02   9.976809e-01 
2.774042e-02   9.984450e-01 
2.774042e-02   9.984450e-01 
2.774042e-02   9.984450e-01 
2.774042e-02   9.984450e-01 
3.227383e-02   9.989459e-01 
3.227383e-02   9.989459e-01 
3.227383e-02   9.989459e-01 
3.556448e-02   9.992486e-01 
3.828064e-02   9.994670e-01 
3.828064e-02   9.994670e-01 
4.070699e-02   9.996438e-01 
4.297061e-02   9.997919e-01 
4.513887e-02   9.999214e-01 
4.725218e-02   1.000039e+00 
4.933710e-02   1.000146e+00 
5.141236e-02   1.000242e+00 
5.349195e-02   1.000332e+00 
5.558680e-02   1.000417e+00 
5.985663e-02   1.000572e+00 
6.204570e-02   1.000645e+00 
6.427893e-02   1.000713e+00 
6.889898e-02   1.000839e+00 
7.129553e-02   1.000898e+00 
7.375587e-02   1.000954e+00 
7.888541e-02   1.001058e+00 
8.156313e-02   1.001107e+00 
8.432174e-02   1.001155e+00 
9.009814e-02   1.001244e+00 
9.312418e-02   1.001285e+00 
9.947255e-02   1.001362e+00 
1.028031e-01   1.001397e+00 
1.097978e-01   1.001466e+00 
1.134703e-01   1.001498e+00 
1.172652e-01   1.001527e+00 
1.252394e-01   1.001582e+00 
1.294275e-01   1.001609e+00 
1.382286e-01   1.001657e+00 
1.428512e-01   1.001680e+00 
1.476284e-01   1.001701e+00 
1.576682e-01   1.001740e+00 
1.629425e-01   1.001760e+00 
1.740319e-01   1.001792e+00 
1.798615e-01   1.001809e+00 
1.921320e-01   1.001837e+00 
1.985922e-01   1.001850e+00 
2.052836e-01   1.001864e+00 
2.194129e-01   1.001886e+00 
2.268813e-01   1.001897e+00 
2.427195e-01   1.001917e+00 
2.511356e-01   1.001927e+00 
2.599203e-01   1.001936e+00 
2.787383e-01   1.001952e+00 
2.888606e-01   1.001959e+00 
2.995334e-01   1.001967e+00 
3.108290e-01   1.001974e+00 
3.356724e-01   1.001986e+00 
3.494814e-01   1.001992e+00 
3.644590e-01   1.001998e+00 
3.808693e-01   1.002004e+00 
3.990826e-01   1.002009e+00 
