k_long[1/Mpc]   bias Lagrangian 
8.900381e-03   2.602340e+00 
1.120492e-02   2.603842e+00 
1.120492e-02   2.603842e+00 
1.120492e-02   2.603842e+00 
1.120492e-02   2.603842e+00 
1.120492e-02   2.603842e+00 
1.410615e-02   2.604600e+00 
1.410615e-02   2.604600e+00 
1.410615e-02   2.604600e+00 
1.410615e-02   2.604600e+00 
1.775850e-02   2.605620e+00 
1.775850e-02   2.605620e+00 
1.775850e-02   2.605620e+00 
1.775850e-02   2.605620e+00 
1.775850e-02   2.605620e+00 
2.234439e-02   2.606891e+00 
2.234439e-02   2.606891e+00 
2.234439e-02   2.606891e+00 
2.234439e-02   2.606891e+00 
2.234439e-02   2.606891e+00 
2.774042e-02   2.607582e+00 
2.774042e-02   2.607582e+00 
2.774042e-02   2.607582e+00 
2.774042e-02   2.607582e+00 
3.227383e-02   2.608141e+00 
3.227383e-02   2.608141e+00 
3.227383e-02   2.608141e+00 
3.556448e-02   2.608504e+00 
3.828064e-02   2.608358e+00 
3.828064e-02   2.608358e+00 
4.070699e-02   2.608588e+00 
4.297061e-02   2.608817e+00 
4.513887e-02   2.609104e+00 
4.725218e-02   2.608942e+00 
4.933710e-02   2.608894e+00 
5.141236e-02   2.609472e+00 
5.349195e-02   2.609659e+00 
5.558680e-02   2.609376e+00 
5.985663e-02   2.609408e+00 
6.204570e-02   2.609610e+00 
6.427893e-02   2.609696e+00 
6.889898e-02   2.609795e+00 
7.129553e-02   2.609766e+00 
7.375587e-02   2.610062e+00 
7.888541e-02   2.609710e+00 
8.156313e-02   2.609798e+00 
8.432174e-02   2.610006e+00 
9.009814e-02   2.610063e+00 
9.312418e-02   2.609962e+00 
9.947255e-02   2.610286e+00 
1.028031e-01   2.609947e+00 
1.097978e-01   2.610187e+00 
1.134703e-01   2.610052e+00 
1.172652e-01   2.610144e+00 
1.252394e-01   2.610080e+00 
1.294275e-01   2.610326e+00 
1.382286e-01   2.610358e+00 
1.428512e-01   2.610443e+00 
1.476284e-01   2.610463e+00 
1.576682e-01   2.610062e+00 
1.629425e-01   2.610205e+00 
1.740319e-01   2.610115e+00 
1.798615e-01   2.610265e+00 
1.921320e-01   2.610509e+00 
1.985922e-01   2.610614e+00 
2.052836e-01   2.610422e+00 
2.194129e-01   2.610588e+00 
2.268813e-01   2.610224e+00 
2.427195e-01   2.610554e+00 
2.511356e-01   2.610439e+00 
2.599203e-01   2.610325e+00 
2.787383e-01   2.610501e+00 
2.888606e-01   2.610540e+00 
2.995334e-01   2.610492e+00 
3.108290e-01   2.610472e+00 
3.356724e-01   2.610569e+00 
3.494814e-01   2.610542e+00 
3.644590e-01   2.610571e+00 
3.808693e-01   2.610596e+00 
3.990826e-01   2.610595e+00 
