k_long[1/Mpc]   bias Eulerian 
8.900381e-03   1.362667e+00 
1.120492e-02   1.363802e+00 
1.120492e-02   1.363802e+00 
1.120492e-02   1.363802e+00 
1.120492e-02   1.363802e+00 
1.120492e-02   1.363802e+00 
1.410615e-02   1.365082e+00 
1.410615e-02   1.365082e+00 
1.410615e-02   1.365082e+00 
1.410615e-02   1.365082e+00 
1.775850e-02   1.366400e+00 
1.775850e-02   1.366400e+00 
1.775850e-02   1.366400e+00 
1.775850e-02   1.366400e+00 
1.775850e-02   1.366400e+00 
2.234439e-02   1.367661e+00 
2.234439e-02   1.367661e+00 
2.234439e-02   1.367661e+00 
2.234439e-02   1.367661e+00 
2.234439e-02   1.367661e+00 
2.774042e-02   1.368883e+00 
2.774042e-02   1.368883e+00 
2.774042e-02   1.368883e+00 
2.774042e-02   1.368883e+00 
3.227383e-02   1.369576e+00 
3.227383e-02   1.369576e+00 
3.227383e-02   1.369576e+00 
3.556448e-02   1.370044e+00 
3.828064e-02   1.370398e+00 
3.828064e-02   1.370398e+00 
4.070699e-02   1.370671e+00 
4.297061e-02   1.370907e+00 
4.513887e-02   1.371051e+00 
4.725218e-02   1.371191e+00 
4.933710e-02   1.371403e+00 
5.141236e-02   1.371545e+00 
5.349195e-02   1.371694e+00 
5.558680e-02   1.371846e+00 
5.985663e-02   1.372064e+00 
6.204570e-02   1.372191e+00 
6.427893e-02   1.372296e+00 
6.889898e-02   1.372485e+00 
7.129553e-02   1.372562e+00 
7.375587e-02   1.372605e+00 
7.888541e-02   1.372774e+00 
8.156313e-02   1.372854e+00 
8.432174e-02   1.372947e+00 
9.009814e-02   1.373003e+00 
9.312418e-02   1.373119e+00 
9.947255e-02   1.373197e+00 
1.028031e-01   1.373273e+00 
1.097978e-01   1.373400e+00 
1.134703e-01   1.373425e+00 
1.172652e-01   1.373477e+00 
1.252394e-01   1.373545e+00 
1.294275e-01   1.373542e+00 
1.382286e-01   1.373613e+00 
1.428512e-01   1.373656e+00 
1.476284e-01   1.373688e+00 
1.576682e-01   1.373761e+00 
1.629425e-01   1.373805e+00 
1.740319e-01   1.373840e+00 
1.798615e-01   1.373883e+00 
1.921320e-01   1.373881e+00 
1.985922e-01   1.373914e+00 
2.052836e-01   1.373905e+00 
2.194129e-01   1.373960e+00 
2.268813e-01   1.373998e+00 
2.427195e-01   1.373997e+00 
2.511356e-01   1.373994e+00 
2.599203e-01   1.374064e+00 
2.787383e-01   1.374037e+00 
2.888606e-01   1.374053e+00 
2.995334e-01   1.374056e+00 
3.108290e-01   1.374063e+00 
3.356724e-01   1.374094e+00 
3.494814e-01   1.374099e+00 
3.644590e-01   1.374111e+00 
3.808693e-01   1.374122e+00 
3.990826e-01   1.374129e+00 
