k_long[1/Mpc]   bias Lagrangian 
8.900381e-03   3.577323e-01 
1.120492e-02   3.578681e-01 
1.120492e-02   3.578681e-01 
1.120492e-02   3.578681e-01 
1.120492e-02   3.578681e-01 
1.120492e-02   3.578681e-01 
1.410615e-02   3.580454e-01 
1.410615e-02   3.580454e-01 
1.410615e-02   3.580454e-01 
1.410615e-02   3.580454e-01 
1.775850e-02   3.581866e-01 
1.775850e-02   3.581866e-01 
1.775850e-02   3.581866e-01 
1.775850e-02   3.581866e-01 
1.775850e-02   3.581866e-01 
2.234439e-02   3.582888e-01 
2.234439e-02   3.582888e-01 
2.234439e-02   3.582888e-01 
2.234439e-02   3.582888e-01 
2.234439e-02   3.582888e-01 
2.774042e-02   3.584585e-01 
2.774042e-02   3.584585e-01 
2.774042e-02   3.584585e-01 
2.774042e-02   3.584585e-01 
3.227383e-02   3.584615e-01 
3.227383e-02   3.584615e-01 
3.227383e-02   3.584615e-01 
3.556448e-02   3.585129e-01 
3.828064e-02   3.585650e-01 
3.828064e-02   3.585650e-01 
4.070699e-02   3.585966e-01 
4.297061e-02   3.586280e-01 
4.513887e-02   3.585937e-01 
4.725218e-02   3.585730e-01 
4.933710e-02   3.586386e-01 
5.141236e-02   3.586458e-01 
5.349195e-02   3.586699e-01 
5.558680e-02   3.587048e-01 
5.985663e-02   3.587090e-01 
6.204570e-02   3.587367e-01 
6.427893e-02   3.587486e-01 
6.889898e-02   3.587637e-01 
7.129553e-02   3.587598e-01 
7.375587e-02   3.587265e-01 
7.888541e-02   3.587505e-01 
8.156313e-02   3.587627e-01 
8.432174e-02   3.587913e-01 
9.009814e-02   3.587268e-01 
9.312418e-02   3.587852e-01 
9.947255e-02   3.587572e-01 
1.028031e-01   3.587831e-01 
1.097978e-01   3.588176e-01 
1.134703e-01   3.587990e-01 
1.172652e-01   3.588101e-01 
1.252394e-01   3.588013e-01 
1.294275e-01   3.587628e-01 
1.382286e-01   3.587671e-01 
1.428512e-01   3.587788e-01 
1.476284e-01   3.587815e-01 
1.576682e-01   3.588004e-01 
1.629425e-01   3.588185e-01 
1.740319e-01   3.588077e-01 
1.798615e-01   3.588284e-01 
1.921320e-01   3.587878e-01 
1.985922e-01   3.588022e-01 
2.052836e-01   3.587758e-01 
2.194129e-01   3.587987e-01 
2.268813e-01   3.588211e-01 
2.427195e-01   3.587940e-01 
2.511356e-01   3.587783e-01 
2.599203e-01   3.588350e-01 
2.787383e-01   3.587867e-01 
2.888606e-01   3.587920e-01 
2.995334e-01   3.587855e-01 
3.108290e-01   3.587828e-01 
3.356724e-01   3.587961e-01 
3.494814e-01   3.587923e-01 
3.644590e-01   3.587964e-01 
3.808693e-01   3.587998e-01 
3.990826e-01   3.587996e-01 
