k_long[1/Mpc]   bias Eulerian 
8.900381e-03   8.827740e-01 
1.120492e-02   8.833747e-01 
1.120492e-02   8.833747e-01 
1.120492e-02   8.833747e-01 
1.120492e-02   8.833747e-01 
1.120492e-02   8.833747e-01 
1.410615e-02   8.840284e-01 
1.410615e-02   8.840284e-01 
1.410615e-02   8.840284e-01 
1.410615e-02   8.840284e-01 
1.775850e-02   8.847414e-01 
1.775850e-02   8.847414e-01 
1.775850e-02   8.847414e-01 
1.775850e-02   8.847414e-01 
1.775850e-02   8.847414e-01 
2.234439e-02   8.854569e-01 
2.234439e-02   8.854569e-01 
2.234439e-02   8.854569e-01 
2.234439e-02   8.854569e-01 
2.234439e-02   8.854569e-01 
2.774042e-02   8.861046e-01 
2.774042e-02   8.861046e-01 
2.774042e-02   8.861046e-01 
2.774042e-02   8.861046e-01 
3.227383e-02   8.865249e-01 
3.227383e-02   8.865249e-01 
3.227383e-02   8.865249e-01 
3.556448e-02   8.867772e-01 
3.828064e-02   8.869546e-01 
3.828064e-02   8.869546e-01 
4.070699e-02   8.870998e-01 
4.297061e-02   8.872463e-01 
4.513887e-02   8.873487e-01 
4.725218e-02   8.874595e-01 
4.933710e-02   8.875318e-01 
5.141236e-02   8.876164e-01 
5.349195e-02   8.876892e-01 
5.558680e-02   8.877530e-01 
5.985663e-02   8.878899e-01 
6.204570e-02   8.879441e-01 
6.427893e-02   8.880251e-01 
6.889898e-02   8.881329e-01 
7.129553e-02   8.881613e-01 
7.375587e-02   8.882226e-01 
7.888541e-02   8.883079e-01 
8.156313e-02   8.883474e-01 
8.432174e-02   8.884042e-01 
9.009814e-02   8.884798e-01 
9.312418e-02   8.884966e-01 
9.947255e-02   8.885748e-01 
1.028031e-01   8.885981e-01 
1.097978e-01   8.886710e-01 
1.134703e-01   8.886807e-01 
1.172652e-01   8.887037e-01 
1.252394e-01   8.887564e-01 
1.294275e-01   8.887927e-01 
1.382286e-01   8.888343e-01 
1.428512e-01   8.888502e-01 
1.476284e-01   8.888683e-01 
1.576682e-01   8.888970e-01 
1.629425e-01   8.889072e-01 
1.740319e-01   8.889409e-01 
1.798615e-01   8.889478e-01 
1.921320e-01   8.889873e-01 
1.985922e-01   8.889942e-01 
2.052836e-01   8.890145e-01 
2.194129e-01   8.890274e-01 
2.268813e-01   8.890294e-01 
2.427195e-01   8.890564e-01 
2.511356e-01   8.890699e-01 
2.599203e-01   8.890584e-01 
2.787383e-01   8.890893e-01 
2.888606e-01   8.890941e-01 
2.995334e-01   8.891027e-01 
3.108290e-01   8.891098e-01 
3.356724e-01   8.891167e-01 
3.494814e-01   8.891234e-01 
3.644590e-01   8.891272e-01 
3.808693e-01   8.891311e-01 
3.990826e-01   8.891361e-01 
