k m1-monopole m1-quadrupole m2-monopole m2-quadrupole m3-monopole m3-quadrupole m4-monopole m4-quadrupole
0.0088996412 18416.67 8138.8181 26954.923 8436.676 41988.551 18508.818 89348.262 40296.841
0.015079122 21379.484 11152.954 29823.695 11459.493 49245.019 22659.496 111627.21 16610.292
0.021447902 21761.955 11046.116 29650.849 14170.306 49006.509 15680.848 101031.98 30077.217
0.027836608 19662.476 10864.27 25490.203 11915.251 42638.211 17387.191 97027.963 28734.863
0.034350998 16109.555 8381.5449 21868.516 10570.898 36476.762 13285.842 79047.365 20421.27
0.040478868 13790.061 8175.8508 18684.696 8883.2157 30808.152 11773.682 69665.493 21757.24
0.046767167 12121.354 6475.7507 16516.63 8374.9706 27820.867 10328.604 60459.994 14819.327
0.053082251 10934.148 5877.4305 14788.048 6602.6833 24375.316 9469.239 55092.149 15066.226
0.059453624 10186.166 5791.6781 13701.538 7019.2834 23073.027 8033.3602 50519.934 14069.472
0.065762248 9339.9798 5189.6873 12646.113 6159.1335 21591.711 6977.6844 47860.772 14862.989
0.071966329 8616.2421 4843.0619 11826.155 5720.7126 19631.659 7757.586 45851.402 11236.121
0.078278609 7906.2423 4234.2991 10705.941 4892.8897 18196.965 6412.0897 40977.911 10626.474
0.084703989 7028.4708 4021.7196 9494.1484 4846.7468 16247.569 6272.176 37116.216 8410.7772
0.090968546 6126.2809 3288.7854 8362.854 3880.2592 14402.9 5756.7715 32900.164 7060.7582
0.097207898 5430.5397 2952.5815 7405.143 3614.6811 12831.206 4674.0703 30206.095 9826.227
0.1034763 4884.8752 3041.2644 6807.0887 3413.9761 12020.806 4046.9269 27686.404 8876.4425
0.10975764 4619.353 2666.7552 6286.1861 3121.1929 10992.581 4171.1955 25712.337 8087.6052
0.11605431 4239.4654 2384.7959 5857.1443 3121.2314 10326.999 4559.5396 24713.974 7055.3331
0.12236697 4102.5544 2159.6013 5695.1263 2637.7724 9950.3562 3908.2186 24358.055 6081.0633
0.12868173 3907.7239 2073.5839 5289.9233 2501.7099 9512.6422 3478.9765 22710.478 6991.926
0.13495008 3640.8723 1942.7222 5090.2006 2383.1489 8908.2706 3493.6782 21547.818 5660.974
0.14119496 3412.9944 1897.7228 4724.601 2244.5642 8308.5118 3141.3399 21206.488 6670.9202
0.14751336 3173.4925 1637.4412 4370.0794 1990.3112 7837.0998 2980.9514 19454.579 6029.5319
0.15378651 2908.8213 1551.3632 4042.7548 1886.2818 7062.8334 2700.0546 17378.537 4722.8281
0.16006575 2690.7873 1447.4767 3734.2677 1818.0934 6721.2659 2642.109 17268.081 6116.6935
0.16639912 2525.0019 1494.3042 3513.6477 1843.8351 6273.6164 3017.1673 15513.112 5507.3567
0.17271956 2382.1078 1336.7383 3299.1148 1653.1893 6086.2646 2353.9574 15316.169 6172.678
0.17897652 2251.9773 1272.5566 3175.1132 1695.7882 5712.4871 2631.7346 14537.304 4798.3124
0.18523537 2197.1191 1231.2663 3057.9542 1434.3051 5566.3269 2140.0235 13860.534 4673.5224
0.19148068 2134.3361 1188.8663 2968.2745 1418.0757 5420.1876 2131.2276 13496.717 4590.8142
0.19778899 2024.5282 1137.1521 2830.5381 1371.9743 5090.5571 1922.0086 13357.383 3959.7243
0.20409377 1890.0512 989.64287 2656.0836 1248.5316 4859.1221 1815.2333 12877.503 3759.5592
0.21039393 1801.8926 1045.9932 2521.8929 1305.7235 4616.101 2129.038 12598.542 4997.5231
0.21669097 1690.7543 985.97775 2386.2438 1259.4244 4378.6708 2185.5344 11798.531 4636.3859
0.22297003 1607.0464 918.6828 2268.0174 1169.069 4215.8889 1837.6029 11212.293 3354.9526
0.229262 1547.5726 841.196 2179.0385 1061.4351 4051.8652 1886.5076 10897.979 4018.564
0.23551415 1490.2878 779.86078 2099.163 1060.8569 3899.4816 1745.6692 10193.839 3869.3382
0.24179106 1423.5616 836.40942 2004.474 1040.0142 3791.2316 1757.4432 9963.0758 4326.1746
