k m1-monopole m1-quadrupole m2-monopole m2-quadrupole m3-monopole m3-quadrupole m4-monopole m4-quadrupole
0.0088996412 16025.996 12330.934 20021.81 10748.853 32480.775 15697.437 58958.902 13942.159
0.015079122 20003.121 16617.617 23619.989 17029.921 35560.242 22208.962 72393.084 35419.17
0.021447902 19460.646 14167.184 23944.017 16040.347 35063.798 21002.073 70359.002 25430.97
0.027836608 17061.327 13784.307 20670.726 14543.72 30246.055 17860.246 62486.306 27675.476
0.034350998 14559.036 11571.574 17281.042 12165.236 25507.224 14243.092 52013.061 21794.324
0.040478868 12428.248 9987.9341 14737.605 10468.919 22357.421 14255.38 44767.226 16553.481
0.046767167 10763.595 7848.4753 12954.266 8786.9831 19673.827 10454.98 39730.57 16324.493
0.053082251 9682.1856 7334.5124 11627.244 8077.9863 17381.009 10289.604 34407.812 15061.134
0.059453624 8969.1888 7108.6103 10872.968 7717.6541 16241.24 9360.262 32882.013 12859.157
0.065762248 8349.4163 6665.1425 10066.274 7027.1438 14808.267 8624.0643 30212.748 13537.563
0.071966329 7594.4423 5566.6498 9137.6251 5997.8213 13795.585 7226.9764 28060.15 11763.163
0.078278609 6783.0033 5052.6466 8220.4536 5507.3678 12513.872 6949.209 25662.117 9981.8053
0.084703989 6107.8797 4677.6076 7474.9719 5310.9643 11216.82 6064.4653 22795.311 11000.992
0.090968546 5297.0261 4053.4079 6550.3565 4489.2105 9776.9393 5517.6831 19951.17 7848.8805
0.097207898 4724.458 3582.8561 5806.1263 3917.9829 8663.5153 4924.6853 18235.881 8274.4796
0.1034763 4232.2017 3033.2183 5160.6583 3391.52 7955.2304 4185.6232 16397.084 6965.4355
0.10975764 3997.657 3078.3014 4897.6519 3256.679 7360.2144 4292.7581 15411.691 6678.6693
0.11605431 3690.8319 2698.3451 4487.0166 2897.3839 6810.2576 3659.6073 14034.938 6264.5794
0.12236697 3541.3433 2695.3276 4371.0682 2938.9313 6579.0267 3511.8755 13758.108 5825.3921
0.12868173 3370.0644 2301.4323 4095.2867 2391.8825 6138.925 3175.6963 12874.265 5476.7515
0.13495008 3128.189 2259.9956 3786.3057 2438.8622 5880.9311 3115.9497 12238.082 5399.6712
0.14119496 2878.9465 2095.6688 3547.2816 2361.2557 5376.7993 3121.6125 11303.437 4840.8771
0.14751336 2663.3342 1969.2084 3345.0853 2276.8629 5031.6211 2898.7504 10942.616 5530.8078
0.15378651 2449.6402 1727.3475 3067.3699 1981.7172 4702.4887 2501.3616 9556.0801 4456.7217
0.16006575 2288.5773 1629.8509 2825.7991 1827.7071 4345.4136 2407.7789 9161.3509 3880.149
0.16639912 2163.3514 1534.6867 2651.8705 1752.9425 4053.172 2237.9677 8707.6181 4243.3414
0.17271956 2023.8837 1433.7777 2510.0145 1635.5866 3809.8542 2164.7578 8279.5046 4137.0409
0.17897652 1917.7521 1377.248 2347.4024 1509.5788 3621.6936 1908.2595 7833.3875 3605.6526
0.18523537 1821.5713 1237.6614 2277.1406 1410.6722 3511.3903 1945.7086 7604.2179 3858.9563
0.19148068 1805.2691 1294.7801 2198.1223 1438.536 3456.9755 2046.1004 7370.3183 3894.9354
0.19778899 1667.2349 1156.573 2076.8762 1325.3202 3203.7576 1726.6625 7002.166 3543.5722
0.20409377 1583.7128 1174.9895 1968.5124 1259.1862 3045.7451 1793.2347 6704.5291 3815.7154
0.21039393 1468.9899 1038.6454 1843.5638 1154.6209 2866.1733 1633.3033 6272.9932 2998.5673
0.21669097 1386.8909 937.44955 1726.9536 1075.0691 2698.1161 1375.423 5849.8872 2741.8809
0.22297003 1317.8267 963.45465 1643.2594 1077.4164 2551.7739 1472.0599 5650.6669 3031.874
0.229262 1282.2508 899.51957 1616.1965 1088.6177 2482.0358 1537.589 5449.0711 3237.3255
0.23551415 1214.5337 835.95706 1527.1399 945.24374 2395.7489 1288.9571 5179.2291 2908.6745
0.24179106 1170.8493 829.26105 1462.3266 941.67189 2313.2227 1298.0431 5075.7191 2988.0155
0.24808565 1129.3812 784.43042 1425.8954 940.24534 2257.1236 1325.2301 4953.3899 2620.1992
0.25434923 1065.1621 717.45561 1340.1777 836.41296 2100.5334 1125.955 4701.3355 2392.3357
0.26063343 1019.7658 648.81998 1296.3463 744.89526 2057.8606 1107.7351 4544.5276 2334.3999
0.26692574 989.54401 654.56586 1243.3943 746.42977 1973.0762 1083.3698 4322.4038 2352.7963
0.27324233 949.18779 615.46198 1199.9124 729.57869 1903.1323 1064.8678 4225.9609 2233.1433
0.27955297 911.08538 623.41791 1167.533 721.84626 1830.3943 1079.1563 4176.1157 2507.8134
0.28583663 871.94736 593.71361 1113.0041 686.67925 1777.7242 1034.7909 3920.5273 2224.0127
0.29208763 834.27037 575.67772 1065.2385 704.76392 1678.9588 972.19017 3744.1867 2228.6398
0.29834498 807.51263 495.55864 1018.4287 596.65554 1620.9458 853.95903 3609.5241 2061.5623
0.30463826 775.54635 495.50349 1003.2022 568.71423 1587.826 887.93752 3467.6935 1868.7135
0.31092791 752.07804 479.75451 960.08489 551.11176 1520.5332 830.74768 3337.6208 1931.1063
0.31721682 724.79912 462.09182 926.02946 551.47561 1510.7318 829.48875 3348.8434 2015.0755
0.32351876 696.77801 433.9252 892.68439 525.79134 1435.4793 801.87595 3202.7032 1746.8179
0.32981682 675.68302 448.16766 867.81757 523.77266 1404.0759 779.09687 3088.4025 1839.8415
0.33611764 649.98631 404.68966 823.53997 486.56669 1340.0453 758.49074 2906.9528 1705.9309
0.34237004 622.11382 400.80839 808.30604 471.73905 1293.9494 741.20968 2874.0902 1686.9142
0.34864782 609.54695 376.84338 788.66916 465.97399 1272.5508 709.98362 2803.8121 1682.7015
0.35494116 589.56888 358.43066 766.56923 422.8975 1222.3601 638.22595 2697.2638 1586.4252
0.36119169 580.31942 365.80507 740.74587 427.98161 1191.001 688.04002 2669.6502 1627.0516
0.36747671 546.82127 320.09048 717.31109 406.83492 1156.4766 649.65651 2569.0596 1570.6062
0.37376478 535.55214 315.66021 702.69002 379.56222 1147.8646 628.07412 2516.3873 1541.8789
0.3800654 523.18182 320.84478 680.01817 375.25114 1088.2462 552.64873 2439.2394 1509.8979
0.38635399 513.51631 294.83502 657.50643 375.26915 1074.748 592.37226 2389.2662 1518.6531
0.39261402 491.28804 280.31871 628.9292 356.08844 1035.4949 567.61329 2304.2356 1319.3388
0.39892645 476.40752 274.13249 620.9187 330.31262 999.36817 553.55673 2222.2129 1358.2134
0.40520732 464.10234 262.80194 602.827 337.65782 981.77911 529.80561 2147.8819 1340.6561
0.41149165 454.71735 269.84224 594.07309 336.89835 970.64039 549.3058 2110.5271 1275.6245
0.41778143 442.80771 257.45618 568.43283 306.79564 940.12459 537.78102 2060.0054 1249.9209
0.42404006 419.69384 247.52503 553.17622 287.13403 920.07998 506.14249 1960.4627 1363.5357
0.43034257 409.89752 238.79142 539.99126 288.26161 870.59407 480.45861 1972.1324 1332.1683
0.43663586 403.83408 225.86828 528.65954 285.82252 862.40619 463.39213 1891.3654 1098.894
0.44289962 387.10235 208.06618 507.61512 255.89565 850.89878 406.38424 1829.3814 1101.8696
0.44916344 380.97837 205.3833 503.79557 270.67038 824.97661 474.73308 1807.4239 1246.1309
0.45544141 370.29508 196.84181 485.31854 252.19323 807.68139 436.33105 1736.4562 1165.194
0.46176345 363.60334 191.26179 476.96621 250.27192 775.12288 422.67889 1706.6949 1096.8122
0.46806442 356.53198 179.64741 472.01893 237.90861 780.02389 420.36424 1683.0505 1023.0313
0.47434852 346.71851 190.69497 460.35537 238.58208 753.80854 396.64484 1599.5296 1065.7187
0.48063561 337.23524 173.78316 444.30982 215.21735 733.08555 409.56978 1574.7118 1008.4308
0.48690193 325.47524 180.19275 431.19409 221.17112 714.74426 407.31196 1534.64 1055.8148
0.49316971 322.67111 159.32005 425.55635 222.26517 706.83597 369.96408 1491.8841 992.21937
0.49945067 313.72564 162.73469 414.47872 204.64146 696.16824 380.79193 1421.3123 970.85451
0.50571591 303.64439 150.01669 404.49265 193.25007 655.48385 333.75491 1371.9288 968.1322
0.5119924 296.26379 145.30483 398.07848 196.67384 660.27584 321.05357 1353.0851 880.10082
0.51831261 292.65015 131.04372 390.76871 186.16155 648.0256 294.84348 1311.9862 880.30418
0.52460896 288.00826 137.40306 385.68023 179.57974 632.62449 346.91634 1315.312 864.39481
0.53087573 279.44052 138.80763 370.09741 186.59776 613.84352 305.94309 1265.2412 937.67515
0.53715735 273.80556 128.47418 362.50016 178.93241 610.7894 304.82873 1236.9325 847.81528
0.54345796 269.99644 117.52683 359.6386 164.04233 589.02799 303.63496 1197.2671 774.20146
0.54974307 261.90595 121.42067 348.98926 155.2487 580.18919 287.35532 1191.4031 818.13928
0.55599374 257.58926 113.67233 343.07407 164.60994 567.98483 287.93901 1141.3023 850.25903
0.56228547 251.22049 114.12267 335.50074 159.91116 545.6034 278.88152 1133.4362 689.12195
0.56860115 245.81067 108.49679 323.40624 152.46889 543.11117 274.92778 1069.181 669.55931
0.57488046 241.83811 106.75779 325.38467 145.85839 538.94601 263.25107 1084.9709 687.19957
0.58115502 238.10954 102.56605 315.6656 141.47891 527.56775 253.91426 1022.7443 741.28184
0.58743945 232.92004 103.81003 311.56109 140.84664 515.64118 274.53662 1010.1586 702.93482
0.59371762 226.31359 99.515344 302.16635 138.63315 499.26227 253.78292 987.67262 617.43807
0.5999972 223.90571 91.588013 300.49692 135.91994 493.29291 250.74236 983.1038 736.82494
0.60626791 219.1784 94.022618 291.79211 128.52845 476.57809 232.94057 935.79979 682.25856
0.61254696 215.1055 81.588262 286.67963 111.00085 471.54456 204.7555 910.89916 629.9851
0.61884777 209.97789 84.23597 286.07685 125.59832 464.26073 228.13103 899.20153 660.16256
0.62513106 205.28929 81.00062 276.62077 119.32043 460.5523 204.45328 869.93998 606.88812
0.63140275 203.54411 84.45062 269.81341 116.92873 450.99005 207.64485 844.62775 604.91
0.63770036 198.6398 73.284848 266.67786 111.24343 443.03037 220.29836 856.79686 644.33556
0.64398578 197.52482 78.503485 263.95953 113.83149 437.53963 213.74534 808.3858 640.95909
0.65026854 189.84061 71.50663 256.52098 98.851816 425.88375 175.49315 779.51088 573.47728
0.65655861 185.88053 71.740307 251.05371 99.589857 412.09049 197.89112 762.50186 528.86862
0.66283693 182.82929 68.940414 246.48442 102.20426 404.97164 192.82383 730.05936 531.05521
0.66911854 179.82142 62.886038 241.75534 96.514808 400.54885 167.41068 720.61997 536.58908
0.67540702 179.56312 68.905305 241.50034 95.892515 396.91487 187.82889 698.9471 505.85742
0.68168355 175.9747 62.591603 235.6981 89.568287 382.9828 171.13863 686.92167 530.06588
0.68795925 173.45471 63.734771 233.79169 86.737442 383.94808 166.39465 675.54739 484.67678
0.69423443 170.04167 67.419623 229.80355 90.932271 371.71172 179.52999 670.74239 535.76831
0.70051754 167.17998 56.793219 224.78005 83.714375 369.30891 163.93954 638.67422 483.75038
0.7068125 162.84961 60.333872 223.13142 79.018191 357.78 159.5006 613.76037 504.22658
0.7131019 161.00656 53.871162 218.46351 80.187012 355.88654 170.11379 598.57693 499.541
0.71939183 158.39772 53.410555 214.02877 84.761597 343.50784 163.36944 585.65106 439.29328
0.72568338 155.23609 52.271617 211.69009 74.784545 338.62553 143.48512 565.62948 416.26629
0.73196527 153.07726 47.821081 206.10927 76.606668 334.73548 135.22138 555.34649 433.52704
0.7382508 151.9412 49.475894 204.44777 75.357707 324.93318 151.59265 526.98247 427.28293
0.74452658 148.64981 47.966844 198.67227 67.86912 320.88976 135.81959 524.74745 386.61036
0.75078711 144.96609 48.287513 197.41853 72.702831 317.70281 146.04552 518.68751 434.53723
0.75707585 143.77593 47.562734 193.14171 62.357514 311.09362 133.42912 503.85422 462.63657
