k m1-monopole m1-quadrupole m2-monopole m2-quadrupole m3-monopole m3-quadrupole m4-monopole m4-quadrupole
0.0088996412 18325.146 6302.6423 27194.488 13298.313 41585.095 5987.4997 88929.929 6420.9126
0.015079122 21548.356 14322.599 30285.902 20984.681 48961.909 16179.349 111386.98 15047.822
0.021447902 21846.633 13101.462 29715.776 15696.111 49192.437 18812.966 100736.36 5144.1234
0.027836608 19707.824 11724.23 25567.795 12897.309 42568.555 16215.309 96836.547 14931.109
0.034350998 16153.331 9500.2101 21892.72 11164.705 36627.582 15156.525 79035.477 16974.158
0.040478868 13792.283 8041.4548 18715.346 9300.6136 30859.749 13366.578 69632.336 16884.002
0.046767167 12154.929 6869.1441 16488.225 7713.1053 27705.453 9527.988 60771.947 17312.899
0.053082251 10940.331 6211.9065 14821.011 7003.9586 24364.037 8913.6636 55006.018 12530.037
0.059453624 10195.716 5528.05 13670.853 6191.7392 23023.274 8200.9102 50540.167 11686.967
0.065762248 9347.8688 5341.6713 12618.774 5891.0992 21717.874 9031.2368 47772.159 11229.151
0.071966329 8571.2939 4609.2143 11769.84 5157.7391 19562.607 6221.6899 45738.587 14945.028
0.078278609 7903.5182 4084.3334 10708.506 4902.3118 18201.936 6584.8268 40867.313 11998.597
0.084703989 7015.7006 3902.6565 9471.0361 4618.2052 16222.764 5951.858 37117.966 11973.635
0.090968546 6124.1567 3485.0191 8367.8732 4026.3278 14454.897 5604.6922 32975.069 9856.0906
0.097207898 5432.6213 2938.9135 7415.8941 3739.2148 12886.193 5477.9 30163.87 5397.2009
0.1034763 4845.5609 2534.9966 6767.8126 3198.0318 11979.527 4542.8055 27583.275 6492.1177
0.10975764 4614.8441 2478.2835 6295.3568 3114.914 11002.08 4270.2 25849.325 7180.6284
0.11605431 4259.1298 2455.2398 5846.8369 2706.9863 10256.972 3805.339 24605.089 4784.2135
0.12236697 4105.4776 2252.2107 5688.4676 2737.0575 9941.3022 3539.4213 24305.777 7517.7256
0.12868173 3920.4854 2256.255 5307.9505 2517.3243 9494.6178 3461.6576 22721.572 6881.4343
0.13495008 3648.1547 2014.8493 5081.4313 2447.4983 8913.5856 2950.0444 21650.239 6850.1892
0.14119496 3384.9963 1781.2252 4697.8356 2192.6225 8313.9448 3551.9419 21067.598 6155.1955
0.14751336 3166.312 1762.5019 4354.149 2128.5692 7824.7441 2862.3175 19362.492 4876.313
0.15378651 2925.0417 1563.4551 4060.5291 1942.0285 7062.7711 2931.0272 17670.165 7203.5719
0.16006575 2711.894 1648.5267 3744.596 2048.9638 6760.033 3028.7214 17508.777 6421.5336
0.16639912 2505.499 1378.8778 3501.5506 1734.361 6218.1482 2426.8109 15655.93 4611.3264
0.17271956 2383.1082 1332.8824 3290.6658 1632.4855 6059.5713 2446.4265 15203.378 4385.0658
0.17897652 2257.871 1346.7196 3170.4108 1627.9925 5685.0729 2387.393 14500.661 5366.8101
0.18523537 2212.8117 1288.3329 3082.2306 1643.8851 5618.8731 2347.1549 14026.229 5655.107
0.19148068 2125.3354 1131.3975 2955.5795 1451.9905 5400.4199 2108.1128 13354.48 4684.0464
0.19778899 2017.7596 1115.7619 2840.2576 1422.5758 5073.2989 2095.1657 13573.204 4342.7458
0.20409377 1910.8311 1070.6087 2670.3958 1296.4859 4888.7172 2061.4059 12967.353 4348.3503
0.21039393 1798.5411 1005.2817 2516.4562 1290.4797 4615.9539 2089.3699 12478.961 5226.3164
0.21669097 1678.2687 966.41866 2362.4315 1196.7504 4385.0882 1773.8498 11694.998 4292.5383
0.22297003 1599.7599 872.38258 2259.8482 1050.5465 4200.1661 1835.4441 11141.218 4226.4884
0.229262 1550.3242 875.18209 2180.0235 1128.9246 4052.5918 1565.9391 10969.938 3575.276
0.23551415 1497.2401 890.05697 2120.8088 1092.0879 3923.2688 1842.5123 10381.608 4520.428
