k m1-monopole m1-quadrupole m2-monopole m2-quadrupole m3-monopole m3-quadrupole m4-monopole m4-quadrupole
0.0088996412 17399.794 11572.037 19239.433 13009.065 28146.999 13779.451 51790.052 21377.385
0.015079122 21785.327 18684.309 23414.493 20864.584 31174.317 25662.814 62275.637 41463.538
0.021447902 20995.681 17288.74 23314.748 18963.844 31572.693 24725.404 60291.593 30748.586
0.027836608 18115.481 15506.649 20251.772 15908.412 27569.058 21021.104 52483.889 28985.531
0.034350998 15580.081 12882.92 17082.431 13659.18 22365.681 15125.662 44146.805 24080.276
0.040478868 12921.74 11251.791 14601.596 11987.137 19654.128 12233.486 37656.16 19458.517
0.046767167 11363.381 9200.0986 12659.812 9976.8736 17293.998 10514.202 33724.995 16279.958
0.053082251 10192.453 8480.4802 11252.354 8810.3557 15385.741 10652.206 29126.547 14293.021
0.059453624 9401.6362 7196.2232 10470.486 7719.7878 14306.161 8782.5051 27714.217 13280.596
0.065762248 8677.0841 7120.1621 9741.8537 7537.9068 13071.531 8806.566 25319.58 11057.182
0.071966329 7888.7085 6243.3116 8805.7803 6314.845 12095.976 7162.4095 23427.312 9904.8915
0.078278609 7068.3672 5425.7555 7905.9652 5843.6096 10953.844 6558.3059 21225.708 9708.7595
0.084703989 6325.6317 5006.138 7151.7279 5416.73 9778.2 6104.4176 18782.279 8475.3326
0.090968546 5500.2379 4274.5366 6252.0453 4386.4228 8431.3734 4962.4798 16839.98 8141.5738
0.097207898 4957.8537 3832.5165 5600.3431 4039.1981 7612.74 4545.4688 14830.217 7505.0643
0.1034763 4407.18 3345.4475 4930.4428 3382.6519 6826.0045 4227.0954 13430.93 5991.7598
0.10975764 4162.6699 3278.1301 4752.4362 3481.6645 6439.777 4192.0302 12744.774 6691.9067
0.11605431 3869.7543 3040.4969 4291.6049 3314.9616 5948.3141 3757.3418 11515.079 5645.9999
0.12236697 3625.3226 2646.1411 4133.5177 2944.907 5759.3544 3634.168 11138.673 5243.2748
0.12868173 3401.3485 2580.6758 3930.4145 2768.1953 5339.0229 3382.3503 10464.597 4941.6161
0.13495008 3152.41 2278.6194 3562.0961 2414.2463 4990.5815 2990.8741 9720.2112 4175.9056
0.14119496 2935.8252 2151.1787 3310.0214 2151.7158 4668.6807 2579.0682 9135.3704 4795.6494
0.14751336 2710.8367 2061.1532 3094.5453 2183.8886 4319.4032 2706.3955 8652.4392 4370.5783
0.15378651 2476.2133 1786.6494 2833.3209 1850.5844 4014.8874 2194.8034 7781.2825 3933.3622
0.16006575 2358.3842 1799.4939 2685.4429 1874.4512 3735.2428 2478.842 7507.2007 4373.8883
0.16639912 2198.7955 1629.332 2481.8304 1778.8128 3448.049 2051.58 6977.0507 3707.8592
0.17271956 2062.4241 1539.9911 2373.3515 1662.1629 3278.7494 2086.9564 6718.2612 3527.2405
0.17897652 1910.8309 1430.0889 2209.0874 1480.7008 3126.8628 1911.3759 6204.2946 3449.2681
0.18523537 1841.1301 1357.2147 2149.8369 1486.0454 3007.1713 1869.3019 6046.8872 3403.286
0.19148068 1769.6039 1251.6669 2046.9869 1426.8719 2887.7677 1700.3103 5863.6233 2927.5703
0.19778899 1663.2533 1122.7586 1917.4401 1206.1781 2683.5293 1402.3289 5442.7876 2833.1786
0.20409377 1579.788 1067.3828 1811.3562 1155.9119 2546.9579 1508.6319 5230.6997 2738.9977
0.21039393 1479.5754 1027.4727 1699.4482 1109.434 2424.0218 1420.6487 4886.1897 2830.8268
0.21669097 1392.6923 939.31151 1591.2094 972.32138 2287.8519 1257.244 4613.1121 2364.1469
0.22297003 1321.7443 886.961 1541.3441 973.46087 2189.3591 1269.7897 4403.1728 2461.8054
0.229262 1270.9709 853.22991 1478.1565 972.11574 2140.9855 1234.2948 4248.9141 2370.0445
0.23551415 1206.3584 808.4032 1402.2921 889.80422 1998.4901 1070.6158 4071.6383 2327.1853
0.24179106 1150.619 790.5546 1343.9915 881.76173 1923.0238 1133.5071 3927.4387 2299.5833
0.24808565 1127.5157 772.71731 1286.4867 838.92258 1855.0387 1079.4544 3822.8518 2174.9107
0.25434923 1044.1132 717.94375 1224.1071 755.53121 1749.7738 1049.8815 3553.9205 2014.3695
0.26063343 1006.6724 651.8568 1190.4944 722.71391 1696.2254 971.87815 3513.4747 1974.3349
0.26692574 969.84764 625.48745 1131.9291 677.1182 1665.7492 858.71675 3382.0433 1878.3459
0.27324233 929.62215 582.50442 1092.5951 661.95762 1567.8126 850.33353 3245.8787 1839.4934
0.27955297 882.51572 556.98289 1044.0016 634.71304 1496.3509 782.43929 3063.137 1751.2006
0.28583663 861.66044 542.30135 1018.8464 639.30519 1454.2856 830.71057 3039.1057 1854.3373
0.29208763 824.84246 507.90895 971.30676 553.23168 1382.7339 701.88851 2873.6344 1628.3661
0.29834498 784.49632 476.78273 935.65651 539.26063 1357.2128 691.12548 2747.8724 1667.6922
0.30463826 750.13608 445.75096 891.40428 525.81479 1305.1948 702.51853 2687.8885 1631.0071
0.31092791 730.45464 441.72354 868.93146 501.13511 1287.1747 689.55312 2559.6892 1631.3023
0.31721682 698.28811 452.51619 832.268 515.96387 1218.8485 714.32744 2496.4374 1615.7967
0.32351876 669.37387 402.19522 793.62755 443.05457 1161.8079 644.41829 2391.5844 1546.522
0.32981682 656.1868 353.41843 770.52084 409.59562 1143.7188 597.81699 2321.08 1484.4365
0.33611764 630.10311 349.31314 743.94853 393.55635 1103.5081 580.37588 2221.4738 1328.4916
0.34237004 602.14083 345.38182 729.67164 396.47813 1049.7372 565.50756 2210.0586 1346.6132
0.34864782 586.91953 342.0696 698.12484 358.69302 1025.5978 560.73621 2093.7882 1208.8083
0.35494116 563.26744 302.84778 684.66706 365.22916 981.13049 505.07767 2000.9883 1189.738
0.36119169 549.62395 281.26414 651.62417 360.17611 966.78414 464.25352 1959.5436 1249.8104
0.36747671 525.52102 283.65972 632.68777 320.10666 932.85194 481.62831 1930.179 1229.3435
0.37376478 516.08057 270.0824 612.58165 325.27493 933.32925 474.04478 1848.8946 1178.8434
0.3800654 502.62973 257.05939 603.36438 321.30291 893.28126 476.98036 1801.9303 1075.9671
0.38635399 486.02134 236.32501 587.42604 286.83896 862.12903 435.10456 1793.9006 1150.2469
0.39261402 469.61954 236.96879 559.81262 291.67703 837.70814 398.64847 1688.6711 1105.993
0.39892645 455.37741 227.61516 549.49486 286.02841 804.75345 447.69171 1679.5224 1073.6021
0.40520732 438.27856 214.31936 530.44379 255.24053 791.449 355.12036 1587.4844 1056.9306
0.41149165 424.89517 209.39495 509.45323 243.54258 781.48143 379.76744 1565.722 982.49538
0.41778143 416.46569 196.10727 499.07025 252.47193 749.19341 379.67723 1534.4904 1022.1036
0.42404006 399.6473 178.7762 487.40466 240.51187 736.54144 347.65096 1475.5522 949.51779
0.43034257 393.10758 192.37609 475.71182 236.53196 715.22124 372.68604 1437.9453 947.08014
0.43663586 373.94733 156.04062 460.24312 212.12054 710.41607 320.57074 1365.8654 880.21588
0.44289962 367.40423 164.75877 447.84408 215.82311 678.37553 316.41212 1358.873 967.55643
0.44916344 356.19412 155.68882 436.18481 196.7347 651.60055 319.01782 1308.0833 833.35557
0.45544141 350.07655 157.61606 430.50564 200.69312 646.9273 302.91799 1268.2531 919.77022
0.46176345 339.29632 144.81001 416.76358 169.39853 635.05595 283.223 1219.6219 771.42028
0.46806442 333.89776 138.41196 406.31636 181.55394 608.63877 288.2265 1199.2048 693.81277
0.47434852 323.21756 136.63694 393.72149 164.0895 600.6115 284.43695 1152.8263 722.12532
0.48063561 313.8993 121.1042 386.37551 154.66299 587.60087 260.74915 1143.1987 761.65896
