k m1-monopole m1-quadrupole m2-monopole m2-quadrupole m3-monopole m3-quadrupole m4-monopole m4-quadrupole
0.39892645 480.67277 287.68993 624.42036 357.27119 1028.366 583.4268 2243.6093 1374.2241
0.40520732 462.17645 261.92613 608.45535 328.93233 978.17895 504.90211 2140.9559 1344.9743
0.41149165 451.4655 259.69659 583.74919 322.64376 956.08542 508.27932 2113.5193 1284.9869
0.41778143 441.35203 259.706 570.905 329.55506 961.54978 510.70723 2064.5444 1325.838
0.42404006 423.9189 240.01041 555.58196 308.13076 908.87618 490.92982 2007.7808 1277.1258
0.43034257 413.49126 239.80075 546.90728 301.64029 885.23601 478.00302 1957.0934 1176.618
0.43663586 400.81325 213.83472 528.80404 283.46269 869.13935 464.41159 1888.6464 1221.0844
0.44289962 390.62492 220.22881 513.79181 286.41643 852.40722 459.99144 1837.2686 1258.0102
0.44916344 379.81208 205.27959 502.14562 269.43019 825.00116 423.19421 1792.1464 1106.4617
0.45544141 374.00781 199.24455 488.00248 262.06231 802.76329 423.81155 1733.6449 1204.1
0.46176345 360.69268 181.53971 480.95767 243.69984 784.27269 407.02006 1660.466 1061.3701
0.46806442 357.26756 197.38411 468.508 246.16928 767.41274 398.59279 1634.8096 984.67055
0.47434852 346.2457 180.39717 458.19398 240.10714 754.19192 396.9868 1597.3725 1003.3181
0.48063561 337.97432 167.34753 448.27208 227.61451 731.48645 369.04449 1559.9775 988.74881
0.48690193 329.94589 174.92127 435.48729 230.75878 720.02922 391.90347 1514.5973 979.51026
0.49316971 320.73694 166.60471 424.36354 216.86609 704.20614 384.66073 1482.0295 913.76955
0.49945067 317.82051 153.29969 416.12241 205.36665 689.01703 334.20978 1413.2952 997.84964
0.50571591 304.73377 146.53187 405.46964 187.90584 668.73686 346.33676 1395.3149 920.2107
0.5119924 299.09377 152.79656 401.80957 197.46681 662.88426 319.70349 1386.9168 876.81713
0.51831261 293.64253 139.41534 396.26181 189.35047 646.32621 338.00204 1339.0653 950.56943
0.52460896 285.63061 138.96453 379.06838 188.10269 627.28974 310.49856 1276.9988 843.64831
0.53087573 279.87711 132.90347 370.83249 171.10879 607.97114 298.28674 1264.1055 893.08492
0.53715735 272.45914 125.69594 362.53964 177.9372 611.32644 298.89901 1232.4862 831.6832
0.54345796 266.63811 126.34172 358.17784 168.24473 589.22705 309.15571 1212.5869 849.61802
0.54974307 262.09019 118.58348 350.24756 160.31886 572.26992 301.05345 1155.3905 753.86468
0.55599374 256.63944 107.27435 340.52613 154.52217 555.69386 282.01882 1113.3371 745.0362
0.56228547 252.70136 111.05699 332.35123 154.14492 552.9504 287.94104 1111.6426 838.30025
0.56860115 246.2042 108.44127 328.08548 159.18886 544.48132 268.61866 1096.0562 786.02095
0.57488046 241.21899 108.53607 324.45237 156.71021 531.00427 279.74428 1072.9078 773.49754
0.58115502 235.82426 103.67116 313.80412 150.75162 531.07482 249.20578 1038.7734 781.31779
0.58743945 232.83076 99.160496 310.83399 141.58734 510.54297 244.16878 1014.7743 721.18157
0.59371762 228.22055 97.228003 301.02338 133.38663 498.03332 253.36013 991.52512 735.39732
