k m1-monopole m1-quadrupole m2-monopole m2-quadrupole m3-monopole m3-quadrupole m4-monopole m4-quadrupole
0.0088996412 19200.013 10886.716 21337.285 12650.614 24630.532 14915.975 44850.787 16071.711
0.015079122 24378.534 18339.295 24448.555 18873.211 28449.376 19582.19 54260.257 20412.618
0.021447902 22761.695 15851.795 23553.238 16215.398 28644.866 16010.918 53134.803 19106.67
0.027836608 20075.523 14195.849 20353.427 15658.533 24927.315 14521.347 45034.218 20055.89
0.034350998 17116.999 12021.763 17640.937 12724.639 20683.19 12881.015 37622.19 17009.857
0.040478868 14308.45 10245.988 14922.316 10585.086 18082.513 12432.204 32434.782 17100.778
0.046767167 12448.825 8773.2962 12735.333 9263.2546 15730.869 9385.028 28772.161 15450.912
0.053082251 11031.472 7667.0869 11448.122 7625.3399 13719.275 7961.86 25209.543 10973.813
0.059453624 10081.067 7137.7728 10435.544 6989.3015 13055.806 7775.8886 23668.265 10855.49
0.065762248 9273.0705 6570.8878 9623.7287 6420.4293 11899.615 6947.9737 21595.132 10050.442
0.071966329 8682.601 6017.1686 8847.1032 5840.4216 10874.052 6669.2695 20252.224 9390.3033
0.078278609 7522.2112 4802.3949 7782.4187 4918.373 9761.8501 5130.1126 17878.13 7886.9192
0.084703989 6738.9159 4535.2386 7056.0133 4360.0564 8658.8339 4780.3622 16307.751 7533.8931
0.090968546 5905.6208 3787.6392 6190.3231 3780.3365 7552.0888 4204.3909 14039.339 5979.0742
0.097207898 5397.8622 3615.9703 5574.2298 3516.7195 6980.9596 4084.7403 12487.581 5935.3159
0.1034763 4771.9594 3317.9114 5011.4395 3367.3251 6217.125 3981.0694 11535.533 6095.2846
0.10975764 4496.216 2925.2725 4679.5133 3135.4758 5797.7103 3545.7081 10888.659 5133.2386
0.11605431 4127.3213 2793.6914 4273.9949 2678.5965 5294.9563 3141.7677 9915.5618 5046.0391
0.12236697 3839.3253 2286.5498 4043.743 2404.6703 5049.0869 2589.1029 9459.9277 4041.2975
0.12868173 3596.8585 2282.057 3781.1281 2248.2441 4776.4658 2476.2513 8819.7372 3818.214
0.13495008 3391.4096 2155.7409 3515.9897 2216.8843 4434.204 2413.35 8332.2917 3535.9389
0.14119496 3097.9884 1923.0993 3264.3089 1970.9203 4129.574 2278.202 7719.6331 3122.4768
0.14751336 2868.9858 1725.5968 3013.0715 1754.107 3815.1561 1909.8908 7241.8135 2947.7035
0.15378651 2621.5276 1604.3274 2806.1515 1588.5988 3535.5492 1860.2894 6604.5763 2951.1112
0.16006575 2500.8724 1535.4254 2620.3235 1640.5158 3333.0117 1751.7594 6286.925 2848.2445
0.16639912 2344.1584 1519.4278 2489.6255 1605.5583 3085.7034 1769.1161 5840.1851 2908.2677
0.17271956 2189.3882 1378.0572 2318.2462 1371.4959 2957.5788 1583.239 5542.0228 2545.0436
0.17897652 2067.2376 1313.064 2161.8796 1322.208 2750.8364 1602.4893 5179.3854 2625.8052
0.18523537 1938.4338 1153.4043 2038.9855 1177.6945 2632.8651 1273.0693 4907.9542 2429.5189
0.19148068 1866.5102 1102.3464 1962.053 1144.2909 2566.5481 1237.8725 4817.6806 2142.1281
0.19778899 1757.2997 1023.6267 1861.8115 1024.2386 2378.7932 1223.1319 4553.4172 2068.655
0.20409377 1655.0905 937.61785 1764.8966 958.39642 2242.4925 994.34043 4264.9482 1782.6498
0.21039393 1562.1495 949.33882 1640.7739 945.22318 2157.8266 1216.0032 4051.3128 2271.9128
