k m1-monopole m1-quadrupole m2-monopole m2-quadrupole m3-monopole m3-quadrupole m4-monopole m4-quadrupole
0.0088996412 17284.156 10448.633 19214.534 13514.826 28351.4 14873.096 51752.951 18469.832
0.015079122 21831.647 19106.769 23406.796 20926.55 30802.158 20445.521 61341.836 20402.724
0.021447902 21012.452 16665.226 23265.098 17915.288 31111.856 16127.582 60148.545 27283.827
0.027836608 18122.24 15165.306 20220.1 15847.873 27336.169 16855.78 52186.955 24998.808
0.034350998 15605.469 13124.175 17069.649 13004.307 22447.241 15437.212 43945.824 19621.34
0.040478868 12938.268 11060.654 14596.973 12079.046 19739.238 14041.093 37600.696 19362.757
0.046767167 11419.241 9556.299 12696.918 9872.8329 17368.363 11873.365 33836.459 16853.8
0.053082251 10147.521 7964.3789 11245.538 8680.9195 15270.608 9215.1536 29024.284 13649.854
0.059453624 9429.8841 7472.8826 10476.746 8143.4118 14304.03 9136.7212 27811.582 13571.9
0.065762248 8659.3088 7046.7507 9690.6371 7190.5958 13038.46 8329.1032 25431.025 12940.1
0.071966329 7914.2855 6176.0636 8891.2058 6592.5559 12211.696 8199.4547 23553.892 11329.646
0.078278609 7035.261 5416.3406 7844.8661 5565.5629 10930.084 6670.7633 21177.995 9113.7301
0.084703989 6343.9633 5038.6731 7114.001 5056.7935 9792.6101 6478.5898 18900.098 9752.5852
0.090968546 5498.1509 4096.2442 6269.5036 4490.2482 8436.1922 5085.6725 16829.353 7940.443
0.097207898 4964.4851 3916.14 5606.533 4190.0569 7614.2018 4913.4865 14814.654 7485.9605
0.1034763 4454.6955 3586.4028 4996.1061 3887.1745 6890.5088 4683.4722 13605.429 7359.4549
0.10975764 4160.2128 3203.7051 4740.6686 3622.5981 6438.1032 4232.418 12718.882 6022.6918
0.11605431 3828.4054 2958.5828 4271.3154 3229.0386 5933.0614 3923.5774 11488.062 6155.5965
0.12236697 3619.9794 2666.4934 4125.4153 2714.2578 5740.5438 3121.6788 11135.284 5494.3534
0.12868173 3405.2115 2478.1923 3914.9484 2618.6928 5299.508 2988.1203 10521.985 5181.8664
0.13495008 3156.7083 2260.6914 3594.0702 2539.6201 5012.6386 3011.7929 9772.6212 4736.0448
0.14119496 2920.1136 2130.0993 3334.9472 2309.0147 4677.7359 2732.4506 9146.4987 4425.4653
0.14751336 2703.7989 1916.2392 3090.5071 1960.0856 4324.7148 2391.5556 8698.8005 3876.6468
0.15378651 2485.9043 1750.401 2852.4721 1876.7946 4007.4448 2279.9984 7762.4441 3624.055
0.16006575 2342.197 1693.1445 2673.5994 1879.9768 3717.875 2124.4222 7493.5039 3711.6211
0.16639912 2197.3388 1639.7804 2503.8662 1825.9402 3470.3724 2316.4806 6987.211 3912.3692
0.17271956 2059.114 1487.1851 2378.5933 1616.9904 3286.6928 1939.6892 6731.121 3475.7018
0.17897652 1922.9293 1462.6547 2216.7961 1564.7162 3122.2128 1907.4175 6196.6236 3462.8354
0.18523537 1822.2731 1257.0688 2113.8624 1358.9424 2955.1195 1727.5542 5972.8003 3097.0076
0.19148068 1774.1291 1222.6139 2047.1916 1276.0021 2859.9673 1547.7143 5839.9953 2995.0268
0.19778899 1673.7529 1149.3068 1912.7225 1222.7094 2712.4531 1600.497 5479.1345 2755.577
0.20409377 1574.1028 1000.284 1809.7574 1090.1295 2536.4489 1371.1558 5131.641 2357.3744
0.21039393 1478.0236 1070.0847 1699.5484 1153.7121 2438.156 1581.7039 4910.2405 2848.5919
0.21669097 1406.6004 985.99858 1615.0635 1072.7173 2298.9997 1399.5208 4660.0801 2717.4905
