k m1-monopole m1-quadrupole m2-monopole m2-quadrupole m3-monopole m3-quadrupole m4-monopole m4-quadrupole
0.0088996412 15709.257 8572.5258 20349.73 13541.471 32398.289 13318.258 59250.305 19436.02
0.015079122 19985.846 16450.297 23757.169 18713.847 35226.87 15854.928 72058.138 29534.373
0.021447902 19522.735 15033.995 23817.541 13910.25 34880.38 17473.936 70513.321 32599.276
0.027836608 17016.912 13418.225 20672.738 14619.451 30208.477 18500.856 62560.885 26698.578
0.034350998 14554.6 11350.814 17313.806 12307.491 25567.975 15120.834 51905.61 20415.492
0.040478868 12432.944 10166.403 14774.57 11291.969 22312.347 13668.961 44911.587 20557.909
0.046767167 10824.262 8423.5042 12956.216 8980.1671 19784.789 12452.461 39747.781 15744.29
0.053082251 9729.0729 7382.9113 11685.17 8169.8314 17364.818 8750.9541 34400.764 14607.37
0.059453624 8948.7399 6980.9464 10802.234 7324.8359 16237.533 9553.9499 32909.813 13978.268
0.065762248 8327.4806 6198.6759 10043.016 6958.7981 14794.688 8571.1299 30060.517 10923.24
0.071966329 7636.9971 5771.9042 9212.203 6567.9392 13874.959 8356.7437 28145.84 11735.87
0.078278609 6766.0923 5000.1171 8223.1661 5373.8563 12541.358 6723.7752 25679.871 10654.711
0.084703989 6089.5457 4698.3681 7452.9927 4995.6765 11227.053 6800.3095 22782.082 10375.493
0.090968546 5284.2043 3780.0394 6524.212 4344.2533 9738.1659 5240.6435 20020.585 8759.6425
0.097207898 4714.5092 3567.9226 5810.7203 3944.6013 8653.2668 4994.0342 18235.648 7897.6462
0.1034763 4273.9212 3356.4688 5201.2611 3778.6083 8005.2029 4844.299 16502.325 7794.8826
0.10975764 4015.3035 2976.8041 4937.1059 3589.2333 7361.5618 4176.0304 15454.897 6365.0195
0.11605431 3686.2205 2802.4351 4518.5381 3195.6524 6828.7907 4098.5104 14040.813 6818.9394
0.12236697 3528.9775 2450.7667 4356.6217 2687.9048 6565.9951 3489.9852 13772.191 5576.0572
0.12868173 3378.2952 2317.9857 4111.6817 2645.3119 6178.1906 3248.4048 12920.903 5357.6206
0.13495008 3125.6477 2214.5194 3783.3159 2435.4599 5887.0821 3165.9652 12261.808 5526.054
0.14119496 2885.5417 2133.285 3542.9741 2319.327 5392.9121 2913.8209 11367.208 5173.2378
0.14751336 2646.8 1831.3765 3325.8365 1990.7899 5048.1713 2669.9785 10862.472 4593.9667
0.15378651 2453.7752 1716.6004 3058.4936 1869.2369 4684.5711 2457.3502 9511.596 4075.4786
0.16006575 2306.2119 1639.8479 2838.5145 1904.3269 4312.4803 2216.1916 9239.1058 4586.9031
0.16639912 2173.3234 1641.5599 2658.7453 1858.718 4070.8134 2462.928 8658.0945 4625.0807
0.17271956 2046.6792 1520.7963 2520.9614 1681.5855 3845.5567 2187.5126 8309.5209 4010.9106
0.17897652 1920.0993 1386.3112 2351.7329 1615.156 3632.0821 2073.2738 7820.4439 4309.4869
0.18523537 1824.9703 1268.2665 2264.4006 1406.4614 3465.3295 1920.9243 7535.7238 3582.1666
0.19148068 1791.5616 1177.9872 2188.8283 1364.7001 3434.5436 1763.9215 7337.3054 3553.301
