k m1-monopole m1-quadrupole m2-monopole m2-quadrupole m3-monopole m3-quadrupole m4-monopole m4-quadrupole
0.0088996412 19184.468 10663.325 21360.288 11937.99 24681.272 15781.502 44596.023 14444.227
0.015079122 24356.058 18114.435 24366.114 18196.352 28681.001 22294.004 54810.08 33732.602
0.021447902 22723.858 15848.735 23544.164 16245.189 28790.517 20529.616 53644.192 29768.356
0.027836608 20070.904 14134.098 20241.252 13386.606 25112.498 16937.407 45270.354 25606.291
0.034350998 17107.653 12241.272 17563.369 12016.988 20630.867 12739.618 37620.616 18461.085
0.040478868 14363.658 10966.334 14974.488 10968.021 18009.638 10397.097 32460.723 15731.525
0.046767167 12421.274 8570.7342 12634.82 8382.9147 15737.53 9827.3849 28560.879 11732.821
0.053082251 11058.247 7702.8394 11473.576 8118.5202 13811.321 9293.232 25274.718 11745.398
0.059453624 10054.057 6753.9845 10453.322 6954.4259 13075.466 7144.5734 23644.078 10936.529
0.065762248 9265.4884 6351.9863 9661.6683 6748.3703 11946.858 7412.5334 21528.334 9450.8553
0.071966329 8627.2065 5539.5464 8797.081 5716.3895 10754.115 5758.9768 20135.792 8238.4596
0.078278609 7563.3997 5050.0729 7818.9718 5264.1566 9844.2102 5828.8711 17894.806 7320.0121
0.084703989 6724.0423 4525.2823 7073.9024 4822.1579 8673.5206 5172.8892 16288.165 6808.4152
0.090968546 5916.7936 3862.2453 6169.9644 3842.4535 7559.6412 4074.3639 14025.292 6048.2318
0.097207898 5379.527 3607.273 5574.0738 3654.3976 6954.4831 3855.8322 12479.228 5803.4002
0.1034763 4724.8436 2967.7326 4967.6089 3069.4428 6129.8555 3110.1578 11402.317 4350.6656
0.10975764 4498.9341 3036.6678 4680.0104 2989.5256 5818.9629 3412.4724 10920.948 5122.9348
0.11605431 4139.6532 2713.928 4310.497 2974.3321 5306.7783 3118.2599 9940.0365 4441.3734
0.12236697 3869.4562 2507.1492 4044.8541 2395.3507 5060.0263 2831.5414 9465.052 4084.2174
0.12868173 3581.4095 2281.8644 3789.0125 2278.9633 4806.6913 2704.6691 8814.6992 3993.1823
0.13495008 3372.3713 2075.7074 3497.075 2062.7819 4400.8333 2249.3244 8281.9012 3806.4836
0.14119496 3112.4275 2010.4522 3261.8553 1998.615 4085.9255 1916.8147 7740.984 3607.6251
0.14751336 2877.9631 1885.5365 3017.1179 1886.1865 3817.9843 2118.3032 7213.2472 3452.9754
0.15378651 2620.7931 1601.1204 2796.8792 1620.6142 3527.3181 1753.9994 6606.1926 2912.0721
0.16006575 2517.3498 1571.0178 2626.4209 1603.4021 3347.5827 1831.9338 6287.6614 3222.5721
0.16639912 2329.5937 1445.4399 2472.6058 1513.0785 3080.2205 1684.8332 5839.6393 2792.3892
0.17271956 2183.4282 1444.642 2312.8897 1432.1287 2932.9486 1608.5833 5533.457 2728.8997
